Epoch: 0 | Train Loss: 0.0626241683459 | Test Loss: 0.0515279553533 | Train Acc: 26.24 | Test Acc: 38.78
Epoch: 1 | Train Loss: 0.0470915715718 | Test Loss: 0.0457266851664 | Train Acc: 44.984 | Test Acc: 46.7
Epoch: 2 | Train Loss: 0.0408573008513 | Test Loss: 0.038178619051 | Train Acc: 52.902 | Test Acc: 55.75
Epoch: 3 | Train Loss: 0.0364142417192 | Test Loss: 0.0394588917136 | Train Acc: 58.636 | Test Acc: 55.58
Epoch: 4 | Train Loss: 0.0330270741999 | Test Loss: 0.0331086485267 | Train Acc: 62.638 | Test Acc: 62.22
Epoch: 5 | Train Loss: 0.0303139350545 | Test Loss: 0.0311786797941 | Train Acc: 65.918 | Test Acc: 64.77
Epoch: 6 | Train Loss: 0.0280112921643 | Test Loss: 0.0297872949898 | Train Acc: 68.576 | Test Acc: 66.46
Epoch: 7 | Train Loss: 0.025845842846 | Test Loss: 0.0302505375594 | Train Acc: 71.034 | Test Acc: 66.24
Epoch: 8 | Train Loss: 0.0239047185242 | Test Loss: 0.0284551591605 | Train Acc: 73.118 | Test Acc: 68.13
Epoch: 9 | Train Loss: 0.0220432437095 | Test Loss: 0.0308982595235 | Train Acc: 75.264 | Test Acc: 66.57
Epoch: 10 | Train Loss: 0.0203055552995 | Test Loss: 0.028670255959 | Train Acc: 77.246 | Test Acc: 68.59
Epoch: 11 | Train Loss: 0.0186374285179 | Test Loss: 0.0284021893829 | Train Acc: 78.91 | Test Acc: 69.39
Epoch: 12 | Train Loss: 0.0169735382324 | Test Loss: 0.0288529619157 | Train Acc: 81.024 | Test Acc: 69.61
Epoch: 13 | Train Loss: 0.0155978322056 | Test Loss: 0.027298537901 | Train Acc: 82.38 | Test Acc: 71.15
Epoch: 14 | Train Loss: 0.0140451747923 | Test Loss: 0.0286486011535 | Train Acc: 84.074 | Test Acc: 70.96
Epoch: 15 | Train Loss: 0.0127756955095 | Test Loss: 0.0283647713542 | Train Acc: 85.562 | Test Acc: 71.58
Epoch: 16 | Train Loss: 0.0114886304875 | Test Loss: 0.0296258004963 | Train Acc: 87.252 | Test Acc: 71.24
Epoch: 17 | Train Loss: 0.0103574880982 | Test Loss: 0.0307357575417 | Train Acc: 88.268 | Test Acc: 71.57
Epoch: 18 | Train Loss: 0.00948447567739 | Test Loss: 0.0317530973673 | Train Acc: 89.396 | Test Acc: 71.02
Epoch: 19 | Train Loss: 0.00856320013337 | Test Loss: 0.0325641781121 | Train Acc: 90.352 | Test Acc: 71.76
Epoch: 20 | Train Loss: 0.00775852187134 | Test Loss: 0.0344026242197 | Train Acc: 91.36 | Test Acc: 70.23
Epoch: 21 | Train Loss: 0.00696671096221 | Test Loss: 0.03491023058 | Train Acc: 92.286 | Test Acc: 70.54
Epoch: 22 | Train Loss: 0.00645374503877 | Test Loss: 0.035659397541 | Train Acc: 92.764 | Test Acc: 71.15
Epoch: 23 | Train Loss: 0.00578663866431 | Test Loss: 0.0357692176551 | Train Acc: 93.696 | Test Acc: 71.34
Epoch: 24 | Train Loss: 0.00540978184341 | Test Loss: 0.0373644479603 | Train Acc: 94.058 | Test Acc: 70.93
Epoch: 25 | Train Loss: 0.00495418980744 | Test Loss: 0.038790707922 | Train Acc: 94.572 | Test Acc: 70.36
Epoch: 26 | Train Loss: 0.00462395211449 | Test Loss: 0.0392910953671 | Train Acc: 94.934 | Test Acc: 71.03
Epoch: 27 | Train Loss: 0.00437826128403 | Test Loss: 0.0389138312563 | Train Acc: 95.096 | Test Acc: 71.73
Epoch: 28 | Train Loss: 0.00401795378765 | Test Loss: 0.039126884681 | Train Acc: 95.556 | Test Acc: 71.25
Epoch: 29 | Train Loss: 0.00373177918405 | Test Loss: 0.0400966623425 | Train Acc: 95.948 | Test Acc: 71.15
Epoch: 30 | Train Loss: 0.00363279070151 | Test Loss: 0.0403243487701 | Train Acc: 96.076 | Test Acc: 71.48
Epoch: 31 | Train Loss: 0.00360565186659 | Test Loss: 0.0405980384186 | Train Acc: 96.086 | Test Acc: 70.76
Epoch: 32 | Train Loss: 0.00327289168837 | Test Loss: 0.0412525204688 | Train Acc: 96.5 | Test Acc: 71.24
Epoch: 33 | Train Loss: 0.00302822699716 | Test Loss: 0.0410279510111 | Train Acc: 96.808 | Test Acc: 71.02
Epoch: 34 | Train Loss: 0.00295020645418 | Test Loss: 0.0406739603281 | Train Acc: 96.808 | Test Acc: 71.64
Epoch: 35 | Train Loss: 0.0026169084812 | Test Loss: 0.043769866161 | Train Acc: 97.19 | Test Acc: 71.11
Epoch: 36 | Train Loss: 0.00258359319835 | Test Loss: 0.0427860386312 | Train Acc: 97.328 | Test Acc: 71.54
Epoch: 37 | Train Loss: 0.00262224421089 | Test Loss: 0.0428984969318 | Train Acc: 97.218 | Test Acc: 70.11
