Epoch: 0 | Train Loss: 0.0582021672273 | Test Loss: 0.0480555474758 | Train Acc: 30.938 | Test Acc: 44.31
Epoch: 1 | Train Loss: 0.0442834892642 | Test Loss: 0.0437051460445 | Train Acc: 48.542 | Test Acc: 49.1
Epoch: 2 | Train Loss: 0.0382412436759 | Test Loss: 0.0385145616174 | Train Acc: 56.166 | Test Acc: 56.0
Epoch: 3 | Train Loss: 0.033633573755 | Test Loss: 0.0345131047547 | Train Acc: 61.882 | Test Acc: 61.02
Epoch: 4 | Train Loss: 0.0299482626104 | Test Loss: 0.0321043065131 | Train Acc: 66.208 | Test Acc: 64.05
Epoch: 5 | Train Loss: 0.0267849998683 | Test Loss: 0.0285228320479 | Train Acc: 69.964 | Test Acc: 68.31
Epoch: 6 | Train Loss: 0.0240199903476 | Test Loss: 0.0293165163815 | Train Acc: 73.114 | Test Acc: 67.82
Epoch: 7 | Train Loss: 0.0215443377876 | Test Loss: 0.0270621946454 | Train Acc: 75.768 | Test Acc: 70.08
Epoch: 8 | Train Loss: 0.019350536899 | Test Loss: 0.0286593215317 | Train Acc: 78.524 | Test Acc: 69.41
Epoch: 9 | Train Loss: 0.0170200940639 | Test Loss: 0.0256515347928 | Train Acc: 81.076 | Test Acc: 72.48
Epoch: 10 | Train Loss: 0.0148873764575 | Test Loss: 0.0265151083678 | Train Acc: 83.48 | Test Acc: 72.26
Epoch: 11 | Train Loss: 0.0128005250086 | Test Loss: 0.0280297447324 | Train Acc: 85.658 | Test Acc: 71.38
Epoch: 12 | Train Loss: 0.0109403481741 | Test Loss: 0.0297620464772 | Train Acc: 87.81 | Test Acc: 71.29
Epoch: 13 | Train Loss: 0.0090737315771 | Test Loss: 0.0305220870227 | Train Acc: 90.014 | Test Acc: 71.28
Epoch: 14 | Train Loss: 0.00759982929617 | Test Loss: 0.0333693165332 | Train Acc: 91.5 | Test Acc: 70.97
Epoch: 15 | Train Loss: 0.0061325446778 | Test Loss: 0.033100211446 | Train Acc: 93.348 | Test Acc: 72.26
Epoch: 16 | Train Loss: 0.005141850481 | Test Loss: 0.0377879261911 | Train Acc: 94.482 | Test Acc: 70.71
Epoch: 17 | Train Loss: 0.00429011451289 | Test Loss: 0.0376823703289 | Train Acc: 95.374 | Test Acc: 72.08
Epoch: 18 | Train Loss: 0.00380198177528 | Test Loss: 0.0401731949359 | Train Acc: 95.924 | Test Acc: 70.6
Epoch: 19 | Train Loss: 0.00320111185367 | Test Loss: 0.0415868591845 | Train Acc: 96.568 | Test Acc: 71.03
Epoch: 20 | Train Loss: 0.00283064929618 | Test Loss: 0.0422036508441 | Train Acc: 97.1 | Test Acc: 71.53
Epoch: 21 | Train Loss: 0.00217550827621 | Test Loss: 0.042633992143 | Train Acc: 97.752 | Test Acc: 72.25
Epoch: 22 | Train Loss: 0.00211641583219 | Test Loss: 0.0442446124136 | Train Acc: 97.826 | Test Acc: 71.79
Epoch: 23 | Train Loss: 0.00176508873228 | Test Loss: 0.0455824046299 | Train Acc: 98.26 | Test Acc: 70.63
Epoch: 24 | Train Loss: 0.00147621790749 | Test Loss: 0.0468655603498 | Train Acc: 98.548 | Test Acc: 71.1
Epoch: 25 | Train Loss: 0.0012160750187 | Test Loss: 0.0464239310741 | Train Acc: 98.896 | Test Acc: 71.99
Epoch: 26 | Train Loss: 0.00131929058393 | Test Loss: 0.0461877280727 | Train Acc: 98.738 | Test Acc: 71.85
Epoch: 27 | Train Loss: 0.000745132647149 | Test Loss: 0.0488911661595 | Train Acc: 99.42 | Test Acc: 71.64
Epoch: 28 | Train Loss: 0.00076672015659 | Test Loss: 0.0466490270317 | Train Acc: 99.378 | Test Acc: 72.82
Epoch: 29 | Train Loss: 0.00071130316725 | Test Loss: 0.0466788800538 | Train Acc: 99.446 | Test Acc: 72.57
Epoch: 30 | Train Loss: 0.000456351156454 | Test Loss: 0.0471122903615 | Train Acc: 99.708 | Test Acc: 72.84
Epoch: 31 | Train Loss: 0.000236859855464 | Test Loss: 0.0455589474231 | Train Acc: 99.922 | Test Acc: 73.51
Epoch: 32 | Train Loss: 0.000181084496952 | Test Loss: 0.046058349058 | Train Acc: 99.948 | Test Acc: 73.24
Epoch: 33 | Train Loss: 0.000184250836357 | Test Loss: 0.0451338912286 | Train Acc: 99.962 | Test Acc: 73.42
Epoch: 34 | Train Loss: 0.000328285855333 | Test Loss: 0.0429782669723 | Train Acc: 99.854 | Test Acc: 73.57
Epoch: 35 | Train Loss: 0.000179500423762 | Test Loss: 0.0440084092408 | Train Acc: 99.974 | Test Acc: 73.73
Epoch: 36 | Train Loss: 0.00015897571784 | Test Loss: 0.0442586764786 | Train Acc: 99.964 | Test Acc: 73.71
Epoch: 37 | Train Loss: 0.000227590628382 | Test Loss: 0.0419545867532 | Train Acc: 99.934 | Test Acc: 73.74
Epoch: 38 | Train Loss: 0.000170304700889 | Test Loss: 0.0418638156042 | Train Acc: 99.984 | Test Acc: 73.79
Epoch: 39 | Train Loss: 0.000159349258745 | Test Loss: 0.0416360172242 | Train Acc: 99.988 | Test Acc: 74.24
Epoch: 40 | Train Loss: 0.000166339411964 | Test Loss: 0.0419469312161 | Train Acc: 99.992 | Test Acc: 73.74
Epoch: 41 | Train Loss: 0.000251023935201 | Test Loss: 0.0409114578828 | Train Acc: 99.932 | Test Acc: 73.95
Epoch: 42 | Train Loss: 0.000204118875889 | Test Loss: 0.0410231080443 | Train Acc: 99.966 | Test Acc: 73.85
Epoch: 43 | Train Loss: 0.000195359153498 | Test Loss: 0.0413027745843 | Train Acc: 99.98 | Test Acc: 73.85
Epoch: 44 | Train Loss: 0.00021275866142 | Test Loss: 0.0405905870289 | Train Acc: 99.974 | Test Acc: 73.51
Epoch: 45 | Train Loss: 0.000504013968944 | Test Loss: 0.0394664875448 | Train Acc: 99.766 | Test Acc: 73.58
Epoch: 46 | Train Loss: 0.000658337556927 | Test Loss: 0.0421358416051 | Train Acc: 99.638 | Test Acc: 72.03
Epoch: 47 | Train Loss: 0.00157870443807 | Test Loss: 0.0425530057371 | Train Acc: 98.69 | Test Acc: 71.27
Epoch: 48 | Train Loss: 0.00213150369177 | Test Loss: 0.0417262753963 | Train Acc: 97.996 | Test Acc: 71.62
Epoch: 49 | Train Loss: 0.00210305922362 | Test Loss: 0.043037227425 | Train Acc: 97.924 | Test Acc: 70.57
Epoch: 50 | Train Loss: 0.00176100281793 | Test Loss: 0.0432207133055 | Train Acc: 98.34 | Test Acc: 71.31
Epoch: 51 | Train Loss: 0.00174692878347 | Test Loss: 0.0466403172225 | Train Acc: 98.34 | Test Acc: 70.81
Epoch: 52 | Train Loss: 0.00156317581274 | Test Loss: 0.0458972674608 | Train Acc: 98.534 | Test Acc: 71.27
Epoch: 53 | Train Loss: 0.00136601802423 | Test Loss: 0.0440837003395 | Train Acc: 98.756 | Test Acc: 72.48
Epoch: 54 | Train Loss: 0.00113755393906 | Test Loss: 0.047613982217 | Train Acc: 98.968 | Test Acc: 71.21
Epoch: 55 | Train Loss: 0.00094330663737 | Test Loss: 0.0490666034311 | Train Acc: 99.218 | Test Acc: 70.19
Epoch: 56 | Train Loss: 0.00061034400239 | Test Loss: 0.0463412703544 | Train Acc: 99.57 | Test Acc: 72.53
Epoch: 57 | Train Loss: 0.000317355674839 | Test Loss: 0.0445342675775 | Train Acc: 99.852 | Test Acc: 73.41
Epoch: 58 | Train Loss: 0.000142818203454 | Test Loss: 0.0444763012469 | Train Acc: 99.972 | Test Acc: 73.81
Epoch: 59 | Train Loss: 0.000136873978261 | Test Loss: 0.0435370805308 | Train Acc: 99.974 | Test Acc: 73.82
Epoch: 60 | Train Loss: 0.000123146091024 | Test Loss: 0.042989374578 | Train Acc: 99.974 | Test Acc: 73.72
Epoch: 61 | Train Loss: 0.000106471834436 | Test Loss: 0.0428582758136 | Train Acc: 100.0 | Test Acc: 73.88
Epoch: 62 | Train Loss: 0.000116901728834 | Test Loss: 0.0417375248045 | Train Acc: 99.988 | Test Acc: 73.99
Epoch: 63 | Train Loss: 0.00017087381801 | Test Loss: 0.0404647000268 | Train Acc: 99.962 | Test Acc: 73.7
Epoch: 64 | Train Loss: 0.000185586345406 | Test Loss: 0.0400082223833 | Train Acc: 99.966 | Test Acc: 73.87
Epoch: 65 | Train Loss: 0.000132244130982 | Test Loss: 0.0404395394221 | Train Acc: 99.994 | Test Acc: 73.91
Epoch: 66 | Train Loss: 0.000163639961535 | Test Loss: 0.0400183770135 | Train Acc: 99.972 | Test Acc: 73.99
