Epoch: 0 | Train Loss: 0.0582110867572 | Test Loss: 0.0494484651446 | Train Acc: 31.114 | Test Acc: 41.71
Epoch: 1 | Train Loss: 0.0464767005587 | Test Loss: 0.044745613575 | Train Acc: 45.798 | Test Acc: 47.74
Epoch: 2 | Train Loss: 0.0418698595333 | Test Loss: 0.0400300615311 | Train Acc: 51.466 | Test Acc: 53.95
Epoch: 3 | Train Loss: 0.0381645631135 | Test Loss: 0.0369971167922 | Train Acc: 56.172 | Test Acc: 57.62
Epoch: 4 | Train Loss: 0.0355986704987 | Test Loss: 0.0346963256955 | Train Acc: 59.67 | Test Acc: 60.71
Epoch: 5 | Train Loss: 0.0337124229252 | Test Loss: 0.0334709591568 | Train Acc: 61.538 | Test Acc: 62.34
Epoch: 6 | Train Loss: 0.0318100331676 | Test Loss: 0.0321138176143 | Train Acc: 64.122 | Test Acc: 63.66
Epoch: 7 | Train Loss: 0.0306090046632 | Test Loss: 0.0310251212299 | Train Acc: 65.51 | Test Acc: 65.12
Epoch: 8 | Train Loss: 0.0294533242542 | Test Loss: 0.033390674293 | Train Acc: 66.774 | Test Acc: 62.84
Epoch: 9 | Train Loss: 0.0284947151148 | Test Loss: 0.0311883554459 | Train Acc: 68.052 | Test Acc: 65.14
Epoch: 10 | Train Loss: 0.0275262251383 | Test Loss: 0.0306482884318 | Train Acc: 69.064 | Test Acc: 66.17
Epoch: 11 | Train Loss: 0.026834782055 | Test Loss: 0.0290014659792 | Train Acc: 69.814 | Test Acc: 67.58
Epoch: 12 | Train Loss: 0.0264156791109 | Test Loss: 0.0295617705911 | Train Acc: 70.246 | Test Acc: 67.48
Epoch: 13 | Train Loss: 0.025922660839 | Test Loss: 0.0288083422184 | Train Acc: 70.716 | Test Acc: 68.19
Epoch: 14 | Train Loss: 0.0256542279643 | Test Loss: 0.0295587149739 | Train Acc: 71.126 | Test Acc: 67.85
Epoch: 15 | Train Loss: 0.0251000472385 | Test Loss: 0.0305653170854 | Train Acc: 71.844 | Test Acc: 67.03
