Epoch: 0 | Train Loss: 0.0581274266434 | Test Loss: 0.0478490910888 | Train Acc: 31.252 | Test Acc: 43.05
Epoch: 1 | Train Loss: 0.0440965539837 | Test Loss: 0.0400530238986 | Train Acc: 48.68 | Test Acc: 53.82
Epoch: 2 | Train Loss: 0.0381985846853 | Test Loss: 0.0355989447951 | Train Acc: 56.222 | Test Acc: 59.49
Epoch: 3 | Train Loss: 0.0340221067452 | Test Loss: 0.0326703176916 | Train Acc: 61.462 | Test Acc: 63.16
Epoch: 4 | Train Loss: 0.0310985934198 | Test Loss: 0.0309953818083 | Train Acc: 64.876 | Test Acc: 65.05
Epoch: 5 | Train Loss: 0.0288542289072 | Test Loss: 0.0298190887809 | Train Acc: 67.612 | Test Acc: 66.25
Epoch: 6 | Train Loss: 0.0266814915222 | Test Loss: 0.0288399257213 | Train Acc: 69.946 | Test Acc: 67.71
Epoch: 7 | Train Loss: 0.0249885275066 | Test Loss: 0.0283814209312 | Train Acc: 71.91 | Test Acc: 68.95
Epoch: 8 | Train Loss: 0.0234606691742 | Test Loss: 0.0278347847849 | Train Acc: 73.592 | Test Acc: 69.21
Epoch: 9 | Train Loss: 0.0221327685457 | Test Loss: 0.0271851415426 | Train Acc: 75.232 | Test Acc: 69.48
Epoch: 10 | Train Loss: 0.0208890173268 | Test Loss: 0.0279428113163 | Train Acc: 76.696 | Test Acc: 69.76
Epoch: 11 | Train Loss: 0.0197145190129 | Test Loss: 0.0280555640548 | Train Acc: 77.898 | Test Acc: 70.23
Epoch: 12 | Train Loss: 0.0187897287893 | Test Loss: 0.0266795506507 | Train Acc: 79.158 | Test Acc: 71.46
Epoch: 13 | Train Loss: 0.0177252720252 | Test Loss: 0.0270941101074 | Train Acc: 80.358 | Test Acc: 71.29
Epoch: 14 | Train Loss: 0.0166900911933 | Test Loss: 0.0275109302372 | Train Acc: 81.494 | Test Acc: 70.81
Epoch: 15 | Train Loss: 0.015926990241 | Test Loss: 0.0272099563211 | Train Acc: 82.258 | Test Acc: 71.82
Epoch: 16 | Train Loss: 0.015109428082 | Test Loss: 0.0283325866222 | Train Acc: 83.128 | Test Acc: 70.88
Epoch: 17 | Train Loss: 0.0143959751223 | Test Loss: 0.0275974884555 | Train Acc: 83.758 | Test Acc: 72.35
Epoch: 18 | Train Loss: 0.0137306217234 | Test Loss: 0.0284822194993 | Train Acc: 84.79 | Test Acc: 71.11
Epoch: 19 | Train Loss: 0.0131597714232 | Test Loss: 0.0297145267159 | Train Acc: 85.312 | Test Acc: 71.34
Epoch: 20 | Train Loss: 0.012427335488 | Test Loss: 0.0299333871216 | Train Acc: 86.228 | Test Acc: 70.93
Epoch: 21 | Train Loss: 0.0120581111176 | Test Loss: 0.0284986701638 | Train Acc: 86.606 | Test Acc: 72.3
Epoch: 22 | Train Loss: 0.0116612461249 | Test Loss: 0.0319231734425 | Train Acc: 87.228 | Test Acc: 70.48
Epoch: 23 | Train Loss: 0.0111989494939 | Test Loss: 0.0290966725737 | Train Acc: 87.644 | Test Acc: 71.9
Epoch: 24 | Train Loss: 0.0108356015272 | Test Loss: 0.0302974636614 | Train Acc: 88.068 | Test Acc: 71.65
Epoch: 25 | Train Loss: 0.010339259476 | Test Loss: 0.0309183997184 | Train Acc: 88.584 | Test Acc: 72.16
Epoch: 26 | Train Loss: 0.0102219066966 | Test Loss: 0.0326336929098 | Train Acc: 88.816 | Test Acc: 70.15
Epoch: 27 | Train Loss: 0.00982874715 | Test Loss: 0.0314533793181 | Train Acc: 89.046 | Test Acc: 71.39
