Epoch: 0 | Train Loss: 0.0590817891288 | Test Loss: 0.0473526740193 | Train Acc: 31.096 | Test Acc: 44.6
Epoch: 1 | Train Loss: 0.0442013464952 | Test Loss: 0.0403405703545 | Train Acc: 48.588 | Test Acc: 53.88
Epoch: 2 | Train Loss: 0.038157377305 | Test Loss: 0.036841924113 | Train Acc: 56.186 | Test Acc: 58.38
Epoch: 3 | Train Loss: 0.0336776149535 | Test Loss: 0.0331673956513 | Train Acc: 61.846 | Test Acc: 61.98
Epoch: 4 | Train Loss: 0.0300526693296 | Test Loss: 0.0309917156577 | Train Acc: 66.116 | Test Acc: 64.9
Epoch: 5 | Train Loss: 0.0269624810612 | Test Loss: 0.031992962867 | Train Acc: 69.564 | Test Acc: 64.37
Epoch: 6 | Train Loss: 0.0242149615836 | Test Loss: 0.0286428392619 | Train Acc: 72.792 | Test Acc: 68.26
Epoch: 7 | Train Loss: 0.0215779987633 | Test Loss: 0.0268172031641 | Train Acc: 75.894 | Test Acc: 70.16
Epoch: 8 | Train Loss: 0.0192246546963 | Test Loss: 0.027141068539 | Train Acc: 78.38 | Test Acc: 70.88
Epoch: 9 | Train Loss: 0.0168058912492 | Test Loss: 0.0277709277898 | Train Acc: 81.408 | Test Acc: 70.81
Epoch: 10 | Train Loss: 0.0145014397642 | Test Loss: 0.0284013293833 | Train Acc: 83.916 | Test Acc: 70.79
Epoch: 11 | Train Loss: 0.0123500745753 | Test Loss: 0.0288240074843 | Train Acc: 86.326 | Test Acc: 70.94
Epoch: 12 | Train Loss: 0.0104410737585 | Test Loss: 0.0337458972991 | Train Acc: 88.27 | Test Acc: 69.23
Epoch: 13 | Train Loss: 0.00839963466667 | Test Loss: 0.0322308732897 | Train Acc: 90.71 | Test Acc: 71.45
Epoch: 14 | Train Loss: 0.00688407548521 | Test Loss: 0.035697067064 | Train Acc: 92.372 | Test Acc: 70.32
Epoch: 15 | Train Loss: 0.00560671658035 | Test Loss: 0.037105760619 | Train Acc: 93.878 | Test Acc: 70.6
Epoch: 16 | Train Loss: 0.0043985912583 | Test Loss: 0.0390561010331 | Train Acc: 95.386 | Test Acc: 71.39
Epoch: 17 | Train Loss: 0.00373480154059 | Test Loss: 0.0419106970638 | Train Acc: 95.96 | Test Acc: 70.09
Epoch: 18 | Train Loss: 0.0032746668139 | Test Loss: 0.0409529533356 | Train Acc: 96.512 | Test Acc: 71.27
Epoch: 19 | Train Loss: 0.00285641082262 | Test Loss: 0.0449078448623 | Train Acc: 96.926 | Test Acc: 70.86
Epoch: 20 | Train Loss: 0.00186875001378 | Test Loss: 0.0479146026492 | Train Acc: 98.21 | Test Acc: 71.08
Epoch: 21 | Train Loss: 0.00170768171228 | Test Loss: 0.0478373676449 | Train Acc: 98.392 | Test Acc: 70.32
Epoch: 22 | Train Loss: 0.001170205771 | Test Loss: 0.0492900069624 | Train Acc: 98.962 | Test Acc: 71.44
Epoch: 23 | Train Loss: 0.000812020357824 | Test Loss: 0.0518508466065 | Train Acc: 99.398 | Test Acc: 70.3
Epoch: 24 | Train Loss: 0.000690002915772 | Test Loss: 0.0505197248846 | Train Acc: 99.474 | Test Acc: 71.49
Epoch: 25 | Train Loss: 0.000180135258921 | Test Loss: 0.0495691601962 | Train Acc: 99.968 | Test Acc: 72.86
Epoch: 26 | Train Loss: 7.96085273262e-05 | Test Loss: 0.048580167827 | Train Acc: 100.0 | Test Acc: 72.91
Epoch: 27 | Train Loss: 7.02750353375e-05 | Test Loss: 0.0480937862545 | Train Acc: 99.998 | Test Acc: 73.08
Epoch: 28 | Train Loss: 7.25779425044e-05 | Test Loss: 0.0472850430518 | Train Acc: 100.0 | Test Acc: 73.22
Epoch: 29 | Train Loss: 7.94155504263e-05 | Test Loss: 0.0464559408247 | Train Acc: 100.0 | Test Acc: 73.31
Epoch: 30 | Train Loss: 8.54915117926e-05 | Test Loss: 0.0455327996075 | Train Acc: 100.0 | Test Acc: 73.43
Epoch: 31 | Train Loss: 9.2413366501e-05 | Test Loss: 0.0448958232209 | Train Acc: 100.0 | Test Acc: 73.44
Epoch: 32 | Train Loss: 9.9999898267e-05 | Test Loss: 0.0443606138736 | Train Acc: 100.0 | Test Acc: 73.31
Epoch: 33 | Train Loss: 0.000106911297339 | Test Loss: 0.0437688326329 | Train Acc: 100.0 | Test Acc: 73.34
Epoch: 34 | Train Loss: 0.000113379018407 | Test Loss: 0.043284278813 | Train Acc: 100.0 | Test Acc: 73.47
Epoch: 35 | Train Loss: 0.000119253717823 | Test Loss: 0.0428345802635 | Train Acc: 100.0 | Test Acc: 73.43
Epoch: 36 | Train Loss: 0.000124621163129 | Test Loss: 0.0426983523324 | Train Acc: 100.0 | Test Acc: 73.57
Epoch: 37 | Train Loss: 0.000129868232837 | Test Loss: 0.0423283153534 | Train Acc: 100.0 | Test Acc: 73.47
Epoch: 38 | Train Loss: 0.000133001741383 | Test Loss: 0.0421994588524 | Train Acc: 100.0 | Test Acc: 73.49
Epoch: 39 | Train Loss: 0.000137818599381 | Test Loss: 0.0419215208352 | Train Acc: 100.0 | Test Acc: 73.56
Epoch: 40 | Train Loss: 0.000141756003101 | Test Loss: 0.0419451527864 | Train Acc: 100.0 | Test Acc: 73.37
Epoch: 41 | Train Loss: 0.000142970972256 | Test Loss: 0.0415105965659 | Train Acc: 100.0 | Test Acc: 73.53
Epoch: 42 | Train Loss: 0.000144292656786 | Test Loss: 0.0416494402677 | Train Acc: 100.0 | Test Acc: 73.42
Epoch: 43 | Train Loss: 0.000146739767317 | Test Loss: 0.0418597098231 | Train Acc: 100.0 | Test Acc: 73.21
Epoch: 44 | Train Loss: 0.000149150978669 | Test Loss: 0.0414548706636 | Train Acc: 100.0 | Test Acc: 73.29
Epoch: 45 | Train Loss: 0.000149546605332 | Test Loss: 0.0412441574365 | Train Acc: 100.0 | Test Acc: 73.43
Epoch: 46 | Train Loss: 0.000151237790947 | Test Loss: 0.041459375751 | Train Acc: 100.0 | Test Acc: 73.18
Epoch: 47 | Train Loss: 0.000151673086048 | Test Loss: 0.0411293055177 | Train Acc: 100.0 | Test Acc: 73.2
Epoch: 48 | Train Loss: 0.000152510908106 | Test Loss: 0.0412631925449 | Train Acc: 100.0 | Test Acc: 73.34
Epoch: 49 | Train Loss: 0.000158088428588 | Test Loss: 0.0411578119501 | Train Acc: 100.0 | Test Acc: 73.12
