Epoch: 0 | Train Loss: 0.0646865209556 | Test Loss: 0.0547944176674 | Train Acc: 22.95 | Test Acc: 35.31
Epoch: 1 | Train Loss: 0.0506906431746 | Test Loss: 0.0469189057231 | Train Acc: 40.082 | Test Acc: 44.63
Epoch: 2 | Train Loss: 0.0456183001578 | Test Loss: 0.0436842523217 | Train Acc: 46.658 | Test Acc: 48.9
Epoch: 3 | Train Loss: 0.0425841419375 | Test Loss: 0.0433349143207 | Train Acc: 50.376 | Test Acc: 50.13
Epoch: 4 | Train Loss: 0.0396849128604 | Test Loss: 0.0385461364746 | Train Acc: 53.906 | Test Acc: 56.09
Epoch: 5 | Train Loss: 0.0372136269116 | Test Loss: 0.0368055531025 | Train Acc: 57.448 | Test Acc: 58.4
Epoch: 6 | Train Loss: 0.0352559716761 | Test Loss: 0.0367670741916 | Train Acc: 59.944 | Test Acc: 58.66
Epoch: 7 | Train Loss: 0.0335319225228 | Test Loss: 0.0331745207787 | Train Acc: 61.926 | Test Acc: 62.78
Epoch: 8 | Train Loss: 0.0320218271893 | Test Loss: 0.0328021912277 | Train Acc: 63.632 | Test Acc: 62.87
Epoch: 9 | Train Loss: 0.0308067511749 | Test Loss: 0.0338883977473 | Train Acc: 65.204 | Test Acc: 61.55
Epoch: 10 | Train Loss: 0.0298214618254 | Test Loss: 0.0306962742686 | Train Acc: 66.27 | Test Acc: 65.86
Epoch: 11 | Train Loss: 0.0287384987426 | Test Loss: 0.0323549751878 | Train Acc: 67.652 | Test Acc: 63.38
Epoch: 12 | Train Loss: 0.0277252913696 | Test Loss: 0.0301773352146 | Train Acc: 68.886 | Test Acc: 66.04
Epoch: 13 | Train Loss: 0.0268474750805 | Test Loss: 0.0298880632877 | Train Acc: 69.868 | Test Acc: 66.62
Epoch: 14 | Train Loss: 0.026082316767 | Test Loss: 0.0307323446929 | Train Acc: 70.53 | Test Acc: 66.12
Epoch: 15 | Train Loss: 0.025291939019 | Test Loss: 0.0281254383326 | Train Acc: 71.356 | Test Acc: 68.42
Epoch: 16 | Train Loss: 0.0246631994486 | Test Loss: 0.027726642397 | Train Acc: 72.26 | Test Acc: 68.89
Epoch: 17 | Train Loss: 0.0238542962927 | Test Loss: 0.0293319720447 | Train Acc: 73.164 | Test Acc: 67.48
Epoch: 18 | Train Loss: 0.0232175820476 | Test Loss: 0.0271992513746 | Train Acc: 73.846 | Test Acc: 69.67
Epoch: 19 | Train Loss: 0.0226537038025 | Test Loss: 0.0281485862553 | Train Acc: 74.546 | Test Acc: 68.84
Epoch: 20 | Train Loss: 0.0222783119115 | Test Loss: 0.0276819827765 | Train Acc: 74.852 | Test Acc: 69.57
Epoch: 21 | Train Loss: 0.0216678332895 | Test Loss: 0.0279046683848 | Train Acc: 75.422 | Test Acc: 69.13
Epoch: 22 | Train Loss: 0.021205321418 | Test Loss: 0.0274883140564 | Train Acc: 75.93 | Test Acc: 69.96
