Epoch: 0 | Train Loss: 0.0671196492433548 | Test Loss: 0.059403032648563385 | Train Acc: 20.32 | Test Acc: 30.06
Epoch: 1 | Train Loss: 0.05373232260465622 | Test Loss: 0.049479732513427736 | Train Acc: 36.478 | Test Acc: 41.67
Epoch: 2 | Train Loss: 0.0471017256462574 | Test Loss: 0.044668675827980044 | Train Acc: 44.832 | Test Acc: 48.46
Epoch: 3 | Train Loss: 0.043057719532251355 | Test Loss: 0.04172660287618637 | Train Acc: 50.19 | Test Acc: 51.78
Epoch: 4 | Train Loss: 0.0397054676258564 | Test Loss: 0.03925475735068321 | Train Acc: 54.26 | Test Acc: 54.99
Epoch: 5 | Train Loss: 0.037004705616235735 | Test Loss: 0.03816204404830933 | Train Acc: 57.604 | Test Acc: 56.54
Epoch: 6 | Train Loss: 0.03474964961886406 | Test Loss: 0.03448567757606506 | Train Acc: 60.44 | Test Acc: 60.54
Epoch: 7 | Train Loss: 0.032877549745440486 | Test Loss: 0.0336363738656044 | Train Acc: 62.644 | Test Acc: 61.96
Epoch: 8 | Train Loss: 0.031400235368609426 | Test Loss: 0.0331403707832098 | Train Acc: 64.324 | Test Acc: 62.52
Epoch: 9 | Train Loss: 0.030054376841187478 | Test Loss: 0.03288158116340637 | Train Acc: 66.096 | Test Acc: 63.17
Epoch: 10 | Train Loss: 0.02898235734820366 | Test Loss: 0.030519820553064347 | Train Acc: 67.464 | Test Acc: 65.66
Epoch: 11 | Train Loss: 0.027836047260165215 | Test Loss: 0.029887896686792374 | Train Acc: 68.876 | Test Acc: 66.57
Epoch: 12 | Train Loss: 0.02685187743782997 | Test Loss: 0.029942450517416 | Train Acc: 69.864 | Test Acc: 66.31
Epoch: 13 | Train Loss: 0.026072832389473916 | Test Loss: 0.02854251871407032 | Train Acc: 70.812 | Test Acc: 68.39
Epoch: 14 | Train Loss: 0.02522783646941185 | Test Loss: 0.029575245076417924 | Train Acc: 71.728 | Test Acc: 67.79
Epoch: 15 | Train Loss: 0.024511302874684334 | Test Loss: 0.028828746846318243 | Train Acc: 72.534 | Test Acc: 68.11
Epoch: 16 | Train Loss: 0.023830874498486518 | Test Loss: 0.028190516942739486 | Train Acc: 73.12 | Test Acc: 68.11
Epoch: 17 | Train Loss: 0.0231102900326252 | Test Loss: 0.028642702943086625 | Train Acc: 74.058 | Test Acc: 69.02
Epoch: 18 | Train Loss: 0.022611287415027617 | Test Loss: 0.027303564685583114 | Train Acc: 74.538 | Test Acc: 69.68
Epoch: 19 | Train Loss: 0.021987025901675224 | Test Loss: 0.027696120777726173 | Train Acc: 75.318 | Test Acc: 68.88
Epoch: 20 | Train Loss: 0.021466450575590133 | Test Loss: 0.02796214445233345 | Train Acc: 75.82 | Test Acc: 69.65
Epoch: 21 | Train Loss: 0.02097740747630596 | Test Loss: 0.0270477486371994 | Train Acc: 76.326 | Test Acc: 70.32
Epoch: 22 | Train Loss: 0.02040469478815794 | Test Loss: 0.02654513441324234 | Train Acc: 76.88 | Test Acc: 71.3
Epoch: 23 | Train Loss: 0.020071699176430702 | Test Loss: 0.027293995639681816 | Train Acc: 77.42 | Test Acc: 70.12
Epoch: 24 | Train Loss: 0.019706189577877523 | Test Loss: 0.027654548647999763 | Train Acc: 77.836 | Test Acc: 70.24
Epoch: 25 | Train Loss: 0.019140152989029883 | Test Loss: 0.027297228559851647 | Train Acc: 78.468 | Test Acc: 70.44
Epoch: 26 | Train Loss: 0.018999898559749127 | Test Loss: 0.027224393954873086 | Train Acc: 78.694 | Test Acc: 70.45
Epoch: 27 | Train Loss: 0.018507609403133393 | Test Loss: 0.027448769563436507 | Train Acc: 79.298 | Test Acc: 70.15
Epoch: 28 | Train Loss: 0.01820691919773817 | Test Loss: 0.02724051311016083 | Train Acc: 79.29 | Test Acc: 70.83
Epoch: 29 | Train Loss: 0.017702173093557358 | Test Loss: 0.027265542793273926 | Train Acc: 79.984 | Test Acc: 70.15
Epoch: 30 | Train Loss: 0.01741652253091335 | Test Loss: 0.026875134125351904 | Train Acc: 80.134 | Test Acc: 71.01
Epoch: 31 | Train Loss: 0.017263147356808187 | Test Loss: 0.02669948114156723 | Train Acc: 80.478 | Test Acc: 71.65
Epoch: 32 | Train Loss: 0.01690814404964447 | Test Loss: 0.026156702767312526 | Train Acc: 80.7 | Test Acc: 72.28
Epoch: 33 | Train Loss: 0.0165553890144825 | Test Loss: 0.02692891980111599 | Train Acc: 81.41 | Test Acc: 71.37
Epoch: 34 | Train Loss: 0.016402655585706236 | Test Loss: 0.026695259711146356 | Train Acc: 81.414 | Test Acc: 71.85
Epoch: 35 | Train Loss: 0.01612156100407243 | Test Loss: 0.027866043780744077 | Train Acc: 81.69 | Test Acc: 71.21
Epoch: 36 | Train Loss: 0.015871285860538483 | Test Loss: 0.026901995405554772 | Train Acc: 82.306 | Test Acc: 71.62
Epoch: 37 | Train Loss: 0.015807596062719823 | Test Loss: 0.027209876488149168 | Train Acc: 82.082 | Test Acc: 71.15
Epoch: 38 | Train Loss: 0.015476866504698992 | Test Loss: 0.027906584179401398 | Train Acc: 82.39 | Test Acc: 71.18
Epoch: 39 | Train Loss: 0.015240152341872454 | Test Loss: 0.028155161401629446 | Train Acc: 82.826 | Test Acc: 70.85
Epoch: 40 | Train Loss: 0.015073694816082716 | Test Loss: 0.028122044095396995 | Train Acc: 82.886 | Test Acc: 70.83
Epoch: 41 | Train Loss: 0.01497387129187584 | Test Loss: 0.027703355503082276 | Train Acc: 82.9 | Test Acc: 71.23
Epoch: 42 | Train Loss: 0.014702571357041597 | Test Loss: 0.028437562939524652 | Train Acc: 83.314 | Test Acc: 70.94
Epoch: 43 | Train Loss: 0.014600409193336964 | Test Loss: 0.02727860700786114 | Train Acc: 83.414 | Test Acc: 71.78
Epoch: 44 | Train Loss: 0.014465064605176449 | Test Loss: 0.028297454631328583 | Train Acc: 83.542 | Test Acc: 70.32
Epoch: 45 | Train Loss: 0.014331064206063747 | Test Loss: 0.028263012991845606 | Train Acc: 83.798 | Test Acc: 70.97
Epoch: 46 | Train Loss: 0.014164416497796773 | Test Loss: 0.028305381152033807 | Train Acc: 84.018 | Test Acc: 70.91
Epoch: 47 | Train Loss: 0.01408086512207985 | Test Loss: 0.028101541790366173 | Train Acc: 84.016 | Test Acc: 70.91
Epoch: 48 | Train Loss: 0.013960633363723754 | Test Loss: 0.027936346971988678 | Train Acc: 84.12 | Test Acc: 71.7
Epoch: 49 | Train Loss: 0.013795805485695601 | Test Loss: 0.02835916009247303 | Train Acc: 84.478 | Test Acc: 71.54
