Epoch: 0 | Train Loss: 0.05906939879179001 | Test Loss: 0.04773936860561371 | Train Acc: 30.748 | Test Acc: 43.94
Epoch: 1 | Train Loss: 0.04450280215859413 | Test Loss: 0.04056722519993782 | Train Acc: 48.064 | Test Acc: 53.44
Epoch: 2 | Train Loss: 0.03811220188498497 | Test Loss: 0.03500357975959778 | Train Acc: 56.372 | Test Acc: 60.41
Epoch: 3 | Train Loss: 0.03318203878283501 | Test Loss: 0.03446376405954361 | Train Acc: 62.482 | Test Acc: 61.14
Epoch: 4 | Train Loss: 0.029596563845276834 | Test Loss: 0.029368799489736558 | Train Acc: 66.55 | Test Acc: 66.98
Epoch: 5 | Train Loss: 0.026540187546014785 | Test Loss: 0.029036574161052705 | Train Acc: 70.084 | Test Acc: 67.36
Epoch: 6 | Train Loss: 0.02381094518840313 | Test Loss: 0.028612676820158958 | Train Acc: 73.288 | Test Acc: 68.99
Epoch: 7 | Train Loss: 0.021217690478265286 | Test Loss: 0.02661640903055668 | Train Acc: 76.098 | Test Acc: 70.76
Epoch: 8 | Train Loss: 0.018920526676177978 | Test Loss: 0.025973708263039588 | Train Acc: 78.81 | Test Acc: 71.57
Epoch: 9 | Train Loss: 0.01668612039655447 | Test Loss: 0.02829009310603142 | Train Acc: 81.264 | Test Acc: 70.03
Epoch: 10 | Train Loss: 0.014470468903779983 | Test Loss: 0.027281835988163947 | Train Acc: 83.724 | Test Acc: 71.62
Epoch: 11 | Train Loss: 0.012346954416781663 | Test Loss: 0.02849399470090866 | Train Acc: 86.094 | Test Acc: 71.55
Epoch: 12 | Train Loss: 0.010249684790819884 | Test Loss: 0.02865887633562088 | Train Acc: 88.462 | Test Acc: 72.1
Epoch: 13 | Train Loss: 0.008386344437897205 | Test Loss: 0.031197377502918244 | Train Acc: 90.734 | Test Acc: 72.24
Epoch: 14 | Train Loss: 0.0067809639324620365 | Test Loss: 0.03433686856925487 | Train Acc: 92.536 | Test Acc: 71.29
Epoch: 15 | Train Loss: 0.005561216264888644 | Test Loss: 0.03594207679331303 | Train Acc: 93.838 | Test Acc: 71.38
Epoch: 16 | Train Loss: 0.004637854882143438 | Test Loss: 0.03899698133468628 | Train Acc: 94.894 | Test Acc: 71.0
Epoch: 17 | Train Loss: 0.0035513389360532165 | Test Loss: 0.03956625758260489 | Train Acc: 96.22 | Test Acc: 71.57
Epoch: 18 | Train Loss: 0.0029362336668092757 | Test Loss: 0.04098161325603723 | Train Acc: 96.92 | Test Acc: 71.93
Epoch: 19 | Train Loss: 0.0025862119343690575 | Test Loss: 0.04572325677871704 | Train Acc: 97.3 | Test Acc: 70.96
Epoch: 20 | Train Loss: 0.0019119422961212695 | Test Loss: 0.047894432896375655 | Train Acc: 98.128 | Test Acc: 70.53
Epoch: 21 | Train Loss: 0.0016115766882896423 | Test Loss: 0.04853575821518898 | Train Acc: 98.418 | Test Acc: 70.26
Epoch: 22 | Train Loss: 0.0015017369571770542 | Test Loss: 0.04800347845107317 | Train Acc: 98.544 | Test Acc: 71.9
Epoch: 23 | Train Loss: 0.0009418872101971647 | Test Loss: 0.04689460133314133 | Train Acc: 99.262 | Test Acc: 71.45
Epoch: 24 | Train Loss: 0.000488572138909949 | Test Loss: 0.04682625988125801 | Train Acc: 99.708 | Test Acc: 73.49
Epoch: 25 | Train Loss: 0.00015063319669658085 | Test Loss: 0.04689584379643202 | Train Acc: 99.976 | Test Acc: 74.1
Epoch: 26 | Train Loss: 7.90472805101308e-05 | Test Loss: 0.046937625259160995 | Train Acc: 99.996 | Test Acc: 74.12
Epoch: 27 | Train Loss: 7.122282076859846e-05 | Test Loss: 0.0461764697983861 | Train Acc: 100.0 | Test Acc: 74.28
Epoch: 28 | Train Loss: 7.553761553921504e-05 | Test Loss: 0.045574541300535204 | Train Acc: 100.0 | Test Acc: 74.33
Epoch: 29 | Train Loss: 8.141265461337753e-05 | Test Loss: 0.044672660964727405 | Train Acc: 100.0 | Test Acc: 74.24
Epoch: 30 | Train Loss: 8.867474208236672e-05 | Test Loss: 0.04373647004067898 | Train Acc: 100.0 | Test Acc: 74.37
Epoch: 31 | Train Loss: 9.67401576868724e-05 | Test Loss: 0.04309974096268415 | Train Acc: 100.0 | Test Acc: 74.41
Epoch: 32 | Train Loss: 0.0001045833760604728 | Test Loss: 0.04253535534739494 | Train Acc: 100.0 | Test Acc: 74.39
Epoch: 33 | Train Loss: 0.00011152993184281513 | Test Loss: 0.04199058747142553 | Train Acc: 100.0 | Test Acc: 74.31
Epoch: 34 | Train Loss: 0.00011842725748079829 | Test Loss: 0.041574628864228726 | Train Acc: 100.0 | Test Acc: 74.41
Epoch: 35 | Train Loss: 0.00012463011342450046 | Test Loss: 0.04129934784695506 | Train Acc: 100.0 | Test Acc: 74.19
Epoch: 36 | Train Loss: 0.00012889371836092322 | Test Loss: 0.041136615742743014 | Train Acc: 100.0 | Test Acc: 74.36
Epoch: 37 | Train Loss: 0.00013497120137093588 | Test Loss: 0.04056442249417305 | Train Acc: 100.0 | Test Acc: 74.4
Epoch: 38 | Train Loss: 0.00013868235271656887 | Test Loss: 0.0404646868288517 | Train Acc: 100.0 | Test Acc: 74.59
Epoch: 39 | Train Loss: 0.00014084455893957057 | Test Loss: 0.04027704492211342 | Train Acc: 100.0 | Test Acc: 74.44
Epoch: 40 | Train Loss: 0.0001448803686280735 | Test Loss: 0.040201240912079814 | Train Acc: 100.0 | Test Acc: 74.54
Epoch: 41 | Train Loss: 0.00014749761880375445 | Test Loss: 0.04030786102116108 | Train Acc: 100.0 | Test Acc: 74.35
Epoch: 42 | Train Loss: 0.00015009259621147065 | Test Loss: 0.040056521329283716 | Train Acc: 100.0 | Test Acc: 74.56
Epoch: 43 | Train Loss: 0.00015077274024719373 | Test Loss: 0.039858503663539886 | Train Acc: 100.0 | Test Acc: 74.39
Epoch: 44 | Train Loss: 0.00015298068600008263 | Test Loss: 0.03998768127560615 | Train Acc: 100.0 | Test Acc: 74.42
Epoch: 45 | Train Loss: 0.0001549658052995801 | Test Loss: 0.039736330619454384 | Train Acc: 100.0 | Test Acc: 74.28
Epoch: 46 | Train Loss: 0.00015572919727070258 | Test Loss: 0.039671199728548524 | Train Acc: 100.0 | Test Acc: 74.19
Epoch: 47 | Train Loss: 0.0001564108716812916 | Test Loss: 0.0396387379810214 | Train Acc: 100.0 | Test Acc: 74.23
Epoch: 48 | Train Loss: 0.00015692171114264057 | Test Loss: 0.03969203774183989 | Train Acc: 100.0 | Test Acc: 74.14
Epoch: 49 | Train Loss: 0.00015985488150268792 | Test Loss: 0.039589095006883145 | Train Acc: 100.0 | Test Acc: 74.21
