Epoch: 0 | Train Loss: 0.0593604093623 | Test Loss: 0.0492542224407 | Train Acc: 30.602 | Test Acc: 42.95
Epoch: 1 | Train Loss: 0.045296676507 | Test Loss: 0.0419901269615 | Train Acc: 47.48 | Test Acc: 51.63
Epoch: 2 | Train Loss: 0.0389719343746 | Test Loss: 0.0366992871106 | Train Acc: 55.376 | Test Acc: 58.09
Epoch: 3 | Train Loss: 0.0343574840105 | Test Loss: 0.0339871889889 | Train Acc: 60.902 | Test Acc: 61.8
Epoch: 4 | Train Loss: 0.0306486934841 | Test Loss: 0.0308058270425 | Train Acc: 65.262 | Test Acc: 65.24
Epoch: 5 | Train Loss: 0.0274399864131 | Test Loss: 0.0297737677991 | Train Acc: 69.164 | Test Acc: 66.93
Epoch: 6 | Train Loss: 0.0246224417239 | Test Loss: 0.0282957236648 | Train Acc: 72.398 | Test Acc: 68.8
Epoch: 7 | Train Loss: 0.0221146470875 | Test Loss: 0.0269065314829 | Train Acc: 75.118 | Test Acc: 70.56
Epoch: 8 | Train Loss: 0.0198180237719 | Test Loss: 0.0274281443805 | Train Acc: 77.866 | Test Acc: 70.14
Epoch: 9 | Train Loss: 0.0175236543143 | Test Loss: 0.0269747646034 | Train Acc: 80.11 | Test Acc: 71.41
Epoch: 10 | Train Loss: 0.0153788295138 | Test Loss: 0.028965357089 | Train Acc: 82.792 | Test Acc: 70.13
Epoch: 11 | Train Loss: 0.0132902994227 | Test Loss: 0.0290211047232 | Train Acc: 85.054 | Test Acc: 71.09
Epoch: 12 | Train Loss: 0.0110946123229 | Test Loss: 0.0299282678604 | Train Acc: 87.514 | Test Acc: 70.99
Epoch: 13 | Train Loss: 0.00936553379737 | Test Loss: 0.0317650921285 | Train Acc: 89.49 | Test Acc: 71.09
Epoch: 14 | Train Loss: 0.00764373444058 | Test Loss: 0.0349664632618 | Train Acc: 91.43 | Test Acc: 71.24
Epoch: 15 | Train Loss: 0.00635823724248 | Test Loss: 0.0369782151878 | Train Acc: 92.96 | Test Acc: 71.06
Epoch: 16 | Train Loss: 0.004823751188 | Test Loss: 0.0384440129936 | Train Acc: 94.752 | Test Acc: 71.05
Epoch: 17 | Train Loss: 0.00431305897912 | Test Loss: 0.0401621222138 | Train Acc: 95.308 | Test Acc: 70.44
Epoch: 18 | Train Loss: 0.00362165897444 | Test Loss: 0.0427047726199 | Train Acc: 96.188 | Test Acc: 70.8
Epoch: 19 | Train Loss: 0.00318265968086 | Test Loss: 0.0454139696866 | Train Acc: 96.608 | Test Acc: 70.45
Epoch: 20 | Train Loss: 0.00255583658942 | Test Loss: 0.043209777388 | Train Acc: 97.316 | Test Acc: 72.03
Epoch: 21 | Train Loss: 0.0021573586064 | Test Loss: 0.0443995341659 | Train Acc: 97.768 | Test Acc: 72.1
Epoch: 22 | Train Loss: 0.00113974200587 | Test Loss: 0.0473193135872 | Train Acc: 98.99 | Test Acc: 72.08
Epoch: 23 | Train Loss: 0.000761410363698 | Test Loss: 0.047779207021 | Train Acc: 99.476 | Test Acc: 71.93
Epoch: 24 | Train Loss: 0.000450032371472 | Test Loss: 0.0478145870149 | Train Acc: 99.72 | Test Acc: 72.85
Epoch: 25 | Train Loss: 0.000193518409102 | Test Loss: 0.048474571377 | Train Acc: 99.956 | Test Acc: 73.25
Epoch: 26 | Train Loss: 8.91247507211e-05 | Test Loss: 0.0485330720305 | Train Acc: 100.0 | Test Acc: 73.71
Epoch: 27 | Train Loss: 7.67917435139e-05 | Test Loss: 0.0480467938274 | Train Acc: 100.0 | Test Acc: 73.75
Epoch: 28 | Train Loss: 8.15016415072e-05 | Test Loss: 0.0468819325835 | Train Acc: 100.0 | Test Acc: 73.7
Epoch: 29 | Train Loss: 8.66044669575e-05 | Test Loss: 0.0462570140108 | Train Acc: 100.0 | Test Acc: 73.88
Epoch: 30 | Train Loss: 9.32077070954e-05 | Test Loss: 0.0453749556944 | Train Acc: 100.0 | Test Acc: 73.89
Epoch: 31 | Train Loss: 0.000100622430139 | Test Loss: 0.0448284797549 | Train Acc: 100.0 | Test Acc: 73.74
Epoch: 32 | Train Loss: 0.000107717853822 | Test Loss: 0.0441098227769 | Train Acc: 100.0 | Test Acc: 73.85
Epoch: 33 | Train Loss: 0.000115841900723 | Test Loss: 0.0437063352644 | Train Acc: 100.0 | Test Acc: 73.95
Epoch: 34 | Train Loss: 0.000121720510981 | Test Loss: 0.0433095168173 | Train Acc: 100.0 | Test Acc: 73.79
Epoch: 35 | Train Loss: 0.000128848953865 | Test Loss: 0.0430790974826 | Train Acc: 100.0 | Test Acc: 73.79
Epoch: 36 | Train Loss: 0.000132361741129 | Test Loss: 0.0428868400037 | Train Acc: 100.0 | Test Acc: 74.07
Epoch: 37 | Train Loss: 0.000137044802483 | Test Loss: 0.0427072503403 | Train Acc: 100.0 | Test Acc: 73.85
Epoch: 38 | Train Loss: 0.00014098640064 | Test Loss: 0.0420229102999 | Train Acc: 100.0 | Test Acc: 73.99
Epoch: 39 | Train Loss: 0.000143579073558 | Test Loss: 0.0421880277276 | Train Acc: 100.0 | Test Acc: 73.81
Epoch: 40 | Train Loss: 0.000146896279848 | Test Loss: 0.0423033227965 | Train Acc: 100.0 | Test Acc: 73.87
Epoch: 41 | Train Loss: 0.000150603031707 | Test Loss: 0.0420739048183 | Train Acc: 100.0 | Test Acc: 73.93
Epoch: 42 | Train Loss: 0.000151826266812 | Test Loss: 0.0419204137072 | Train Acc: 100.0 | Test Acc: 73.7
Epoch: 43 | Train Loss: 0.00015313532789 | Test Loss: 0.0418691720441 | Train Acc: 100.0 | Test Acc: 73.78
Epoch: 44 | Train Loss: 0.000172227115461 | Test Loss: 0.0417429925472 | Train Acc: 99.994 | Test Acc: 73.61
Epoch: 45 | Train Loss: 0.000155082496903 | Test Loss: 0.0419554073632 | Train Acc: 100.0 | Test Acc: 73.74
Epoch: 46 | Train Loss: 0.000154939188126 | Test Loss: 0.041847155568 | Train Acc: 100.0 | Test Acc: 73.59
