Epoch: 0 | Train Loss: 0.0594350075829 | Test Loss: 0.0495928622246 | Train Acc: 30.074 | Test Acc: 42.38
Epoch: 1 | Train Loss: 0.0451615791082 | Test Loss: 0.0428878967762 | Train Acc: 47.416 | Test Acc: 50.31
Epoch: 2 | Train Loss: 0.0393068055797 | Test Loss: 0.039137477231 | Train Acc: 55.002 | Test Acc: 55.25
Epoch: 3 | Train Loss: 0.0350185809934 | Test Loss: 0.0337579091132 | Train Acc: 59.902 | Test Acc: 60.83
Epoch: 4 | Train Loss: 0.031840043605 | Test Loss: 0.0348785730124 | Train Acc: 64.034 | Test Acc: 60.27
Epoch: 5 | Train Loss: 0.0291058945441 | Test Loss: 0.0308662694603 | Train Acc: 67.216 | Test Acc: 65.26
Epoch: 6 | Train Loss: 0.0266317010528 | Test Loss: 0.0294517375231 | Train Acc: 69.958 | Test Acc: 67.0
Epoch: 7 | Train Loss: 0.0243715973377 | Test Loss: 0.02896360057 | Train Acc: 72.536 | Test Acc: 68.02
Epoch: 8 | Train Loss: 0.02235821437 | Test Loss: 0.029079461357 | Train Acc: 74.628 | Test Acc: 67.97
Epoch: 9 | Train Loss: 0.0202123418465 | Test Loss: 0.0276055735677 | Train Acc: 77.306 | Test Acc: 69.5
Epoch: 10 | Train Loss: 0.0183975028437 | Test Loss: 0.0284082335532 | Train Acc: 79.158 | Test Acc: 69.03
Epoch: 11 | Train Loss: 0.0164297406301 | Test Loss: 0.0285092579126 | Train Acc: 81.454 | Test Acc: 70.02
Epoch: 12 | Train Loss: 0.0147583146547 | Test Loss: 0.0311123967558 | Train Acc: 83.288 | Test Acc: 68.57
Epoch: 13 | Train Loss: 0.0131145046742 | Test Loss: 0.0291039095879 | Train Acc: 85.176 | Test Acc: 71.21
Epoch: 14 | Train Loss: 0.0115172923246 | Test Loss: 0.0312578712836 | Train Acc: 86.902 | Test Acc: 69.49
Epoch: 15 | Train Loss: 0.0104447325993 | Test Loss: 0.0340800518632 | Train Acc: 88.166 | Test Acc: 68.23
Epoch: 16 | Train Loss: 0.0091474380064 | Test Loss: 0.0341537673667 | Train Acc: 89.6 | Test Acc: 69.98
Epoch: 17 | Train Loss: 0.00803954597175 | Test Loss: 0.0364314994842 | Train Acc: 91.008 | Test Acc: 69.1
Epoch: 18 | Train Loss: 0.00724340588864 | Test Loss: 0.0376890559345 | Train Acc: 91.986 | Test Acc: 68.99
Epoch: 19 | Train Loss: 0.00644577827852 | Test Loss: 0.0395873784512 | Train Acc: 92.674 | Test Acc: 69.15
Epoch: 20 | Train Loss: 0.00597535189735 | Test Loss: 0.0406410604417 | Train Acc: 93.334 | Test Acc: 69.57
Epoch: 21 | Train Loss: 0.00525848472612 | Test Loss: 0.0457672610715 | Train Acc: 94.082 | Test Acc: 68.3
Epoch: 22 | Train Loss: 0.00476160576794 | Test Loss: 0.0433045147523 | Train Acc: 94.73 | Test Acc: 68.76
Epoch: 23 | Train Loss: 0.00440184222535 | Test Loss: 0.0431476305723 | Train Acc: 95.072 | Test Acc: 69.06
Epoch: 24 | Train Loss: 0.00403384810686 | Test Loss: 0.0440858585805 | Train Acc: 95.618 | Test Acc: 68.74
Epoch: 25 | Train Loss: 0.00366438815719 | Test Loss: 0.0449353309721 | Train Acc: 96.036 | Test Acc: 69.3
Epoch: 26 | Train Loss: 0.00345446749051 | Test Loss: 0.0448730960757 | Train Acc: 96.304 | Test Acc: 69.08
Epoch: 27 | Train Loss: 0.00311009228985 | Test Loss: 0.0484042526826 | Train Acc: 96.688 | Test Acc: 69.11
Epoch: 28 | Train Loss: 0.00311624034533 | Test Loss: 0.0482535858035 | Train Acc: 96.654 | Test Acc: 68.06
Epoch: 29 | Train Loss: 0.00286556332099 | Test Loss: 0.0461020403832 | Train Acc: 96.88 | Test Acc: 69.16
Epoch: 30 | Train Loss: 0.00283318377464 | Test Loss: 0.0503536442041 | Train Acc: 97.044 | Test Acc: 67.59
Epoch: 31 | Train Loss: 0.00255141120329 | Test Loss: 0.0490795406073 | Train Acc: 97.338 | Test Acc: 68.57
Epoch: 32 | Train Loss: 0.00238597354644 | Test Loss: 0.048668980974 | Train Acc: 97.432 | Test Acc: 69.51
