Epoch: 0 | Train Loss: 0.0646125276351 | Test Loss: 0.056176757133 | Train Acc: 23.536 | Test Acc: 35.02
Epoch: 1 | Train Loss: 0.0519625313592 | Test Loss: 0.0483270702124 | Train Acc: 39.216 | Test Acc: 44.37
Epoch: 2 | Train Loss: 0.0462432374966 | Test Loss: 0.0450512410104 | Train Acc: 46.19 | Test Acc: 48.09
Epoch: 3 | Train Loss: 0.0429548941708 | Test Loss: 0.0423298003137 | Train Acc: 50.39 | Test Acc: 51.06
Epoch: 4 | Train Loss: 0.0402350966763 | Test Loss: 0.042880238843 | Train Acc: 53.692 | Test Acc: 50.7
Epoch: 5 | Train Loss: 0.0379228737319 | Test Loss: 0.0376199751914 | Train Acc: 56.68 | Test Acc: 57.29
Epoch: 6 | Train Loss: 0.0359676133001 | Test Loss: 0.0366183059037 | Train Acc: 58.874 | Test Acc: 58.07
Epoch: 7 | Train Loss: 0.0342471547973 | Test Loss: 0.0356907675028 | Train Acc: 61.116 | Test Acc: 59.46
Epoch: 8 | Train Loss: 0.0325457260412 | Test Loss: 0.0344588585734 | Train Acc: 62.838 | Test Acc: 61.09
Epoch: 9 | Train Loss: 0.0312071047813 | Test Loss: 0.0344476991951 | Train Acc: 64.57 | Test Acc: 60.85
Epoch: 10 | Train Loss: 0.0297264095557 | Test Loss: 0.0335468238175 | Train Acc: 66.346 | Test Acc: 62.06
Epoch: 11 | Train Loss: 0.0284119771701 | Test Loss: 0.0327345370263 | Train Acc: 67.97 | Test Acc: 63.47
Epoch: 12 | Train Loss: 0.0272857452279 | Test Loss: 0.0325772887856 | Train Acc: 69.116 | Test Acc: 62.73
Epoch: 13 | Train Loss: 0.0259124036556 | Test Loss: 0.0318817461729 | Train Acc: 70.628 | Test Acc: 64.41
Epoch: 14 | Train Loss: 0.0248502739692 | Test Loss: 0.0318550545573 | Train Acc: 71.848 | Test Acc: 64.78
Epoch: 15 | Train Loss: 0.0237042611063 | Test Loss: 0.0321887673408 | Train Acc: 73.296 | Test Acc: 65.52
Epoch: 16 | Train Loss: 0.0226345047992 | Test Loss: 0.0323717888594 | Train Acc: 74.39 | Test Acc: 64.42
Epoch: 17 | Train Loss: 0.0215652934942 | Test Loss: 0.0315594025552 | Train Acc: 75.578 | Test Acc: 66.34
Epoch: 18 | Train Loss: 0.020561565448 | Test Loss: 0.0322826424927 | Train Acc: 76.838 | Test Acc: 65.18
Epoch: 19 | Train Loss: 0.0195664605385 | Test Loss: 0.0330495720357 | Train Acc: 77.714 | Test Acc: 65.19
Epoch: 20 | Train Loss: 0.0186828514323 | Test Loss: 0.0337942462236 | Train Acc: 78.736 | Test Acc: 65.03
Epoch: 21 | Train Loss: 0.0176743075842 | Test Loss: 0.0330325167298 | Train Acc: 79.952 | Test Acc: 65.77
Epoch: 22 | Train Loss: 0.0167799251753 | Test Loss: 0.0361812292874 | Train Acc: 80.888 | Test Acc: 64.25
Epoch: 23 | Train Loss: 0.0160631402525 | Test Loss: 0.034621449849 | Train Acc: 81.748 | Test Acc: 65.3
Epoch: 24 | Train Loss: 0.0153609865242 | Test Loss: 0.0344903385252 | Train Acc: 82.448 | Test Acc: 65.57
Epoch: 25 | Train Loss: 0.014501462622 | Test Loss: 0.0357557243645 | Train Acc: 83.212 | Test Acc: 65.77
Epoch: 26 | Train Loss: 0.0137387979257 | Test Loss: 0.0367691827923 | Train Acc: 84.238 | Test Acc: 65.11
Epoch: 27 | Train Loss: 0.0130154283634 | Test Loss: 0.0375045683086 | Train Acc: 85.054 | Test Acc: 64.81
Epoch: 28 | Train Loss: 0.0125215237749 | Test Loss: 0.0385145519733 | Train Acc: 85.654 | Test Acc: 64.83
Epoch: 29 | Train Loss: 0.0116639932503 | Test Loss: 0.0409415061653 | Train Acc: 86.59 | Test Acc: 64.74
Epoch: 30 | Train Loss: 0.0113443273167 | Test Loss: 0.0404692216337 | Train Acc: 86.964 | Test Acc: 64.67
Epoch: 31 | Train Loss: 0.0105744141344 | Test Loss: 0.0393702052712 | Train Acc: 88.008 | Test Acc: 65.56
Epoch: 32 | Train Loss: 0.0103590488132 | Test Loss: 0.0409634869218 | Train Acc: 88.04 | Test Acc: 65.01
Epoch: 33 | Train Loss: 0.00975380554579 | Test Loss: 0.0407816113442 | Train Acc: 88.874 | Test Acc: 64.46
Epoch: 34 | Train Loss: 0.0093783061213 | Test Loss: 0.0428786210209 | Train Acc: 89.284 | Test Acc: 64.72
Epoch: 35 | Train Loss: 0.0089006370829 | Test Loss: 0.0442943200469 | Train Acc: 90.018 | Test Acc: 63.75
Epoch: 36 | Train Loss: 0.00862638287321 | Test Loss: 0.0445225978583 | Train Acc: 90.108 | Test Acc: 64.49
Epoch: 37 | Train Loss: 0.00825524800941 | Test Loss: 0.0440859949112 | Train Acc: 90.648 | Test Acc: 64.36
Epoch: 38 | Train Loss: 0.00807817372583 | Test Loss: 0.0444235099703 | Train Acc: 90.82 | Test Acc: 64.23
Epoch: 39 | Train Loss: 0.00766884751365 | Test Loss: 0.0453113718688 | Train Acc: 91.44 | Test Acc: 63.99
Epoch: 40 | Train Loss: 0.0073799064208 | Test Loss: 0.0473961654246 | Train Acc: 91.882 | Test Acc: 64.22
Epoch: 41 | Train Loss: 0.00729796333298 | Test Loss: 0.0465379491031 | Train Acc: 91.792 | Test Acc: 64.21
Epoch: 42 | Train Loss: 0.00697473923851 | Test Loss: 0.0466043073118 | Train Acc: 92.236 | Test Acc: 64.08
Epoch: 43 | Train Loss: 0.00665956809372 | Test Loss: 0.0502268437803 | Train Acc: 92.368 | Test Acc: 63.06
Epoch: 44 | Train Loss: 0.00644913297113 | Test Loss: 0.0461545320868 | Train Acc: 92.832 | Test Acc: 65.34
Epoch: 45 | Train Loss: 0.00619454852169 | Test Loss: 0.0488222350061 | Train Acc: 92.978 | Test Acc: 63.78
Epoch: 46 | Train Loss: 0.00611022667121 | Test Loss: 0.0478840734482 | Train Acc: 93.054 | Test Acc: 64.36
Epoch: 47 | Train Loss: 0.00596929821398 | Test Loss: 0.0499690638959 | Train Acc: 93.404 | Test Acc: 64.02
Epoch: 48 | Train Loss: 0.00582668478502 | Test Loss: 0.0490623538971 | Train Acc: 93.328 | Test Acc: 64.45
Epoch: 49 | Train Loss: 0.00580011478135 | Test Loss: 0.048507965222 | Train Acc: 93.474 | Test Acc: 64.14
Epoch: 50 | Train Loss: 0.00557532419488 | Test Loss: 0.0483461242944 | Train Acc: 93.81 | Test Acc: 64.52
Epoch: 51 | Train Loss: 0.00534161490023 | Test Loss: 0.0490087354779 | Train Acc: 94.124 | Test Acc: 64.91
Epoch: 52 | Train Loss: 0.00512685261671 | Test Loss: 0.0495820552766 | Train Acc: 94.256 | Test Acc: 64.51
Epoch: 53 | Train Loss: 0.00523387512568 | Test Loss: 0.0504690701604 | Train Acc: 94.174 | Test Acc: 63.89
Epoch: 54 | Train Loss: 0.00507612892427 | Test Loss: 0.050054433319 | Train Acc: 94.374 | Test Acc: 63.84
Epoch: 55 | Train Loss: 0.00480512639917 | Test Loss: 0.0517471462131 | Train Acc: 94.682 | Test Acc: 63.91
Epoch: 56 | Train Loss: 0.00474641640963 | Test Loss: 0.0519657580554 | Train Acc: 94.774 | Test Acc: 63.87
Epoch: 57 | Train Loss: 0.00474660578012 | Test Loss: 0.0517713981599 | Train Acc: 94.772 | Test Acc: 64.32
Epoch: 58 | Train Loss: 0.00480460203758 | Test Loss: 0.0504672020853 | Train Acc: 94.764 | Test Acc: 64.32
Epoch: 59 | Train Loss: 0.0045522109504 | Test Loss: 0.053643994683 | Train Acc: 95.058 | Test Acc: 63.92
Epoch: 60 | Train Loss: 0.00454203227587 | Test Loss: 0.0505487087876 | Train Acc: 94.984 | Test Acc: 64.16
Epoch: 61 | Train Loss: 0.00439711313916 | Test Loss: 0.0510821205437 | Train Acc: 95.218 | Test Acc: 64.44
Epoch: 62 | Train Loss: 0.00432351886397 | Test Loss: 0.0513538986385 | Train Acc: 95.246 | Test Acc: 64.71
Epoch: 63 | Train Loss: 0.00413546986101 | Test Loss: 0.0524978396297 | Train Acc: 95.464 | Test Acc: 63.94
Epoch: 65 | Train Loss: 0.00418324915426 | Test Loss: 0.0521383387327 | Train Acc: 95.234 | Test Acc: 63.77
Epoch: 66 | Train Loss: 0.00417690877825 | Test Loss: 0.0524502384961 | Train Acc: 95.382 | Test Acc: 63.8
Epoch: 67 | Train Loss: 0.00426151513087 | Test Loss: 0.0509995318145 | Train Acc: 95.346 | Test Acc: 64.53
Epoch: 68 | Train Loss: 0.00378834774356 | Test Loss: 0.0512863259912 | Train Acc: 95.892 | Test Acc: 64.31
Epoch: 69 | Train Loss: 0.00389824518919 | Test Loss: 0.0520038820475 | Train Acc: 95.81 | Test Acc: 64.41
Epoch: 70 | Train Loss: 0.00389747838863 | Test Loss: 0.0543110397071 | Train Acc: 95.748 | Test Acc: 63.97
Epoch: 71 | Train Loss: 0.00383533165187 | Test Loss: 0.0519637009144 | Train Acc: 95.834 | Test Acc: 64.16
Epoch: 72 | Train Loss: 0.00377636507167 | Test Loss: 0.0537831719935 | Train Acc: 95.92 | Test Acc: 63.79
Epoch: 73 | Train Loss: 0.00371095572935 | Test Loss: 0.05273584463 | Train Acc: 95.96 | Test Acc: 63.83
