Epoch: 0 | Train Loss: 0.061059574306 | Test Loss: 0.0501113600731 | Train Acc: 28.12 | Test Acc: 41.82
Epoch: 1 | Train Loss: 0.0457283038342 | Test Loss: 0.041935803926 | Train Acc: 46.638 | Test Acc: 51.82
Epoch: 2 | Train Loss: 0.0396946365452 | Test Loss: 0.0411243911803 | Train Acc: 54.496 | Test Acc: 52.63
Epoch: 3 | Train Loss: 0.0352113087714 | Test Loss: 0.0350577636898 | Train Acc: 59.91 | Test Acc: 59.92
Epoch: 4 | Train Loss: 0.0316080814004 | Test Loss: 0.0323818239629 | Train Acc: 64.144 | Test Acc: 63.13
Epoch: 5 | Train Loss: 0.0285627934235 | Test Loss: 0.0299127711326 | Train Acc: 67.83 | Test Acc: 65.97
Epoch: 6 | Train Loss: 0.0259163429761 | Test Loss: 0.0294239312112 | Train Acc: 70.744 | Test Acc: 67.91
Epoch: 7 | Train Loss: 0.0234339189172 | Test Loss: 0.0276395642817 | Train Acc: 73.702 | Test Acc: 69.42
Epoch: 8 | Train Loss: 0.0211763927346 | Test Loss: 0.0274584463388 | Train Acc: 76.058 | Test Acc: 70.09
Epoch: 9 | Train Loss: 0.0188858537439 | Test Loss: 0.0262674295902 | Train Acc: 78.876 | Test Acc: 71.22
Epoch: 10 | Train Loss: 0.0166657296401 | Test Loss: 0.0288823912412 | Train Acc: 81.198 | Test Acc: 69.55
Epoch: 11 | Train Loss: 0.0146189866596 | Test Loss: 0.0284426493615 | Train Acc: 83.574 | Test Acc: 71.16
Epoch: 12 | Train Loss: 0.012592778665 | Test Loss: 0.0321432017297 | Train Acc: 85.912 | Test Acc: 69.42
Epoch: 13 | Train Loss: 0.0107892092159 | Test Loss: 0.0321841161311 | Train Acc: 87.792 | Test Acc: 69.64
Epoch: 14 | Train Loss: 0.00899111823313 | Test Loss: 0.0331215351403 | Train Acc: 89.846 | Test Acc: 69.2
Epoch: 15 | Train Loss: 0.00732138936836 | Test Loss: 0.034372040078 | Train Acc: 91.87 | Test Acc: 70.34
Epoch: 16 | Train Loss: 0.0062359343851 | Test Loss: 0.0365057776809 | Train Acc: 93.104 | Test Acc: 70.23
Epoch: 17 | Train Loss: 0.00501831948021 | Test Loss: 0.0368344264135 | Train Acc: 94.538 | Test Acc: 70.44
Epoch: 18 | Train Loss: 0.00429389563767 | Test Loss: 0.0447019946754 | Train Acc: 95.272 | Test Acc: 68.67
Epoch: 19 | Train Loss: 0.00362960988272 | Test Loss: 0.0416394483969 | Train Acc: 96.138 | Test Acc: 71.1
Epoch: 20 | Train Loss: 0.0030336738008 | Test Loss: 0.0425784963638 | Train Acc: 96.74 | Test Acc: 70.68
Epoch: 21 | Train Loss: 0.00248800724291 | Test Loss: 0.0465127424255 | Train Acc: 97.484 | Test Acc: 69.55
Epoch: 22 | Train Loss: 0.00229664498771 | Test Loss: 0.0491120964289 | Train Acc: 97.61 | Test Acc: 69.29
Epoch: 23 | Train Loss: 0.00197710284942 | Test Loss: 0.0469724480718 | Train Acc: 98.0 | Test Acc: 70.9
Epoch: 24 | Train Loss: 0.00189857846653 | Test Loss: 0.0484173524857 | Train Acc: 98.1 | Test Acc: 69.4
Epoch: 25 | Train Loss: 0.00161891916327 | Test Loss: 0.0505158602968 | Train Acc: 98.414 | Test Acc: 69.63
Epoch: 26 | Train Loss: 0.00130916931975 | Test Loss: 0.0474436300278 | Train Acc: 98.776 | Test Acc: 71.33
Epoch: 27 | Train Loss: 0.00112829241266 | Test Loss: 0.0483297821045 | Train Acc: 98.964 | Test Acc: 71.18
Epoch: 28 | Train Loss: 0.00110666282106 | Test Loss: 0.0499915488422 | Train Acc: 98.976 | Test Acc: 71.17
Epoch: 29 | Train Loss: 0.00127278767363 | Test Loss: 0.0498542415321 | Train Acc: 98.84 | Test Acc: 70.86
Epoch: 30 | Train Loss: 0.000737238026795 | Test Loss: 0.0495897407189 | Train Acc: 99.412 | Test Acc: 71.6
Epoch: 31 | Train Loss: 0.000579674119445 | Test Loss: 0.0489353920668 | Train Acc: 99.574 | Test Acc: 71.63
Epoch: 32 | Train Loss: 0.00024344901478 | Test Loss: 0.0489411429763 | Train Acc: 99.914 | Test Acc: 72.19
Epoch: 33 | Train Loss: 0.000148218139416 | Test Loss: 0.0485248482913 | Train Acc: 99.974 | Test Acc: 72.49
Epoch: 34 | Train Loss: 0.000114468284255 | Test Loss: 0.0473242036149 | Train Acc: 99.992 | Test Acc: 72.74
Epoch: 35 | Train Loss: 9.56107169366e-05 | Test Loss: 0.0466188605368 | Train Acc: 99.998 | Test Acc: 72.96
Epoch: 36 | Train Loss: 9.7149330962e-05 | Test Loss: 0.0468547632039 | Train Acc: 99.996 | Test Acc: 72.74
Epoch: 37 | Train Loss: 9.74709140928e-05 | Test Loss: 0.0450801533923 | Train Acc: 100.0 | Test Acc: 73.07
Epoch: 38 | Train Loss: 0.000103633184426 | Test Loss: 0.044866879572 | Train Acc: 100.0 | Test Acc: 73.1
Epoch: 39 | Train Loss: 0.000110778668551 | Test Loss: 0.0439638000876 | Train Acc: 100.0 | Test Acc: 72.89
Epoch: 40 | Train Loss: 0.000121523499331 | Test Loss: 0.0437337938502 | Train Acc: 100.0 | Test Acc: 73.14
Epoch: 41 | Train Loss: 0.00013062983691 | Test Loss: 0.0427973385915 | Train Acc: 99.998 | Test Acc: 73.14
Epoch: 42 | Train Loss: 0.000135853351317 | Test Loss: 0.0429089567572 | Train Acc: 100.0 | Test Acc: 73.15
Epoch: 43 | Train Loss: 0.000148318686086 | Test Loss: 0.0427135243952 | Train Acc: 100.0 | Test Acc: 72.98
Epoch: 44 | Train Loss: 0.000148327700661 | Test Loss: 0.042056219995 | Train Acc: 100.0 | Test Acc: 72.95
Epoch: 45 | Train Loss: 0.000156453333049 | Test Loss: 0.0423886225253 | Train Acc: 99.998 | Test Acc: 72.68
Epoch: 46 | Train Loss: 0.000159927290626 | Test Loss: 0.0419342130125 | Train Acc: 100.0 | Test Acc: 72.84
Epoch: 47 | Train Loss: 0.000160991407736 | Test Loss: 0.041854956007 | Train Acc: 100.0 | Test Acc: 73.0
