Epoch: 0 | Train Loss: 0.0648027442288 | Test Loss: 0.0572981270909 | Train Acc: 23.484 | Test Acc: 33.76
Epoch: 1 | Train Loss: 0.0524480334878 | Test Loss: 0.0486674860716 | Train Acc: 39.102 | Test Acc: 43.23
Epoch: 2 | Train Loss: 0.046592399112 | Test Loss: 0.0455809514523 | Train Acc: 46.038 | Test Acc: 47.36
Epoch: 3 | Train Loss: 0.0436264622867 | Test Loss: 0.0429425132871 | Train Acc: 49.662 | Test Acc: 51.11
Epoch: 4 | Train Loss: 0.0414138163733 | Test Loss: 0.0416885281324 | Train Acc: 52.51 | Test Acc: 52.13
Epoch: 5 | Train Loss: 0.039409602778 | Test Loss: 0.0394355213344 | Train Acc: 54.892 | Test Acc: 54.9
Epoch: 6 | Train Loss: 0.0374977719414 | Test Loss: 0.0380505252123 | Train Acc: 57.126 | Test Acc: 56.64
Epoch: 7 | Train Loss: 0.0357841506398 | Test Loss: 0.0370859694958 | Train Acc: 59.104 | Test Acc: 57.54
Epoch: 8 | Train Loss: 0.0344919063663 | Test Loss: 0.0355832113862 | Train Acc: 60.57 | Test Acc: 59.59
Epoch: 9 | Train Loss: 0.0330025104105 | Test Loss: 0.0357654122531 | Train Acc: 62.55 | Test Acc: 59.8
Epoch: 10 | Train Loss: 0.0317273851681 | Test Loss: 0.0358564767241 | Train Acc: 63.984 | Test Acc: 59.47
Epoch: 11 | Train Loss: 0.0304476598889 | Test Loss: 0.0338199948132 | Train Acc: 65.676 | Test Acc: 62.49
Epoch: 12 | Train Loss: 0.0294306662369 | Test Loss: 0.0342942090631 | Train Acc: 66.638 | Test Acc: 61.19
Epoch: 13 | Train Loss: 0.0281659899801 | Test Loss: 0.0343413568735 | Train Acc: 68.182 | Test Acc: 61.83
Epoch: 14 | Train Loss: 0.0271471874374 | Test Loss: 0.0332101528347 | Train Acc: 69.238 | Test Acc: 63.5
Epoch: 15 | Train Loss: 0.0261718507022 | Test Loss: 0.0342761045098 | Train Acc: 70.394 | Test Acc: 62.08
Epoch: 16 | Train Loss: 0.0252631653434 | Test Loss: 0.0332309055746 | Train Acc: 71.312 | Test Acc: 63.13
Epoch: 17 | Train Loss: 0.0243728023702 | Test Loss: 0.0339985810369 | Train Acc: 72.414 | Test Acc: 63.22
Epoch: 18 | Train Loss: 0.0234237817574 | Test Loss: 0.0341201483697 | Train Acc: 73.448 | Test Acc: 63.18
Epoch: 19 | Train Loss: 0.0225010716552 | Test Loss: 0.034005710867 | Train Acc: 74.454 | Test Acc: 63.26
Epoch: 20 | Train Loss: 0.021598219111 | Test Loss: 0.034035698536 | Train Acc: 75.358 | Test Acc: 63.46
Epoch: 21 | Train Loss: 0.0207539103258 | Test Loss: 0.0349108697832 | Train Acc: 76.436 | Test Acc: 63.31
Epoch: 22 | Train Loss: 0.0199699289596 | Test Loss: 0.0348548968703 | Train Acc: 77.43 | Test Acc: 63.45
Epoch: 23 | Train Loss: 0.0192603465626 | Test Loss: 0.0366179541618 | Train Acc: 78.136 | Test Acc: 62.63
Epoch: 24 | Train Loss: 0.0184189262822 | Test Loss: 0.0362448259592 | Train Acc: 79.002 | Test Acc: 62.87
Epoch: 25 | Train Loss: 0.0177043966144 | Test Loss: 0.0357576376855 | Train Acc: 79.916 | Test Acc: 63.83
Epoch: 26 | Train Loss: 0.0170714478213 | Test Loss: 0.0366476225317 | Train Acc: 80.606 | Test Acc: 63.3
Epoch: 27 | Train Loss: 0.0164680834833 | Test Loss: 0.0375217463613 | Train Acc: 81.306 | Test Acc: 63.75
Epoch: 28 | Train Loss: 0.0158859166908 | Test Loss: 0.0382485304356 | Train Acc: 81.974 | Test Acc: 62.52
Epoch: 29 | Train Loss: 0.0154940195069 | Test Loss: 0.0374981105715 | Train Acc: 82.488 | Test Acc: 63.6
Epoch: 30 | Train Loss: 0.0145516972047 | Test Loss: 0.0388552080274 | Train Acc: 83.362 | Test Acc: 63.08
Epoch: 31 | Train Loss: 0.0141425187127 | Test Loss: 0.0404151281059 | Train Acc: 83.788 | Test Acc: 62.16
Epoch: 32 | Train Loss: 0.0138584266837 | Test Loss: 0.0397037586153 | Train Acc: 84.022 | Test Acc: 62.89
Epoch: 33 | Train Loss: 0.0132177042036 | Test Loss: 0.041276822257 | Train Acc: 84.99 | Test Acc: 62.55
Epoch: 34 | Train Loss: 0.0127723707733 | Test Loss: 0.0426215680093 | Train Acc: 85.382 | Test Acc: 62.32
Epoch: 35 | Train Loss: 0.0123050163715 | Test Loss: 0.0414063482106 | Train Acc: 85.916 | Test Acc: 62.43
Epoch: 36 | Train Loss: 0.0119676444426 | Test Loss: 0.0418020320684 | Train Acc: 86.26 | Test Acc: 62.5
Epoch: 37 | Train Loss: 0.0115803573585 | Test Loss: 0.0422758174956 | Train Acc: 86.908 | Test Acc: 63.21
Epoch: 38 | Train Loss: 0.0109698947602 | Test Loss: 0.0445218218893 | Train Acc: 87.544 | Test Acc: 62.69
Epoch: 39 | Train Loss: 0.0111318304312 | Test Loss: 0.043302871412 | Train Acc: 87.308 | Test Acc: 62.29
Epoch: 40 | Train Loss: 0.0105997309044 | Test Loss: 0.0448307357341 | Train Acc: 87.916 | Test Acc: 62.52
Epoch: 41 | Train Loss: 0.0102988064154 | Test Loss: 0.0444728331029 | Train Acc: 88.36 | Test Acc: 62.99
Epoch: 42 | Train Loss: 0.0100456651417 | Test Loss: 0.046167676121 | Train Acc: 88.614 | Test Acc: 61.82
Epoch: 43 | Train Loss: 0.00960460623115 | Test Loss: 0.0456652614117 | Train Acc: 89.12 | Test Acc: 62.75
Epoch: 44 | Train Loss: 0.00953602801546 | Test Loss: 0.046141308111 | Train Acc: 89.13 | Test Acc: 62.3
