Epoch: 0 | Train Loss: 0.0595054303956 | Test Loss: 0.0490753370762 | Train Acc: 29.74 | Test Acc: 41.82
Epoch: 1 | Train Loss: 0.0450668016946 | Test Loss: 0.0416796295464 | Train Acc: 47.598 | Test Acc: 51.88
Epoch: 2 | Train Loss: 0.0388175356793 | Test Loss: 0.038503546989 | Train Acc: 55.556 | Test Acc: 55.88
Epoch: 3 | Train Loss: 0.0341122901666 | Test Loss: 0.0329024671257 | Train Acc: 61.286 | Test Acc: 62.6
Epoch: 4 | Train Loss: 0.0305410973459 | Test Loss: 0.0307676966786 | Train Acc: 65.492 | Test Acc: 65.2
Epoch: 5 | Train Loss: 0.0273753467333 | Test Loss: 0.0295346051991 | Train Acc: 69.376 | Test Acc: 66.64
Epoch: 6 | Train Loss: 0.0245837837493 | Test Loss: 0.028715869987 | Train Acc: 72.404 | Test Acc: 68.81
Epoch: 7 | Train Loss: 0.0220430062601 | Test Loss: 0.0272691131413 | Train Acc: 75.176 | Test Acc: 70.32
Epoch: 8 | Train Loss: 0.0197033386377 | Test Loss: 0.0273225291818 | Train Acc: 77.618 | Test Acc: 69.79
Epoch: 9 | Train Loss: 0.0175278187782 | Test Loss: 0.0265027698457 | Train Acc: 80.258 | Test Acc: 71.4
Epoch: 10 | Train Loss: 0.0152516728655 | Test Loss: 0.0274762911052 | Train Acc: 82.932 | Test Acc: 71.33
Epoch: 11 | Train Loss: 0.0131764888689 | Test Loss: 0.0284266512632 | Train Acc: 85.216 | Test Acc: 71.7
Epoch: 12 | Train Loss: 0.0110125070572 | Test Loss: 0.0304920061886 | Train Acc: 87.55 | Test Acc: 70.69
Epoch: 13 | Train Loss: 0.00918595957644 | Test Loss: 0.0336188656271 | Train Acc: 89.734 | Test Acc: 70.08
Epoch: 14 | Train Loss: 0.00741530367494 | Test Loss: 0.0337083803058 | Train Acc: 91.838 | Test Acc: 71.28
Epoch: 15 | Train Loss: 0.00613283432622 | Test Loss: 0.0346149448723 | Train Acc: 93.232 | Test Acc: 71.2
Epoch: 16 | Train Loss: 0.00498723585408 | Test Loss: 0.0372344629318 | Train Acc: 94.628 | Test Acc: 71.27
Epoch: 17 | Train Loss: 0.00398743977133 | Test Loss: 0.0395473487347 | Train Acc: 95.62 | Test Acc: 70.81
Epoch: 18 | Train Loss: 0.00323971262159 | Test Loss: 0.0414385847285 | Train Acc: 96.49 | Test Acc: 71.63
Epoch: 19 | Train Loss: 0.00296476967101 | Test Loss: 0.0441865627736 | Train Acc: 96.902 | Test Acc: 70.71
Epoch: 20 | Train Loss: 0.00208761336871 | Test Loss: 0.0446336033076 | Train Acc: 97.94 | Test Acc: 71.63
Epoch: 21 | Train Loss: 0.00150543704196 | Test Loss: 0.047215709281 | Train Acc: 98.608 | Test Acc: 71.45
Epoch: 22 | Train Loss: 0.00101219146959 | Test Loss: 0.0504466463298 | Train Acc: 99.138 | Test Acc: 71.18
Epoch: 23 | Train Loss: 0.000979247120331 | Test Loss: 0.0484045293599 | Train Acc: 99.184 | Test Acc: 71.53
Epoch: 24 | Train Loss: 0.000578178996561 | Test Loss: 0.0499380370215 | Train Acc: 99.65 | Test Acc: 72.25
Epoch: 25 | Train Loss: 0.00016088998701 | Test Loss: 0.0490012422144 | Train Acc: 99.976 | Test Acc: 72.78
Epoch: 26 | Train Loss: 7.88934667449e-05 | Test Loss: 0.04881469118 | Train Acc: 100.0 | Test Acc: 73.07
Epoch: 27 | Train Loss: 7.42684506346e-05 | Test Loss: 0.0482761265963 | Train Acc: 99.998 | Test Acc: 72.97
Epoch: 28 | Train Loss: 7.66387331107e-05 | Test Loss: 0.0473895663619 | Train Acc: 100.0 | Test Acc: 73.06
Epoch: 29 | Train Loss: 8.24626992387e-05 | Test Loss: 0.0464969597399 | Train Acc: 100.0 | Test Acc: 73.19
Epoch: 30 | Train Loss: 8.9542449179e-05 | Test Loss: 0.0458916176271 | Train Acc: 100.0 | Test Acc: 73.32
Epoch: 31 | Train Loss: 9.81866418122e-05 | Test Loss: 0.0451736581922 | Train Acc: 100.0 | Test Acc: 73.25
Epoch: 32 | Train Loss: 0.000105589647146 | Test Loss: 0.0446224631399 | Train Acc: 100.0 | Test Acc: 73.36
Epoch: 33 | Train Loss: 0.000112586314965 | Test Loss: 0.0439919751704 | Train Acc: 100.0 | Test Acc: 73.31
Epoch: 34 | Train Loss: 0.000119777954511 | Test Loss: 0.0436926976651 | Train Acc: 100.0 | Test Acc: 73.15
Epoch: 35 | Train Loss: 0.000125692948599 | Test Loss: 0.0432096839786 | Train Acc: 100.0 | Test Acc: 73.14
Epoch: 36 | Train Loss: 0.000130786386475 | Test Loss: 0.042959466517 | Train Acc: 100.0 | Test Acc: 73.18
Epoch: 37 | Train Loss: 0.000135801074604 | Test Loss: 0.0425944840014 | Train Acc: 100.0 | Test Acc: 73.41
Epoch: 38 | Train Loss: 0.000138849913147 | Test Loss: 0.0423091583073 | Train Acc: 100.0 | Test Acc: 73.24
Epoch: 39 | Train Loss: 0.000143491770537 | Test Loss: 0.0425662415713 | Train Acc: 100.0 | Test Acc: 73.33
Epoch: 40 | Train Loss: 0.000146267882278 | Test Loss: 0.0422753722116 | Train Acc: 100.0 | Test Acc: 73.27
Epoch: 41 | Train Loss: 0.000147568105904 | Test Loss: 0.04210052616 | Train Acc: 100.0 | Test Acc: 73.23
Epoch: 42 | Train Loss: 0.000150786404135 | Test Loss: 0.0419931950286 | Train Acc: 100.0 | Test Acc: 73.18
Epoch: 43 | Train Loss: 0.000151649313995 | Test Loss: 0.0418215853825 | Train Acc: 100.0 | Test Acc: 73.4
Epoch: 44 | Train Loss: 0.000153216225784 | Test Loss: 0.0420961671188 | Train Acc: 100.0 | Test Acc: 73.29
Epoch: 45 | Train Loss: 0.000155245409175 | Test Loss: 0.0418522750378 | Train Acc: 100.0 | Test Acc: 73.17
Epoch: 46 | Train Loss: 0.000156650076529 | Test Loss: 0.0417965694919 | Train Acc: 100.0 | Test Acc: 73.34
Epoch: 47 | Train Loss: 0.000156406854431 | Test Loss: 0.0416994439855 | Train Acc: 100.0 | Test Acc: 73.19
Epoch: 48 | Train Loss: 0.000158878564285 | Test Loss: 0.041501997903 | Train Acc: 100.0 | Test Acc: 73.25
Epoch: 49 | Train Loss: 0.000158540681296 | Test Loss: 0.0414384902477 | Train Acc: 100.0 | Test Acc: 73.13
