Epoch: 0 | Train Loss: 0.0550350627065 | Test Loss: 0.0487248919487 | Train Acc: 36.356 | Test Acc: 43.82
Epoch: 1 | Train Loss: 0.0465617155898 | Test Loss: 0.0457101580977 | Train Acc: 46.612 | Test Acc: 47.74
Epoch: 2 | Train Loss: 0.04287998353 | Test Loss: 0.0436960587621 | Train Acc: 51.124 | Test Acc: 50.06
Epoch: 3 | Train Loss: 0.0402964407158 | Test Loss: 0.0415337649286 | Train Acc: 54.074 | Test Acc: 52.78
Epoch: 4 | Train Loss: 0.0382253477764 | Test Loss: 0.0401777328312 | Train Acc: 56.856 | Test Acc: 54.68
Epoch: 5 | Train Loss: 0.0362639777207 | Test Loss: 0.0393416927516 | Train Acc: 58.788 | Test Acc: 55.86
Epoch: 6 | Train Loss: 0.0347286587083 | Test Loss: 0.0375838205278 | Train Acc: 60.382 | Test Acc: 58.25
Epoch: 7 | Train Loss: 0.03332750494 | Test Loss: 0.0374022191763 | Train Acc: 62.218 | Test Acc: 58.12
Epoch: 8 | Train Loss: 0.0319442295831 | Test Loss: 0.037271310848 | Train Acc: 63.812 | Test Acc: 58.51
Epoch: 9 | Train Loss: 0.0305860865259 | Test Loss: 0.0363416005492 | Train Acc: 65.168 | Test Acc: 59.32
Epoch: 10 | Train Loss: 0.0295315094835 | Test Loss: 0.0373978896856 | Train Acc: 66.702 | Test Acc: 58.83
Epoch: 11 | Train Loss: 0.0284253709626 | Test Loss: 0.0366222000241 | Train Acc: 67.65 | Test Acc: 60.05
Epoch: 12 | Train Loss: 0.0274497656029 | Test Loss: 0.0373938448846 | Train Acc: 68.856 | Test Acc: 59.31
Epoch: 13 | Train Loss: 0.0265883234769 | Test Loss: 0.0367286752462 | Train Acc: 69.712 | Test Acc: 60.25
Epoch: 14 | Train Loss: 0.0254983388621 | Test Loss: 0.037604690814 | Train Acc: 71.064 | Test Acc: 59.15
Epoch: 15 | Train Loss: 0.0246557756722 | Test Loss: 0.0377017462671 | Train Acc: 71.924 | Test Acc: 59.82
Epoch: 16 | Train Loss: 0.0239353656143 | Test Loss: 0.038577798897 | Train Acc: 72.526 | Test Acc: 59.09
Epoch: 17 | Train Loss: 0.023108902241 | Test Loss: 0.0376428103268 | Train Acc: 73.658 | Test Acc: 61.16
Epoch: 18 | Train Loss: 0.0223359592301 | Test Loss: 0.0390282193065 | Train Acc: 74.422 | Test Acc: 60.59
Epoch: 19 | Train Loss: 0.0213813893265 | Test Loss: 0.0394487416565 | Train Acc: 75.684 | Test Acc: 59.62
Epoch: 20 | Train Loss: 0.0209425877675 | Test Loss: 0.0397309277475 | Train Acc: 76.192 | Test Acc: 59.88
Epoch: 21 | Train Loss: 0.0203847823888 | Test Loss: 0.0396911121607 | Train Acc: 76.628 | Test Acc: 60.41
Epoch: 22 | Train Loss: 0.0197832209396 | Test Loss: 0.0409616743982 | Train Acc: 77.49 | Test Acc: 59.32
Epoch: 23 | Train Loss: 0.0190423542571 | Test Loss: 0.0429452658713 | Train Acc: 78.164 | Test Acc: 58.45
Epoch: 24 | Train Loss: 0.0187087572455 | Test Loss: 0.0430327498198 | Train Acc: 78.534 | Test Acc: 59.94
Epoch: 25 | Train Loss: 0.0179734086064 | Test Loss: 0.0437566892505 | Train Acc: 79.454 | Test Acc: 59.36
Epoch: 26 | Train Loss: 0.0177476460108 | Test Loss: 0.0441410962403 | Train Acc: 79.72 | Test Acc: 59.27
Epoch: 27 | Train Loss: 0.0172751239876 | Test Loss: 0.0431771395147 | Train Acc: 80.142 | Test Acc: 60.13
Epoch: 28 | Train Loss: 0.016738908391 | Test Loss: 0.0443921065748 | Train Acc: 80.99 | Test Acc: 59.01
Epoch: 29 | Train Loss: 0.0163238853601 | Test Loss: 0.0452460084051 | Train Acc: 81.484 | Test Acc: 58.64
Epoch: 30 | Train Loss: 0.0160228811544 | Test Loss: 0.045183772476 | Train Acc: 81.8 | Test Acc: 59.27
Epoch: 31 | Train Loss: 0.0158035320553 | Test Loss: 0.0464800993621 | Train Acc: 82.192 | Test Acc: 59.03
Epoch: 32 | Train Loss: 0.015038843801 | Test Loss: 0.0463761814415 | Train Acc: 82.822 | Test Acc: 58.71
Epoch: 33 | Train Loss: 0.0149626303057 | Test Loss: 0.0466329209805 | Train Acc: 83.056 | Test Acc: 59.31
Epoch: 34 | Train Loss: 0.014590740476 | Test Loss: 0.0484296704531 | Train Acc: 83.238 | Test Acc: 57.61
Epoch: 35 | Train Loss: 0.0141754622161 | Test Loss: 0.0485388402253 | Train Acc: 83.826 | Test Acc: 58.39
Epoch: 36 | Train Loss: 0.0138900691089 | Test Loss: 0.0493008612216 | Train Acc: 84.27 | Test Acc: 59.09
Epoch: 37 | Train Loss: 0.0137181160834 | Test Loss: 0.0495365402669 | Train Acc: 84.598 | Test Acc: 58.41
Epoch: 38 | Train Loss: 0.0135616573352 | Test Loss: 0.0483573732555 | Train Acc: 84.548 | Test Acc: 58.72
Epoch: 39 | Train Loss: 0.0130650735149 | Test Loss: 0.0523043709457 | Train Acc: 85.24 | Test Acc: 58.13
Epoch: 40 | Train Loss: 0.0130083608989 | Test Loss: 0.0504803237736 | Train Acc: 85.246 | Test Acc: 59.74
Epoch: 41 | Train Loss: 0.0127578565808 | Test Loss: 0.0512459945321 | Train Acc: 85.634 | Test Acc: 59.41
Epoch: 42 | Train Loss: 0.0126246029703 | Test Loss: 0.0519450523078 | Train Acc: 85.62 | Test Acc: 58.52
Epoch: 43 | Train Loss: 0.0123027987209 | Test Loss: 0.0507038190901 | Train Acc: 86.112 | Test Acc: 58.47
Epoch: 44 | Train Loss: 0.0123124582025 | Test Loss: 0.052422093761 | Train Acc: 86.24 | Test Acc: 58.32
Epoch: 45 | Train Loss: 0.012071520167 | Test Loss: 0.0534700466514 | Train Acc: 86.38 | Test Acc: 58.26
Epoch: 46 | Train Loss: 0.0119844924617 | Test Loss: 0.0527313097775 | Train Acc: 86.538 | Test Acc: 58.2
Epoch: 47 | Train Loss: 0.0118121426357 | Test Loss: 0.0525249599159 | Train Acc: 86.628 | Test Acc: 58.03
Epoch: 48 | Train Loss: 0.0116516009276 | Test Loss: 0.0530141521454 | Train Acc: 86.672 | Test Acc: 57.94
Epoch: 49 | Train Loss: 0.0115161753409 | Test Loss: 0.0532999411583 | Train Acc: 86.994 | Test Acc: 57.16
