Epoch: 0 | Train Loss: 0.06170108166694641 | Test Loss: 0.0524309786438942 | Train Acc: 27.36 | Test Acc: 37.68
Epoch: 1 | Train Loss: 0.04918495305538177 | Test Loss: 0.04688521158695221 | Train Acc: 42.258 | Test Acc: 46.16
Epoch: 2 | Train Loss: 0.04426774663686752 | Test Loss: 0.04311832219958305 | Train Acc: 48.782 | Test Acc: 50.08
Epoch: 3 | Train Loss: 0.04071037669658661 | Test Loss: 0.03944959893226624 | Train Acc: 53.236 | Test Acc: 55.09
Epoch: 4 | Train Loss: 0.037694748324155807 | Test Loss: 0.038097847670316695 | Train Acc: 57.082 | Test Acc: 56.58
Epoch: 5 | Train Loss: 0.03528531176328659 | Test Loss: 0.03531668305397034 | Train Acc: 59.658 | Test Acc: 59.79
Epoch: 6 | Train Loss: 0.03325454231023788 | Test Loss: 0.03525734869837761 | Train Acc: 62.586 | Test Acc: 59.33
Epoch: 7 | Train Loss: 0.031291159414052964 | Test Loss: 0.03257647669315338 | Train Acc: 64.648 | Test Acc: 63.53
Epoch: 8 | Train Loss: 0.02963341953456402 | Test Loss: 0.031724724218249324 | Train Acc: 66.664 | Test Acc: 64.5
Epoch: 9 | Train Loss: 0.027993013433814048 | Test Loss: 0.03189382162094116 | Train Acc: 68.398 | Test Acc: 64.19
Epoch: 10 | Train Loss: 0.026495106120705606 | Test Loss: 0.03154115606546402 | Train Acc: 69.95 | Test Acc: 65.42
Epoch: 11 | Train Loss: 0.025141532019674777 | Test Loss: 0.03222823234498501 | Train Acc: 71.678 | Test Acc: 64.18
Epoch: 12 | Train Loss: 0.02391863995373249 | Test Loss: 0.03251829630732536 | Train Acc: 73.126 | Test Acc: 65.46
Epoch: 13 | Train Loss: 0.022765101915597916 | Test Loss: 0.030297691601514815 | Train Acc: 74.424 | Test Acc: 66.74
Epoch: 14 | Train Loss: 0.02147492091238499 | Test Loss: 0.031040599572658537 | Train Acc: 75.75 | Test Acc: 67.32
Epoch: 15 | Train Loss: 0.020279775331020357 | Test Loss: 0.03311978858113289 | Train Acc: 77.072 | Test Acc: 65.42
Epoch: 16 | Train Loss: 0.019202134443223478 | Test Loss: 0.03272170744836331 | Train Acc: 78.336 | Test Acc: 65.42
