Epoch: 0 | Train Loss: 0.0310434120489 | Test Loss: 0.0104190425556 | Train Acc: 66.2916666667 | Test Acc: 89.86
Epoch: 1 | Train Loss: 0.00934696092498 | Test Loss: 0.00718488323614 | Train Acc: 90.9383333333 | Test Acc: 92.6
Epoch: 2 | Train Loss: 0.00707286870213 | Test Loss: 0.00616970041739 | Train Acc: 93.3633333333 | Test Acc: 93.82
Epoch: 3 | Train Loss: 0.00609602873578 | Test Loss: 0.0051677571387 | Train Acc: 94.3616666667 | Test Acc: 95.02
Epoch: 4 | Train Loss: 0.00535864305301 | Test Loss: 0.00447763688662 | Train Acc: 95.0533333333 | Test Acc: 95.67
Epoch: 5 | Train Loss: 0.00493740181322 | Test Loss: 0.00434696505689 | Train Acc: 95.3716666667 | Test Acc: 96.06
Epoch: 6 | Train Loss: 0.00466823884567 | Test Loss: 0.00457275401906 | Train Acc: 95.7233333333 | Test Acc: 95.79
Epoch: 7 | Train Loss: 0.00419744762378 | Test Loss: 0.00384577367161 | Train Acc: 96.045 | Test Acc: 96.43
Epoch: 8 | Train Loss: 0.00405430749157 | Test Loss: 0.00354316260184 | Train Acc: 96.235 | Test Acc: 96.75
Epoch: 9 | Train Loss: 0.00389408588016 | Test Loss: 0.00359322337303 | Train Acc: 96.37 | Test Acc: 96.72
Epoch: 10 | Train Loss: 0.00373452985621 | Test Loss: 0.00370378798917 | Train Acc: 96.5683333333 | Test Acc: 96.53
Epoch: 11 | Train Loss: 0.0036780044031 | Test Loss: 0.00333369065715 | Train Acc: 96.565 | Test Acc: 97.0
Epoch: 12 | Train Loss: 0.00354678499329 | Test Loss: 0.00333450606596 | Train Acc: 96.705 | Test Acc: 97.04
Epoch: 13 | Train Loss: 0.00348211894539 | Test Loss: 0.00302972510721 | Train Acc: 96.8483333333 | Test Acc: 97.18
Epoch: 14 | Train Loss: 0.00337388582194 | Test Loss: 0.00315523599844 | Train Acc: 96.9283333333 | Test Acc: 96.98
Epoch: 15 | Train Loss: 0.00324436938568 | Test Loss: 0.00316043162085 | Train Acc: 96.9933333333 | Test Acc: 97.21
Epoch: 16 | Train Loss: 0.00321839201609 | Test Loss: 0.00293436621039 | Train Acc: 97.0233333333 | Test Acc: 97.11
Epoch: 17 | Train Loss: 0.00311691783613 | Test Loss: 0.00276958935929 | Train Acc: 97.0566666667 | Test Acc: 97.48
Epoch: 18 | Train Loss: 0.00306213562136 | Test Loss: 0.00287478593533 | Train Acc: 97.2383333333 | Test Acc: 97.42
Epoch: 19 | Train Loss: 0.0030418194995 | Test Loss: 0.00287521456471 | Train Acc: 97.0683333333 | Test Acc: 97.52
Epoch: 20 | Train Loss: 0.00296384232624 | Test Loss: 0.00294782485727 | Train Acc: 97.2383333333 | Test Acc: 97.27
Epoch: 21 | Train Loss: 0.00295671505918 | Test Loss: 0.00297754430508 | Train Acc: 97.2983333333 | Test Acc: 97.28
Epoch: 22 | Train Loss: 0.00288409241814 | Test Loss: 0.00291155934301 | Train Acc: 97.2933333333 | Test Acc: 97.15
Epoch: 23 | Train Loss: 0.00293474535497 | Test Loss: 0.00279490305521 | Train Acc: 97.3633333333 | Test Acc: 97.35
Epoch: 24 | Train Loss: 0.00278862672324 | Test Loss: 0.00286227668156 | Train Acc: 97.3983333333 | Test Acc: 97.48
Epoch: 25 | Train Loss: 0.00287302747509 | Test Loss: 0.00262686854699 | Train Acc: 97.38 | Test Acc: 97.71
Epoch: 26 | Train Loss: 0.00275212186283 | Test Loss: 0.00291656569424 | Train Acc: 97.4016666667 | Test Acc: 97.26
Epoch: 27 | Train Loss: 0.00279118057355 | Test Loss: 0.00280010845376 | Train Acc: 97.4316666667 | Test Acc: 97.22
