Epoch: 0 | Train Loss: 0.0555091310933 | Test Loss: 0.0223227795988 | Train Acc: 35.8266666667 | Test Acc: 76.68
Epoch: 1 | Train Loss: 0.0149495601072 | Test Loss: 0.010625912638 | Train Acc: 84.9233333333 | Test Acc: 89.57
Epoch: 2 | Train Loss: 0.00923466596428 | Test Loss: 0.00730917490087 | Train Acc: 91.02 | Test Acc: 92.96
Epoch: 3 | Train Loss: 0.00737167272118 | Test Loss: 0.00654138030037 | Train Acc: 92.9816666667 | Test Acc: 93.45
Epoch: 4 | Train Loss: 0.00649753664576 | Test Loss: 0.00583662594277 | Train Acc: 93.8533333333 | Test Acc: 94.37
Epoch: 5 | Train Loss: 0.00578399172693 | Test Loss: 0.00501931723026 | Train Acc: 94.4566666667 | Test Acc: 95.29
Epoch: 6 | Train Loss: 0.00527985511548 | Test Loss: 0.00489379293346 | Train Acc: 95.02 | Test Acc: 95.33
Epoch: 7 | Train Loss: 0.00487483820879 | Test Loss: 0.00455188365807 | Train Acc: 95.4216666667 | Test Acc: 95.47
Epoch: 8 | Train Loss: 0.0046770205311 | Test Loss: 0.00454450901935 | Train Acc: 95.5566666667 | Test Acc: 95.57
Epoch: 9 | Train Loss: 0.00448051572119 | Test Loss: 0.00373971213214 | Train Acc: 95.8283333333 | Test Acc: 96.66
Epoch: 10 | Train Loss: 0.00419454743509 | Test Loss: 0.00364597063735 | Train Acc: 96.115 | Test Acc: 96.5
Epoch: 11 | Train Loss: 0.0040772474662 | Test Loss: 0.00379682642678 | Train Acc: 96.2966666667 | Test Acc: 96.21
Epoch: 12 | Train Loss: 0.00382475107055 | Test Loss: 0.00349842173224 | Train Acc: 96.2933333333 | Test Acc: 96.55
Epoch: 13 | Train Loss: 0.00377805204663 | Test Loss: 0.00343152186826 | Train Acc: 96.4266666667 | Test Acc: 96.78
Epoch: 14 | Train Loss: 0.00367646166413 | Test Loss: 0.00337372941879 | Train Acc: 96.5516666667 | Test Acc: 96.78
Epoch: 15 | Train Loss: 0.00352215383434 | Test Loss: 0.00322026481327 | Train Acc: 96.6833333333 | Test Acc: 97.05
Epoch: 16 | Train Loss: 0.00346996115652 | Test Loss: 0.00322930200279 | Train Acc: 96.8 | Test Acc: 96.89
Epoch: 17 | Train Loss: 0.00335827994056 | Test Loss: 0.00298225380934 | Train Acc: 96.8866666667 | Test Acc: 97.16
Epoch: 18 | Train Loss: 0.00333117959449 | Test Loss: 0.00300679179105 | Train Acc: 96.855 | Test Acc: 97.15
Epoch: 19 | Train Loss: 0.00329597937309 | Test Loss: 0.00300166717754 | Train Acc: 96.87 | Test Acc: 97.13
Epoch: 20 | Train Loss: 0.00327553222526 | Test Loss: 0.00298992043328 | Train Acc: 96.9533333333 | Test Acc: 97.04
Epoch: 21 | Train Loss: 0.00321005448748 | Test Loss: 0.00307432302794 | Train Acc: 96.95 | Test Acc: 97.27
Epoch: 22 | Train Loss: 0.00310682544558 | Test Loss: 0.00294151085985 | Train Acc: 97.0816666667 | Test Acc: 97.3
Epoch: 23 | Train Loss: 0.0031108807525 | Test Loss: 0.00277279095751 | Train Acc: 97.11 | Test Acc: 97.3
Epoch: 24 | Train Loss: 0.00303253215396 | Test Loss: 0.00281328080582 | Train Acc: 97.1683333333 | Test Acc: 97.11
Epoch: 25 | Train Loss: 0.00303158093877 | Test Loss: 0.00288594646624 | Train Acc: 97.1 | Test Acc: 97.22
Epoch: 26 | Train Loss: 0.00292512285303 | Test Loss: 0.00279655480082 | Train Acc: 97.2266666667 | Test Acc: 97.47
Epoch: 27 | Train Loss: 0.00292247878537 | Test Loss: 0.00273285208749 | Train Acc: 97.2033333333 | Test Acc: 97.39
Epoch: 28 | Train Loss: 0.00280698940953 | Test Loss: 0.00270337776388 | Train Acc: 97.3383333333 | Test Acc: 97.56
Epoch: 29 | Train Loss: 0.00280804093344 | Test Loss: 0.00286317716553 | Train Acc: 97.3383333333 | Test Acc: 97.38
Epoch: 30 | Train Loss: 0.00282270096184 | Test Loss: 0.00241626695531 | Train Acc: 97.3533333333 | Test Acc: 97.69
Epoch: 31 | Train Loss: 0.0028233727154 | Test Loss: 0.00260320047154 | Train Acc: 97.3383333333 | Test Acc: 97.74
Epoch: 32 | Train Loss: 0.0026431449751 | Test Loss: 0.0025871386764 | Train Acc: 97.4966666667 | Test Acc: 97.52
Epoch: 33 | Train Loss: 0.00274062374998 | Test Loss: 0.00247395398796 | Train Acc: 97.4233333333 | Test Acc: 97.7
Epoch: 34 | Train Loss: 0.00259449990424 | Test Loss: 0.00234105964911 | Train Acc: 97.53 | Test Acc: 97.69
Epoch: 35 | Train Loss: 0.00263995172686 | Test Loss: 0.00266603333228 | Train Acc: 97.5066666667 | Test Acc: 97.52
Epoch: 36 | Train Loss: 0.0025644098183 | Test Loss: 0.00237728256071 | Train Acc: 97.6283333333 | Test Acc: 97.85
Epoch: 37 | Train Loss: 0.00259690989512 | Test Loss: 0.00264570184806 | Train Acc: 97.5616666667 | Test Acc: 97.42
Epoch: 38 | Train Loss: 0.00250593516767 | Test Loss: 0.00261514476303 | Train Acc: 97.6233333333 | Test Acc: 97.34
Epoch: 39 | Train Loss: 0.00252160938376 | Test Loss: 0.00253380045926 | Train Acc: 97.595 | Test Acc: 97.44
Epoch: 40 | Train Loss: 0.00241394714277 | Test Loss: 0.00226376154197 | Train Acc: 97.7283333333 | Test Acc: 97.89
