Epoch: 0 | Train Loss: 0.0226822440479 | Test Loss: 0.00354551904202 | Train Acc: 75.1333333333 | Test Acc: 96.66
Epoch: 1 | Train Loss: 0.003420499096 | Test Loss: 0.00235796841877 | Train Acc: 96.6433333333 | Test Acc: 97.65
Epoch: 2 | Train Loss: 0.00241143044029 | Test Loss: 0.0016464045616 | Train Acc: 97.6916666667 | Test Acc: 98.25
Epoch: 3 | Train Loss: 0.00193908851248 | Test Loss: 0.00167671500889 | Train Acc: 98.1166666667 | Test Acc: 98.27
Epoch: 4 | Train Loss: 0.00163842665213 | Test Loss: 0.00130968212929 | Train Acc: 98.3833333333 | Test Acc: 98.75
Epoch: 5 | Train Loss: 0.00143603392599 | Test Loss: 0.00127531118328 | Train Acc: 98.5416666667 | Test Acc: 98.76
Epoch: 6 | Train Loss: 0.00127314134578 | Test Loss: 0.00127127254968 | Train Acc: 98.75 | Test Acc: 98.79
Epoch: 7 | Train Loss: 0.0011514708024 | Test Loss: 0.00121574839033 | Train Acc: 98.8833333333 | Test Acc: 98.72
Epoch: 8 | Train Loss: 0.00104690013337 | Test Loss: 0.00126463272328 | Train Acc: 98.9466666667 | Test Acc: 98.76
Epoch: 9 | Train Loss: 0.000955813835985 | Test Loss: 0.00117750205436 | Train Acc: 99.0583333333 | Test Acc: 98.83
Epoch: 10 | Train Loss: 0.000906007744797 | Test Loss: 0.00128759685327 | Train Acc: 99.07 | Test Acc: 98.61
Epoch: 11 | Train Loss: 0.000812483691152 | Test Loss: 0.00108149261817 | Train Acc: 99.1633333333 | Test Acc: 98.9
Epoch: 12 | Train Loss: 0.000758554727586 | Test Loss: 0.00128476829706 | Train Acc: 99.27 | Test Acc: 98.65
Epoch: 13 | Train Loss: 0.000702054606015 | Test Loss: 0.00112306098109 | Train Acc: 99.2866666667 | Test Acc: 98.88
Epoch: 14 | Train Loss: 0.000670722530632 | Test Loss: 0.00107205260587 | Train Acc: 99.3466666667 | Test Acc: 98.9
Epoch: 15 | Train Loss: 0.000621313640193 | Test Loss: 0.00107828366451 | Train Acc: 99.3583333333 | Test Acc: 98.97
