Epoch: 0 | Train Loss: 0.0207882898899 | Test Loss: 0.00465009437241 | Train Acc: 78.0033333333 | Test Acc: 95.59
Epoch: 1 | Train Loss: 0.00432916089864 | Test Loss: 0.00328635095358 | Train Acc: 95.9133333333 | Test Acc: 96.81
Epoch: 2 | Train Loss: 0.00320425661905 | Test Loss: 0.00236625719632 | Train Acc: 96.9883333333 | Test Acc: 97.67
Epoch: 3 | Train Loss: 0.00268309257737 | Test Loss: 0.00226471204523 | Train Acc: 97.445 | Test Acc: 97.95
Epoch: 4 | Train Loss: 0.00241441273771 | Test Loss: 0.00195984572991 | Train Acc: 97.705 | Test Acc: 98.1
Epoch: 5 | Train Loss: 0.00217231455773 | Test Loss: 0.001844976595 | Train Acc: 97.975 | Test Acc: 98.23
Epoch: 6 | Train Loss: 0.00197262468906 | Test Loss: 0.00166597643955 | Train Acc: 98.0816666667 | Test Acc: 98.29
Epoch: 7 | Train Loss: 0.00181169738702 | Test Loss: 0.00177656387698 | Train Acc: 98.2 | Test Acc: 98.16
Epoch: 8 | Train Loss: 0.00170820962581 | Test Loss: 0.00160218654249 | Train Acc: 98.39 | Test Acc: 98.27
Epoch: 9 | Train Loss: 0.0016085659936 | Test Loss: 0.0014677313936 | Train Acc: 98.5083333333 | Test Acc: 98.5
Epoch: 10 | Train Loss: 0.00158962984722 | Test Loss: 0.00159086025889 | Train Acc: 98.4316666667 | Test Acc: 98.41
Epoch: 11 | Train Loss: 0.00150948486643 | Test Loss: 0.0014602248597 | Train Acc: 98.5616666667 | Test Acc: 98.58
Epoch: 12 | Train Loss: 0.00146104070513 | Test Loss: 0.00155684112329 | Train Acc: 98.5866666667 | Test Acc: 98.54
Epoch: 13 | Train Loss: 0.00143139573219 | Test Loss: 0.00155278901117 | Train Acc: 98.585 | Test Acc: 98.42
Epoch: 14 | Train Loss: 0.00136698126779 | Test Loss: 0.0016052916361 | Train Acc: 98.695 | Test Acc: 98.49
Epoch: 15 | Train Loss: 0.00129080352841 | Test Loss: 0.00143394813636 | Train Acc: 98.7533333333 | Test Acc: 98.64
Epoch: 16 | Train Loss: 0.00127807752286 | Test Loss: 0.00139229259819 | Train Acc: 98.7316666667 | Test Acc: 98.58
Epoch: 17 | Train Loss: 0.0012401725566 | Test Loss: 0.0016195399166 | Train Acc: 98.7883333333 | Test Acc: 98.5
Epoch: 18 | Train Loss: 0.00123469717633 | Test Loss: 0.00152581631758 | Train Acc: 98.84 | Test Acc: 98.54
Epoch: 19 | Train Loss: 0.00115395498789 | Test Loss: 0.00145521393668 | Train Acc: 98.8816666667 | Test Acc: 98.61
Epoch: 20 | Train Loss: 0.00118318449307 | Test Loss: 0.00145704880088 | Train Acc: 98.8733333333 | Test Acc: 98.48
Epoch: 21 | Train Loss: 0.00117066490514 | Test Loss: 0.00138945104292 | Train Acc: 98.8433333333 | Test Acc: 98.63
