Epoch: 0 | Train Loss: 0.0218124980678 | Test Loss: 0.00423415122833 | Train Acc: 76.04 | Test Acc: 95.7
Epoch: 1 | Train Loss: 0.00347868550535 | Test Loss: 0.00230059467754 | Train Acc: 96.6366666667 | Test Acc: 97.75
Epoch: 2 | Train Loss: 0.00248361641424 | Test Loss: 0.00178752452817 | Train Acc: 97.61 | Test Acc: 98.17
Epoch: 3 | Train Loss: 0.00198212653504 | Test Loss: 0.00178656883986 | Train Acc: 98.07 | Test Acc: 98.26
Epoch: 4 | Train Loss: 0.0016801286453 | Test Loss: 0.001484293125 | Train Acc: 98.4066666667 | Test Acc: 98.46
Epoch: 5 | Train Loss: 0.00144917560724 | Test Loss: 0.00135789565903 | Train Acc: 98.5633333333 | Test Acc: 98.58
Epoch: 6 | Train Loss: 0.00126779809374 | Test Loss: 0.0013535137244 | Train Acc: 98.75 | Test Acc: 98.55
Epoch: 7 | Train Loss: 0.00112706915026 | Test Loss: 0.00119264712928 | Train Acc: 98.8783333333 | Test Acc: 98.78
Epoch: 8 | Train Loss: 0.0010430256548 | Test Loss: 0.00112524578676 | Train Acc: 98.9966666667 | Test Acc: 98.81
Epoch: 9 | Train Loss: 0.00094728859225 | Test Loss: 0.000940197798709 | Train Acc: 99.0183333333 | Test Acc: 99.01
Epoch: 10 | Train Loss: 0.000865791809249 | Test Loss: 0.00117185804277 | Train Acc: 99.1 | Test Acc: 98.7
Epoch: 11 | Train Loss: 0.000793385508229 | Test Loss: 0.000992002993029 | Train Acc: 99.1733333333 | Test Acc: 98.95
Epoch: 12 | Train Loss: 0.000764467794671 | Test Loss: 0.00117553071673 | Train Acc: 99.2083333333 | Test Acc: 98.78
Epoch: 13 | Train Loss: 0.000687636468203 | Test Loss: 0.000972762084774 | Train Acc: 99.2933333333 | Test Acc: 99.02
Epoch: 14 | Train Loss: 0.000651053237627 | Test Loss: 0.000853017955241 | Train Acc: 99.3216666667 | Test Acc: 99.12
Epoch: 15 | Train Loss: 0.000596651154186 | Test Loss: 0.00118354009024 | Train Acc: 99.4366666667 | Test Acc: 98.67
Epoch: 16 | Train Loss: 0.00056755416433 | Test Loss: 0.0011860407913 | Train Acc: 99.4366666667 | Test Acc: 98.94
Epoch: 17 | Train Loss: 0.000532841192853 | Test Loss: 0.000951473641605 | Train Acc: 99.4516666667 | Test Acc: 99.03
Epoch: 18 | Train Loss: 0.000497568836039 | Test Loss: 0.000803414546532 | Train Acc: 99.49 | Test Acc: 99.14
Epoch: 19 | Train Loss: 0.000468162379267 | Test Loss: 0.00089878308889 | Train Acc: 99.545 | Test Acc: 99.09
Epoch: 20 | Train Loss: 0.000453082959368 | Test Loss: 0.000866764413573 | Train Acc: 99.5733333333 | Test Acc: 99.18
Epoch: 21 | Train Loss: 0.000414238783731 | Test Loss: 0.000963427740047 | Train Acc: 99.5616666667 | Test Acc: 99.1
Epoch: 22 | Train Loss: 0.000411156469991 | Test Loss: 0.000944443657976 | Train Acc: 99.61 | Test Acc: 99.02
Epoch: 23 | Train Loss: 0.000381962630987 | Test Loss: 0.0010213928404 | Train Acc: 99.6416666667 | Test Acc: 98.91
Epoch: 24 | Train Loss: 0.000355140004048 | Test Loss: 0.00128612455267 | Train Acc: 99.67 | Test Acc: 98.68
Epoch: 25 | Train Loss: 0.000349746294904 | Test Loss: 0.00105048598797 | Train Acc: 99.67 | Test Acc: 98.95
Epoch: 26 | Train Loss: 0.00032927261489 | Test Loss: 0.000934098175585 | Train Acc: 99.7 | Test Acc: 99.03
Epoch: 27 | Train Loss: 0.000293414191269 | Test Loss: 0.000999770925822 | Train Acc: 99.7583333333 | Test Acc: 98.98
Epoch: 28 | Train Loss: 0.00029244973766 | Test Loss: 0.00084886502294 | Train Acc: 99.7566666667 | Test Acc: 99.18
Epoch: 29 | Train Loss: 0.000280566255036 | Test Loss: 0.000967253246779 | Train Acc: 99.7483333333 | Test Acc: 98.98
Epoch: 30 | Train Loss: 0.000283378262686 | Test Loss: 0.000980958957086 | Train Acc: 99.7583333333 | Test Acc: 98.98
Epoch: 31 | Train Loss: 0.000270390993936 | Test Loss: 0.000873559694986 | Train Acc: 99.7683333333 | Test Acc: 99.11
Epoch: 32 | Train Loss: 0.000253264228351 | Test Loss: 0.000928518127551 | Train Acc: 99.7883333333 | Test Acc: 99.11
Epoch: 33 | Train Loss: 0.000240910869659 | Test Loss: 0.000956780805363 | Train Acc: 99.805 | Test Acc: 99.06
Epoch: 34 | Train Loss: 0.000246427682938 | Test Loss: 0.00087981762889 | Train Acc: 99.81 | Test Acc: 99.16
