Epoch: 0 | Train Loss: 0.07180195154349009 | Test Loss: 0.0710688866853714 | Train Acc: 11.356666666666667 | Test Acc: 16.39
Epoch: 1 | Train Loss: 0.03783327209502459 | Test Loss: 0.016471019104123116 | Train Acc: 60.193333333333335 | Test Acc: 83.85
Epoch: 2 | Train Loss: 0.013462707917143902 | Test Loss: 0.010991870285198092 | Train Acc: 86.76166666666667 | Test Acc: 88.97
Epoch: 3 | Train Loss: 0.010343006346623104 | Test Loss: 0.009147407896444202 | Train Acc: 90.01666666666667 | Test Acc: 91.11
Epoch: 4 | Train Loss: 0.008590362115980436 | Test Loss: 0.0076675991024822 | Train Acc: 91.71333333333334 | Test Acc: 92.29
Epoch: 5 | Train Loss: 0.007896998783635596 | Test Loss: 0.006957310179062187 | Train Acc: 92.43166666666667 | Test Acc: 93.58
Epoch: 6 | Train Loss: 0.007149838599096983 | Test Loss: 0.006986607277020812 | Train Acc: 93.11333333333333 | Test Acc: 93.19
Epoch: 7 | Train Loss: 0.006762740527729814 | Test Loss: 0.006362581823207438 | Train Acc: 93.59333333333333 | Test Acc: 93.79
Epoch: 8 | Train Loss: 0.006346968284063041 | Test Loss: 0.005680743965227157 | Train Acc: 93.96 | Test Acc: 94.69
Epoch: 9 | Train Loss: 0.006008362802350894 | Test Loss: 0.005448010084033012 | Train Acc: 94.32833333333333 | Test Acc: 94.82
Epoch: 10 | Train Loss: 0.005820526890231607 | Test Loss: 0.005575472655333579 | Train Acc: 94.43666666666667 | Test Acc: 95.06
Epoch: 11 | Train Loss: 0.005751855544637268 | Test Loss: 0.004953386927396059 | Train Acc: 94.47166666666666 | Test Acc: 95.37
Epoch: 12 | Train Loss: 0.005370899060931212 | Test Loss: 0.005274966246262193 | Train Acc: 94.82 | Test Acc: 95.02
Epoch: 13 | Train Loss: 0.005162465642470245 | Test Loss: 0.004981542411353439 | Train Acc: 94.98833333333333 | Test Acc: 95.21
Epoch: 14 | Train Loss: 0.005075468678066197 | Test Loss: 0.004972549612727016 | Train Acc: 95.2 | Test Acc: 95.48
Epoch: 15 | Train Loss: 0.004921758755622432 | Test Loss: 0.004594321453757584 | Train Acc: 95.31166666666667 | Test Acc: 95.77
Epoch: 16 | Train Loss: 0.004810602324246429 | Test Loss: 0.004022645752551034 | Train Acc: 95.45166666666667 | Test Acc: 96.13
Epoch: 17 | Train Loss: 0.0046482308832928535 | Test Loss: 0.0041740708860568704 | Train Acc: 95.67 | Test Acc: 95.96
Epoch: 18 | Train Loss: 0.00455545233192388 | Test Loss: 0.004288689646823332 | Train Acc: 95.735 | Test Acc: 95.84
Epoch: 19 | Train Loss: 0.0045406721238434936 | Test Loss: 0.0041863290793262425 | Train Acc: 95.71833333333333 | Test Acc: 96.02
Epoch: 20 | Train Loss: 0.004377970314728251 | Test Loss: 0.004047919010557234 | Train Acc: 95.81 | Test Acc: 96.11
Epoch: 21 | Train Loss: 0.0043768129339286435 | Test Loss: 0.0043435566335916515 | Train Acc: 95.84166666666667 | Test Acc: 96.08
Epoch: 22 | Train Loss: 0.004379391193537352 | Test Loss: 0.003839611609093845 | Train Acc: 95.845 | Test Acc: 96.47
Epoch: 23 | Train Loss: 0.004229789655997108 | Test Loss: 0.004208258730825037 | Train Acc: 95.98166666666667 | Test Acc: 96.05
Epoch: 24 | Train Loss: 0.0042126984046694516 | Test Loss: 0.0038868819432333114 | Train Acc: 96.07333333333334 | Test Acc: 96.38
Epoch: 25 | Train Loss: 0.0040384472913729645 | Test Loss: 0.0038966825946234167 | Train Acc: 96.285 | Test Acc: 96.36
Epoch: 26 | Train Loss: 0.004071570743061602 | Test Loss: 0.003969544327445328 | Train Acc: 96.21 | Test Acc: 96.46
Epoch: 27 | Train Loss: 0.0040224749548438314 | Test Loss: 0.0037731827778741717 | Train Acc: 96.125 | Test Acc: 96.48
Epoch: 28 | Train Loss: 0.00396714895136732 | Test Loss: 0.003770932912221178 | Train Acc: 96.335 | Test Acc: 96.66
Epoch: 29 | Train Loss: 0.0038933132010201613 | Test Loss: 0.003775905722938478 | Train Acc: 96.26666666666667 | Test Acc: 96.56
Epoch: 30 | Train Loss: 0.003973163843108341 | Test Loss: 0.0039900948850438 | Train Acc: 96.27666666666667 | Test Acc: 96.13
Epoch: 31 | Train Loss: 0.0038600850568308183 | Test Loss: 0.0037892088545951994 | Train Acc: 96.33 | Test Acc: 96.44
Epoch: 32 | Train Loss: 0.0038260974534709627 | Test Loss: 0.003431584149273112 | Train Acc: 96.50833333333334 | Test Acc: 96.74
Epoch: 33 | Train Loss: 0.0038365498871309684 | Test Loss: 0.003749511989578605 | Train Acc: 96.47166666666666 | Test Acc: 96.63
Epoch: 34 | Train Loss: 0.003714847734667516 | Test Loss: 0.004208974959258921 | Train Acc: 96.44833333333334 | Test Acc: 95.83
Epoch: 35 | Train Loss: 0.003786792101342386 | Test Loss: 0.0035969050960149617 | Train Acc: 96.3 | Test Acc: 96.58
Epoch: 36 | Train Loss: 0.0036082443944877012 | Test Loss: 0.0038636908628046514 | Train Acc: 96.60666666666667 | Test Acc: 96.43
Epoch: 37 | Train Loss: 0.0037418750906169102 | Test Loss: 0.003736920024128631 | Train Acc: 96.56166666666667 | Test Acc: 96.41
Epoch: 38 | Train Loss: 0.0036909221471403725 | Test Loss: 0.003574539342708886 | Train Acc: 96.51166666666667 | Test Acc: 96.53
Epoch: 39 | Train Loss: 0.003618503542849794 | Test Loss: 0.003708845584932715 | Train Acc: 96.59666666666666 | Test Acc: 96.49
Epoch: 40 | Train Loss: 0.003624418788469241 | Test Loss: 0.003560375020792708 | Train Acc: 96.56166666666667 | Test Acc: 96.56
Epoch: 41 | Train Loss: 0.003670499102208608 | Test Loss: 0.003397937973681837 | Train Acc: 96.545 | Test Acc: 96.74
Epoch: 42 | Train Loss: 0.003556448858937559 | Test Loss: 0.003491412686696276 | Train Acc: 96.675 | Test Acc: 96.72
Epoch: 43 | Train Loss: 0.003485571382854444 | Test Loss: 0.0035152876469306646 | Train Acc: 96.73833333333333 | Test Acc: 96.91
Epoch: 44 | Train Loss: 0.003510746270561746 | Test Loss: 0.003316267593181692 | Train Acc: 96.69833333333334 | Test Acc: 96.77
