Epoch: 0 | Train Loss: 0.0716489018877 | Test Loss: 0.0698543229342 | Train Acc: 12.6516666667 | Test Acc: 20.33
Epoch: 1 | Train Loss: 0.0336329025519 | Test Loss: 0.0164103489585 | Train Acc: 63.7283333333 | Test Acc: 83.15
Epoch: 2 | Train Loss: 0.0140228623735 | Test Loss: 0.0115434928639 | Train Acc: 86.095 | Test Acc: 88.93
Epoch: 3 | Train Loss: 0.0107637983677 | Test Loss: 0.00955578193255 | Train Acc: 89.4716666667 | Test Acc: 90.37
Epoch: 4 | Train Loss: 0.00915773314362 | Test Loss: 0.00785123828668 | Train Acc: 91.22 | Test Acc: 92.37
Epoch: 5 | Train Loss: 0.00814760707058 | Test Loss: 0.0073151558388 | Train Acc: 92.145 | Test Acc: 93.25
Epoch: 6 | Train Loss: 0.00755846191499 | Test Loss: 0.00670477299877 | Train Acc: 92.8416666667 | Test Acc: 93.91
Epoch: 7 | Train Loss: 0.00712235699769 | Test Loss: 0.00635517517999 | Train Acc: 93.235 | Test Acc: 93.73
Epoch: 8 | Train Loss: 0.006470356273 | Test Loss: 0.00609287937419 | Train Acc: 93.8766666667 | Test Acc: 94.25
Epoch: 9 | Train Loss: 0.00615317879789 | Test Loss: 0.0057555728911 | Train Acc: 94.1633333333 | Test Acc: 94.73
Epoch: 10 | Train Loss: 0.00596586651881 | Test Loss: 0.00587443368207 | Train Acc: 94.44 | Test Acc: 94.22
Epoch: 11 | Train Loss: 0.00568729003539 | Test Loss: 0.00541539559548 | Train Acc: 94.735 | Test Acc: 95.04
Epoch: 12 | Train Loss: 0.00561929501832 | Test Loss: 0.00527080767991 | Train Acc: 94.7183333333 | Test Acc: 94.78
Epoch: 13 | Train Loss: 0.00540144271447 | Test Loss: 0.00488819369208 | Train Acc: 94.9916666667 | Test Acc: 95.4
Epoch: 14 | Train Loss: 0.00521384094465 | Test Loss: 0.00499292626368 | Train Acc: 95.1083333333 | Test Acc: 94.99
Epoch: 15 | Train Loss: 0.00503884525655 | Test Loss: 0.0046990534727 | Train Acc: 95.3366666667 | Test Acc: 95.6
Epoch: 16 | Train Loss: 0.00483054718488 | Test Loss: 0.00432775598851 | Train Acc: 95.4816666667 | Test Acc: 95.95
Epoch: 17 | Train Loss: 0.00483370718517 | Test Loss: 0.00454973118696 | Train Acc: 95.5233333333 | Test Acc: 95.45
Epoch: 18 | Train Loss: 0.00467422504974 | Test Loss: 0.0043820588215 | Train Acc: 95.6766666667 | Test Acc: 95.79
Epoch: 19 | Train Loss: 0.00457855417245 | Test Loss: 0.00438588601849 | Train Acc: 95.7333333333 | Test Acc: 95.75
Epoch: 20 | Train Loss: 0.00446845621245 | Test Loss: 0.00436170436228 | Train Acc: 95.8 | Test Acc: 96.06
Epoch: 21 | Train Loss: 0.00438061989326 | Test Loss: 0.00445569444627 | Train Acc: 95.8866666667 | Test Acc: 96.06
Epoch: 22 | Train Loss: 0.004325584271 | Test Loss: 0.00423980751538 | Train Acc: 96.0616666667 | Test Acc: 96.1
Epoch: 23 | Train Loss: 0.0042231745425 | Test Loss: 0.00374878286526 | Train Acc: 96.0066666667 | Test Acc: 96.47
Epoch: 24 | Train Loss: 0.00425233282069 | Test Loss: 0.00389035215271 | Train Acc: 96.095 | Test Acc: 96.25
Epoch: 25 | Train Loss: 0.00419963820356 | Test Loss: 0.00391470874938 | Train Acc: 96.0983333333 | Test Acc: 96.4
Epoch: 26 | Train Loss: 0.00404986867562 | Test Loss: 0.0038686345921 | Train Acc: 96.2183333333 | Test Acc: 96.45
Epoch: 27 | Train Loss: 0.00409394893455 | Test Loss: 0.00391924458116 | Train Acc: 96.2283333333 | Test Acc: 96.38
Epoch: 28 | Train Loss: 0.00406030812931 | Test Loss: 0.00392545279783 | Train Acc: 96.2516666667 | Test Acc: 96.33
Epoch: 29 | Train Loss: 0.00396989744053 | Test Loss: 0.00414214403263 | Train Acc: 96.31 | Test Acc: 96.25
Epoch: 30 | Train Loss: 0.00394859439772 | Test Loss: 0.00327576715536 | Train Acc: 96.3016666667 | Test Acc: 97.06
Epoch: 31 | Train Loss: 0.00402819785005 | Test Loss: 0.00359586387438 | Train Acc: 96.3283333333 | Test Acc: 96.43
Epoch: 32 | Train Loss: 0.00387687163342 | Test Loss: 0.0036313440436 | Train Acc: 96.3633333333 | Test Acc: 96.42
Epoch: 33 | Train Loss: 0.00375880012806 | Test Loss: 0.00391498441374 | Train Acc: 96.4933333333 | Test Acc: 96.58
Epoch: 34 | Train Loss: 0.00387707752834 | Test Loss: 0.00363462930433 | Train Acc: 96.3633333333 | Test Acc: 96.54
Epoch: 35 | Train Loss: 0.00381781397426 | Test Loss: 0.00366228973589 | Train Acc: 96.5 | Test Acc: 96.64
Epoch: 36 | Train Loss: 0.00374436129373 | Test Loss: 0.00371498073316 | Train Acc: 96.4633333333 | Test Acc: 96.54
Epoch: 37 | Train Loss: 0.0038381755428 | Test Loss: 0.00386060847805 | Train Acc: 96.445 | Test Acc: 96.34
Epoch: 38 | Train Loss: 0.00361021636424 | Test Loss: 0.00361018401302 | Train Acc: 96.5466666667 | Test Acc: 96.68
Epoch: 39 | Train Loss: 0.00364082659559 | Test Loss: 0.00357463793915 | Train Acc: 96.62 | Test Acc: 96.66
Epoch: 40 | Train Loss: 0.0037541984124 | Test Loss: 0.0035322471238 | Train Acc: 96.42 | Test Acc: 96.4
