Epoch: 0 | Train Loss: 0.018841102473 | Test Loss: 0.00337310695518 | Train Acc: 79.87 | Test Acc: 96.62
Epoch: 1 | Train Loss: 0.0033291800529 | Test Loss: 0.00210374728118 | Train Acc: 96.7316666667 | Test Acc: 97.82
Epoch: 2 | Train Loss: 0.00241888813227 | Test Loss: 0.00300046862243 | Train Acc: 97.54 | Test Acc: 97.09
Epoch: 3 | Train Loss: 0.00195750722533 | Test Loss: 0.00161346012942 | Train Acc: 98.05 | Test Acc: 98.36
Epoch: 4 | Train Loss: 0.00169974229379 | Test Loss: 0.00149785705993 | Train Acc: 98.3116666667 | Test Acc: 98.51
Epoch: 5 | Train Loss: 0.0014790142552 | Test Loss: 0.00144266892477 | Train Acc: 98.555 | Test Acc: 98.46
Epoch: 6 | Train Loss: 0.00130670291204 | Test Loss: 0.00142583300421 | Train Acc: 98.7133333333 | Test Acc: 98.59
Epoch: 7 | Train Loss: 0.00117368361554 | Test Loss: 0.00118638714902 | Train Acc: 98.815 | Test Acc: 98.74
Epoch: 8 | Train Loss: 0.00106678350606 | Test Loss: 0.00128412000484 | Train Acc: 98.9333333333 | Test Acc: 98.69
Epoch: 9 | Train Loss: 0.000945459444273 | Test Loss: 0.00105045435188 | Train Acc: 99.075 | Test Acc: 98.95
Epoch: 10 | Train Loss: 0.00091492293285 | Test Loss: 0.00109418372178 | Train Acc: 99.0466666667 | Test Acc: 98.87
Epoch: 11 | Train Loss: 0.000815593881625 | Test Loss: 0.00101182657558 | Train Acc: 99.1883333333 | Test Acc: 98.97
Epoch: 12 | Train Loss: 0.00076624594263 | Test Loss: 0.0010921914337 | Train Acc: 99.23 | Test Acc: 98.93
Epoch: 13 | Train Loss: 0.000686715851149 | Test Loss: 0.00115460251112 | Train Acc: 99.3366666667 | Test Acc: 98.75
Epoch: 14 | Train Loss: 0.000632411185837 | Test Loss: 0.00107432496484 | Train Acc: 99.3766666667 | Test Acc: 98.99
Epoch: 15 | Train Loss: 0.000615190758771 | Test Loss: 0.00113485213257 | Train Acc: 99.36 | Test Acc: 98.75
Epoch: 16 | Train Loss: 0.000567359109364 | Test Loss: 0.00105615026408 | Train Acc: 99.4533333333 | Test Acc: 98.94
Epoch: 17 | Train Loss: 0.000531712291741 | Test Loss: 0.00103426264675 | Train Acc: 99.4433333333 | Test Acc: 98.96
Epoch: 18 | Train Loss: 0.000487082825131 | Test Loss: 0.00104876539104 | Train Acc: 99.52 | Test Acc: 98.87
Epoch: 19 | Train Loss: 0.000482653008373 | Test Loss: 0.00109042611581 | Train Acc: 99.5083333333 | Test Acc: 99.0
