Epoch: 0 | Train Loss: 0.0376546657664 | Test Loss: 0.0116016961746 | Train Acc: 58.45 | Test Acc: 88.09
Epoch: 1 | Train Loss: 0.00980312625583 | Test Loss: 0.00767507894821 | Train Acc: 89.9116666667 | Test Acc: 92.34
Epoch: 2 | Train Loss: 0.00700338409655 | Test Loss: 0.00585917723812 | Train Acc: 92.8416666667 | Test Acc: 93.95
Epoch: 3 | Train Loss: 0.00598699704551 | Test Loss: 0.00503195586121 | Train Acc: 93.835 | Test Acc: 94.73
Epoch: 4 | Train Loss: 0.00533364320952 | Test Loss: 0.00491104734084 | Train Acc: 94.5816666667 | Test Acc: 95.31
Epoch: 5 | Train Loss: 0.00489953235024 | Test Loss: 0.004489761886 | Train Acc: 94.9933333333 | Test Acc: 95.46
Epoch: 6 | Train Loss: 0.00467320075416 | Test Loss: 0.00426002039067 | Train Acc: 95.1266666667 | Test Acc: 95.43
Epoch: 7 | Train Loss: 0.00443452660802 | Test Loss: 0.00394203545218 | Train Acc: 95.3016666667 | Test Acc: 95.73
Epoch: 8 | Train Loss: 0.00412756501547 | Test Loss: 0.00396338396231 | Train Acc: 95.69 | Test Acc: 95.79
Epoch: 9 | Train Loss: 0.00407977787923 | Test Loss: 0.00386895963089 | Train Acc: 95.7933333333 | Test Acc: 95.95
Epoch: 10 | Train Loss: 0.00390388931327 | Test Loss: 0.00393614186738 | Train Acc: 95.915 | Test Acc: 95.9
Epoch: 11 | Train Loss: 0.00373827464283 | Test Loss: 0.00343305957243 | Train Acc: 96.1133333333 | Test Acc: 96.44
Epoch: 12 | Train Loss: 0.00371719505062 | Test Loss: 0.00339539809539 | Train Acc: 96.1766666667 | Test Acc: 96.46
Epoch: 13 | Train Loss: 0.00360422820995 | Test Loss: 0.00324792260593 | Train Acc: 96.2816666667 | Test Acc: 96.66
Epoch: 14 | Train Loss: 0.0034846112753 | Test Loss: 0.00362677347763 | Train Acc: 96.2816666667 | Test Acc: 96.17
Epoch: 15 | Train Loss: 0.00345218741941 | Test Loss: 0.00343676677509 | Train Acc: 96.4266666667 | Test Acc: 96.47
Epoch: 16 | Train Loss: 0.00329981383459 | Test Loss: 0.00301633971522 | Train Acc: 96.6316666667 | Test Acc: 96.9
Epoch: 17 | Train Loss: 0.00330621012187 | Test Loss: 0.00303286145991 | Train Acc: 96.4716666667 | Test Acc: 96.82
Epoch: 18 | Train Loss: 0.00330236388817 | Test Loss: 0.003210555323 | Train Acc: 96.5916666667 | Test Acc: 96.56
Epoch: 19 | Train Loss: 0.00324520475891 | Test Loss: 0.00319153399731 | Train Acc: 96.6 | Test Acc: 96.8
Epoch: 20 | Train Loss: 0.00318894122423 | Test Loss: 0.00325190962336 | Train Acc: 96.6583333333 | Test Acc: 96.78
Epoch: 21 | Train Loss: 0.00313744367792 | Test Loss: 0.00294090930475 | Train Acc: 96.75 | Test Acc: 96.73
Epoch: 22 | Train Loss: 0.00303394585198 | Test Loss: 0.00310012007374 | Train Acc: 96.8183333333 | Test Acc: 96.6
Epoch: 23 | Train Loss: 0.00296763356536 | Test Loss: 0.00287008814886 | Train Acc: 96.9533333333 | Test Acc: 97.08
Epoch: 24 | Train Loss: 0.00301699535009 | Test Loss: 0.00272715856086 | Train Acc: 96.895 | Test Acc: 97.05
Epoch: 25 | Train Loss: 0.00297667465271 | Test Loss: 0.00310908171982 | Train Acc: 96.9316666667 | Test Acc: 96.78
Epoch: 26 | Train Loss: 0.00298523836414 | Test Loss: 0.00294905024932 | Train Acc: 96.8666666667 | Test Acc: 96.7
Epoch: 27 | Train Loss: 0.00298338705215 | Test Loss: 0.00301671800609 | Train Acc: 96.86 | Test Acc: 96.91
Epoch: 28 | Train Loss: 0.00293662119439 | Test Loss: 0.00288302370543 | Train Acc: 96.9433333333 | Test Acc: 96.91
Epoch: 29 | Train Loss: 0.00284142401782 | Test Loss: 0.00297719803269 | Train Acc: 97.1116666667 | Test Acc: 96.96
