Epoch: 0 | Train Loss: 0.0196068086019 | Test Loss: 0.00391331945155 | Train Acc: 78.4766666667 | Test Acc: 96.01
Epoch: 1 | Train Loss: 0.00330612893509 | Test Loss: 0.00223586464624 | Train Acc: 96.695 | Test Acc: 97.83
Epoch: 2 | Train Loss: 0.00230530712259 | Test Loss: 0.00203695521995 | Train Acc: 97.6683333333 | Test Acc: 97.78
Epoch: 3 | Train Loss: 0.00186979864363 | Test Loss: 0.00144196119095 | Train Acc: 98.1516666667 | Test Acc: 98.52
Epoch: 4 | Train Loss: 0.00159699820123 | Test Loss: 0.00147265219503 | Train Acc: 98.395 | Test Acc: 98.53
Epoch: 5 | Train Loss: 0.00140149031594 | Test Loss: 0.00141657818696 | Train Acc: 98.575 | Test Acc: 98.49
Epoch: 6 | Train Loss: 0.00124871265794 | Test Loss: 0.0012712097428 | Train Acc: 98.7266666667 | Test Acc: 98.55
Epoch: 7 | Train Loss: 0.00113930176527 | Test Loss: 0.00126928406412 | Train Acc: 98.86 | Test Acc: 98.66
Epoch: 8 | Train Loss: 0.00104541358406 | Test Loss: 0.00109732791681 | Train Acc: 98.93 | Test Acc: 98.79
Epoch: 9 | Train Loss: 0.000950353831921 | Test Loss: 0.00130910659732 | Train Acc: 99.05 | Test Acc: 98.66
Epoch: 10 | Train Loss: 0.000877637671743 | Test Loss: 0.00104389445537 | Train Acc: 99.0766666667 | Test Acc: 99.02
Epoch: 11 | Train Loss: 0.000818104381532 | Test Loss: 0.00105049764921 | Train Acc: 99.1766666667 | Test Acc: 98.96
Epoch: 12 | Train Loss: 0.000749598802969 | Test Loss: 0.0013591261265 | Train Acc: 99.235 | Test Acc: 98.69
Epoch: 13 | Train Loss: 0.000719987380423 | Test Loss: 0.00102863326425 | Train Acc: 99.2533333333 | Test Acc: 98.94
Epoch: 14 | Train Loss: 0.000675582997759 | Test Loss: 0.000950175963818 | Train Acc: 99.3083333333 | Test Acc: 99.07
Epoch: 15 | Train Loss: 0.000616813106124 | Test Loss: 0.000945834396618 | Train Acc: 99.4083333333 | Test Acc: 99.03
Epoch: 16 | Train Loss: 0.000596751521581 | Test Loss: 0.000954084563513 | Train Acc: 99.4133333333 | Test Acc: 99.06
Epoch: 17 | Train Loss: 0.00056356181074 | Test Loss: 0.000966405011824 | Train Acc: 99.435 | Test Acc: 98.98
Epoch: 18 | Train Loss: 0.000518542759605 | Test Loss: 0.00112665880675 | Train Acc: 99.45 | Test Acc: 98.81
Epoch: 19 | Train Loss: 0.000500633688148 | Test Loss: 0.00103413073327 | Train Acc: 99.4983333333 | Test Acc: 99.0
Epoch: 20 | Train Loss: 0.000458818998702 | Test Loss: 0.000981916856468 | Train Acc: 99.5683333333 | Test Acc: 99.1
Epoch: 21 | Train Loss: 0.000450470692435 | Test Loss: 0.00100279605738 | Train Acc: 99.54 | Test Acc: 98.99
Epoch: 22 | Train Loss: 0.000443018293223 | Test Loss: 0.000987194545289 | Train Acc: 99.585 | Test Acc: 98.99
Epoch: 23 | Train Loss: 0.000402941998894 | Test Loss: 0.00105732783436 | Train Acc: 99.6316666667 | Test Acc: 99.0
Epoch: 24 | Train Loss: 0.000365478799469 | Test Loss: 0.000957785191 | Train Acc: 99.665 | Test Acc: 99.03
Epoch: 25 | Train Loss: 0.000379455712255 | Test Loss: 0.000909102203657 | Train Acc: 99.6266666667 | Test Acc: 99.13
Epoch: 26 | Train Loss: 0.000355445743556 | Test Loss: 0.00109422782363 | Train Acc: 99.685 | Test Acc: 99.01
Epoch: 27 | Train Loss: 0.000328419486171 | Test Loss: 0.000935004192841 | Train Acc: 99.715 | Test Acc: 99.14
Epoch: 28 | Train Loss: 0.000325375653393 | Test Loss: 0.00110983669491 | Train Acc: 99.6883333333 | Test Acc: 98.93
Epoch: 29 | Train Loss: 0.000316399084617 | Test Loss: 0.000929259665572 | Train Acc: 99.7083333333 | Test Acc: 99.07
Epoch: 30 | Train Loss: 0.000309032305732 | Test Loss: 0.000944350180816 | Train Acc: 99.7333333333 | Test Acc: 99.04
Epoch: 31 | Train Loss: 0.000289910150891 | Test Loss: 0.00110063672476 | Train Acc: 99.7366666667 | Test Acc: 98.96
Epoch: 32 | Train Loss: 0.000284164359637 | Test Loss: 0.000943144433179 | Train Acc: 99.7466666667 | Test Acc: 99.06
Epoch: 33 | Train Loss: 0.00025883764119 | Test Loss: 0.000962864547789 | Train Acc: 99.7916666667 | Test Acc: 99.11
Epoch: 34 | Train Loss: 0.000244323735543 | Test Loss: 0.000961843966664 | Train Acc: 99.825 | Test Acc: 99.01
Epoch: 35 | Train Loss: 0.000253525976155 | Test Loss: 0.000963190184756 | Train Acc: 99.7983333333 | Test Acc: 99.09
Epoch: 36 | Train Loss: 0.00023775939652 | Test Loss: 0.000930673426667 | Train Acc: 99.7966666667 | Test Acc: 99.11
Epoch: 37 | Train Loss: 0.000227650234795 | Test Loss: 0.000921117686351 | Train Acc: 99.8333333333 | Test Acc: 99.06
Epoch: 38 | Train Loss: 0.000247508838374 | Test Loss: 0.00104738899594 | Train Acc: 99.8066666667 | Test Acc: 98.95
Epoch: 39 | Train Loss: 0.000229436370026 | Test Loss: 0.00111074275106 | Train Acc: 99.8266666667 | Test Acc: 98.98
Epoch: 40 | Train Loss: 0.0002265806143 | Test Loss: 0.00116205403985 | Train Acc: 99.8266666667 | Test Acc: 98.88
Epoch: 41 | Train Loss: 0.000215509054192 | Test Loss: 0.000974181815635 | Train Acc: 99.8516666667 | Test Acc: 99.08
Epoch: 42 | Train Loss: 0.000217608766349 | Test Loss: 0.00101835074045 | Train Acc: 99.8266666667 | Test Acc: 99.01
Epoch: 43 | Train Loss: 0.000212026736017 | Test Loss: 0.000902001083733 | Train Acc: 99.8433333333 | Test Acc: 99.09
Epoch: 44 | Train Loss: 0.000194476575971 | Test Loss: 0.000962480017102 | Train Acc: 99.8533333333 | Test Acc: 99.13
Epoch: 45 | Train Loss: 0.000187936045382 | Test Loss: 0.000925096537941 | Train Acc: 99.8666666667 | Test Acc: 99.19
Epoch: 46 | Train Loss: 0.000186591419873 | Test Loss: 0.000879376290819 | Train Acc: 99.8683333333 | Test Acc: 99.14
Epoch: 47 | Train Loss: 0.000180681052075 | Test Loss: 0.000830090361094 | Train Acc: 99.8783333333 | Test Acc: 99.18
Epoch: 48 | Train Loss: 0.000190570817368 | Test Loss: 0.000907752689243 | Train Acc: 99.8666666667 | Test Acc: 99.06
Epoch: 49 | Train Loss: 0.000176114708605 | Test Loss: 0.00102982704903 | Train Acc: 99.885 | Test Acc: 98.99
