Epoch: 0 | Train Loss: 0.0211781330757 | Test Loss: 0.00838639230542 | Train Acc: 77.1466666667 | Test Acc: 91.15
Epoch: 1 | Train Loss: 0.00810350238141 | Test Loss: 0.00656996169686 | Train Acc: 91.6466666667 | Test Acc: 93.29
Epoch: 2 | Train Loss: 0.00626556445679 | Test Loss: 0.00533143910496 | Train Acc: 93.565 | Test Acc: 94.32
Epoch: 3 | Train Loss: 0.00547882125496 | Test Loss: 0.00520970343607 | Train Acc: 94.4333333333 | Test Acc: 94.68
Epoch: 4 | Train Loss: 0.00491212627598 | Test Loss: 0.00442995194653 | Train Acc: 94.95 | Test Acc: 95.31
Epoch: 5 | Train Loss: 0.00462305226978 | Test Loss: 0.00404024160786 | Train Acc: 95.2416666667 | Test Acc: 96.07
Epoch: 6 | Train Loss: 0.00441153848717 | Test Loss: 0.00430892493832 | Train Acc: 95.4683333333 | Test Acc: 95.45
Epoch: 7 | Train Loss: 0.00416511324674 | Test Loss: 0.00416722656772 | Train Acc: 95.6816666667 | Test Acc: 95.68
Epoch: 8 | Train Loss: 0.00403274228209 | Test Loss: 0.00379861799835 | Train Acc: 95.7916666667 | Test Acc: 96.07
Epoch: 9 | Train Loss: 0.00391880131837 | Test Loss: 0.00355896459934 | Train Acc: 96.0133333333 | Test Acc: 96.24
Epoch: 10 | Train Loss: 0.00386198229698 | Test Loss: 0.00361311973254 | Train Acc: 96.075 | Test Acc: 96.23
Epoch: 11 | Train Loss: 0.00371300294745 | Test Loss: 0.00373780671381 | Train Acc: 96.1233333333 | Test Acc: 96.07
Epoch: 12 | Train Loss: 0.00365066979976 | Test Loss: 0.00373875023823 | Train Acc: 96.27 | Test Acc: 96.28
Epoch: 13 | Train Loss: 0.00355301967495 | Test Loss: 0.00365438436582 | Train Acc: 96.4216666667 | Test Acc: 96.4
Epoch: 14 | Train Loss: 0.00345366934654 | Test Loss: 0.00327610134669 | Train Acc: 96.435 | Test Acc: 96.76
Epoch: 15 | Train Loss: 0.00339894809233 | Test Loss: 0.00371064255922 | Train Acc: 96.4183333333 | Test Acc: 96.14
Epoch: 16 | Train Loss: 0.00338879121389 | Test Loss: 0.00317821021401 | Train Acc: 96.54 | Test Acc: 96.51
Epoch: 17 | Train Loss: 0.00327008560889 | Test Loss: 0.00366162036757 | Train Acc: 96.615 | Test Acc: 96.06
Epoch: 18 | Train Loss: 0.00322505555497 | Test Loss: 0.00313088795129 | Train Acc: 96.6433333333 | Test Acc: 96.84
Epoch: 19 | Train Loss: 0.0031346150562 | Test Loss: 0.0030658685833 | Train Acc: 96.7933333333 | Test Acc: 96.67
Epoch: 20 | Train Loss: 0.00305079817635 | Test Loss: 0.00354803788001 | Train Acc: 96.8516666667 | Test Acc: 96.26
Epoch: 21 | Train Loss: 0.00314249788181 | Test Loss: 0.00310363430402 | Train Acc: 96.7433333333 | Test Acc: 96.84
Epoch: 22 | Train Loss: 0.00299026211614 | Test Loss: 0.00314020229266 | Train Acc: 96.9716666667 | Test Acc: 97.02
Epoch: 23 | Train Loss: 0.00305804257795 | Test Loss: 0.00304220952477 | Train Acc: 96.82 | Test Acc: 96.87
