Epoch: 0 | Train Loss: 0.045921823653 | Test Loss: 0.0100730716921 | Train Acc: 47.3816666667 | Test Acc: 89.61
Epoch: 1 | Train Loss: 0.00814094296691 | Test Loss: 0.00594100343734 | Train Acc: 91.8466666667 | Test Acc: 93.87
Epoch: 2 | Train Loss: 0.00550254730164 | Test Loss: 0.00476621602681 | Train Acc: 94.4383333333 | Test Acc: 94.85
Epoch: 3 | Train Loss: 0.00451786448059 | Test Loss: 0.00365297893025 | Train Acc: 95.4 | Test Acc: 96.39
Epoch: 4 | Train Loss: 0.00390091997016 | Test Loss: 0.00375796114281 | Train Acc: 96.01 | Test Acc: 96.25
Epoch: 5 | Train Loss: 0.00353348846254 | Test Loss: 0.00301444807523 | Train Acc: 96.4233333333 | Test Acc: 96.87
Epoch: 6 | Train Loss: 0.00315556417833 | Test Loss: 0.00275916217386 | Train Acc: 96.7533333333 | Test Acc: 97.23
Epoch: 7 | Train Loss: 0.00301980137236 | Test Loss: 0.00295484708585 | Train Acc: 96.9533333333 | Test Acc: 96.99
Epoch: 8 | Train Loss: 0.00290461035925 | Test Loss: 0.00270742174941 | Train Acc: 97.005 | Test Acc: 97.35
Epoch: 9 | Train Loss: 0.00272466761436 | Test Loss: 0.00263159391891 | Train Acc: 97.2333333333 | Test Acc: 97.14
Epoch: 10 | Train Loss: 0.00268660288422 | Test Loss: 0.00252563068513 | Train Acc: 97.2416666667 | Test Acc: 97.42
Epoch: 11 | Train Loss: 0.00251392131861 | Test Loss: 0.00234382991542 | Train Acc: 97.4316666667 | Test Acc: 97.46
Epoch: 12 | Train Loss: 0.00252506677257 | Test Loss: 0.0023957458707 | Train Acc: 97.46 | Test Acc: 97.45
Epoch: 13 | Train Loss: 0.00243121154524 | Test Loss: 0.00220847787518 | Train Acc: 97.5616666667 | Test Acc: 97.6
Epoch: 14 | Train Loss: 0.00239125495752 | Test Loss: 0.00220796109005 | Train Acc: 97.5083333333 | Test Acc: 97.88
Epoch: 15 | Train Loss: 0.00227071911787 | Test Loss: 0.00213853611235 | Train Acc: 97.585 | Test Acc: 97.85
Epoch: 16 | Train Loss: 0.00224487765021 | Test Loss: 0.0020503480244 | Train Acc: 97.775 | Test Acc: 97.94
Epoch: 17 | Train Loss: 0.00213182551311 | Test Loss: 0.00251269876093 | Train Acc: 97.8433333333 | Test Acc: 97.38
Epoch: 18 | Train Loss: 0.00211876590792 | Test Loss: 0.00204199551976 | Train Acc: 97.825 | Test Acc: 97.91
Epoch: 19 | Train Loss: 0.00211046493261 | Test Loss: 0.00200147950462 | Train Acc: 97.7733333333 | Test Acc: 97.93
Epoch: 20 | Train Loss: 0.00208453015823 | Test Loss: 0.00219815319323 | Train Acc: 97.8483333333 | Test Acc: 97.91
Epoch: 21 | Train Loss: 0.00204791067011 | Test Loss: 0.00185746729939 | Train Acc: 97.8933333333 | Test Acc: 98.17
Epoch: 22 | Train Loss: 0.00195883489367 | Test Loss: 0.0020874382656 | Train Acc: 97.9683333333 | Test Acc: 97.79
