Epoch: 0 | Train Loss: 0.0598905106091 | Test Loss: 0.0488438781142 | Train Acc: 29.164 | Test Acc: 43.39
Epoch: 1 | Train Loss: 0.0448035453522 | Test Loss: 0.041516772753 | Train Acc: 47.734 | Test Acc: 52.37
Epoch: 2 | Train Loss: 0.0388110099995 | Test Loss: 0.0367554278016 | Train Acc: 55.262 | Test Acc: 58.15
Epoch: 3 | Train Loss: 0.0342539089 | Test Loss: 0.0355524125874 | Train Acc: 61.002 | Test Acc: 59.25
Epoch: 4 | Train Loss: 0.0305100617886 | Test Loss: 0.0318042166829 | Train Acc: 65.574 | Test Acc: 64.4
Epoch: 5 | Train Loss: 0.0272587978733 | Test Loss: 0.0290895975828 | Train Acc: 69.458 | Test Acc: 67.12
Epoch: 6 | Train Loss: 0.0244322705019 | Test Loss: 0.0280801004529 | Train Acc: 72.652 | Test Acc: 69.06
Epoch: 7 | Train Loss: 0.0218584971869 | Test Loss: 0.0280559226573 | Train Acc: 75.528 | Test Acc: 68.65
Epoch: 8 | Train Loss: 0.0194663200155 | Test Loss: 0.0275703497142 | Train Acc: 78.222 | Test Acc: 70.01
Epoch: 9 | Train Loss: 0.0171540371421 | Test Loss: 0.0276402643979 | Train Acc: 80.624 | Test Acc: 70.99
Epoch: 10 | Train Loss: 0.0148695657061 | Test Loss: 0.0289256660014 | Train Acc: 83.42 | Test Acc: 70.68
Epoch: 11 | Train Loss: 0.0127377705872 | Test Loss: 0.028997234422 | Train Acc: 85.716 | Test Acc: 71.24
Epoch: 12 | Train Loss: 0.0106275259253 | Test Loss: 0.0311861028254 | Train Acc: 88.23 | Test Acc: 71.4
Epoch: 13 | Train Loss: 0.00872808287822 | Test Loss: 0.0359741883308 | Train Acc: 90.21 | Test Acc: 69.67
Epoch: 14 | Train Loss: 0.00712429215234 | Test Loss: 0.0329899714768 | Train Acc: 92.146 | Test Acc: 71.47
Epoch: 15 | Train Loss: 0.00565523943271 | Test Loss: 0.037654822737 | Train Acc: 93.878 | Test Acc: 70.11
Epoch: 16 | Train Loss: 0.00454248466037 | Test Loss: 0.0378976303712 | Train Acc: 95.116 | Test Acc: 71.57
Epoch: 17 | Train Loss: 0.00397162014837 | Test Loss: 0.0401229007453 | Train Acc: 95.654 | Test Acc: 70.86
Epoch: 18 | Train Loss: 0.00326022117384 | Test Loss: 0.0420906423599 | Train Acc: 96.638 | Test Acc: 71.84
Epoch: 19 | Train Loss: 0.00278933374687 | Test Loss: 0.0450987944126 | Train Acc: 96.936 | Test Acc: 70.54
Epoch: 20 | Train Loss: 0.00224088360236 | Test Loss: 0.0473720888078 | Train Acc: 97.678 | Test Acc: 69.97
Epoch: 21 | Train Loss: 0.00214781035643 | Test Loss: 0.0450909508914 | Train Acc: 97.796 | Test Acc: 71.49
Epoch: 22 | Train Loss: 0.00116075348674 | Test Loss: 0.0509622187406 | Train Acc: 98.93 | Test Acc: 70.38
Epoch: 23 | Train Loss: 0.00104631968173 | Test Loss: 0.0490616490036 | Train Acc: 99.114 | Test Acc: 71.89
Epoch: 24 | Train Loss: 0.000497263209301 | Test Loss: 0.047439672479 | Train Acc: 99.7 | Test Acc: 71.88
Epoch: 25 | Train Loss: 0.000242712581165 | Test Loss: 0.0468590737551 | Train Acc: 99.922 | Test Acc: 73.48
Epoch: 26 | Train Loss: 0.000103459182384 | Test Loss: 0.0473542149782 | Train Acc: 99.996 | Test Acc: 73.51
Epoch: 27 | Train Loss: 7.10794585937e-05 | Test Loss: 0.0469638807237 | Train Acc: 100.0 | Test Acc: 73.91
Epoch: 28 | Train Loss: 7.2016014203e-05 | Test Loss: 0.0463664736241 | Train Acc: 100.0 | Test Acc: 73.87
Epoch: 29 | Train Loss: 7.75633510354e-05 | Test Loss: 0.0454990327269 | Train Acc: 100.0 | Test Acc: 73.84
Epoch: 30 | Train Loss: 8.48061640502e-05 | Test Loss: 0.0445678610921 | Train Acc: 100.0 | Test Acc: 73.96
Epoch: 31 | Train Loss: 9.26285805344e-05 | Test Loss: 0.0440112412244 | Train Acc: 100.0 | Test Acc: 74.06
Epoch: 32 | Train Loss: 0.000100497299846 | Test Loss: 0.0431768016338 | Train Acc: 100.0 | Test Acc: 74.14
Epoch: 33 | Train Loss: 0.000107578063547 | Test Loss: 0.0427946443111 | Train Acc: 100.0 | Test Acc: 74.15
Epoch: 34 | Train Loss: 0.00011426346423 | Test Loss: 0.0424634289972 | Train Acc: 100.0 | Test Acc: 74.17
Epoch: 35 | Train Loss: 0.000120635700419 | Test Loss: 0.0418887167558 | Train Acc: 100.0 | Test Acc: 74.37
Epoch: 36 | Train Loss: 0.000125555728008 | Test Loss: 0.0416754751742 | Train Acc: 100.0 | Test Acc: 74.15
Epoch: 37 | Train Loss: 0.000130786021287 | Test Loss: 0.0413886604846 | Train Acc: 100.0 | Test Acc: 74.26
Epoch: 38 | Train Loss: 0.00013467712271 | Test Loss: 0.0412818513662 | Train Acc: 100.0 | Test Acc: 73.92
Epoch: 39 | Train Loss: 0.000137849644369 | Test Loss: 0.0410747405276 | Train Acc: 100.0 | Test Acc: 74.14
Epoch: 40 | Train Loss: 0.000140699119895 | Test Loss: 0.0406157445192 | Train Acc: 100.0 | Test Acc: 74.13
Epoch: 41 | Train Loss: 0.000143464322581 | Test Loss: 0.0407696044415 | Train Acc: 100.0 | Test Acc: 74.19
Epoch: 42 | Train Loss: 0.000146173263078 | Test Loss: 0.0405897694353 | Train Acc: 100.0 | Test Acc: 74.17
Epoch: 43 | Train Loss: 0.000148040827753 | Test Loss: 0.0407959535658 | Train Acc: 100.0 | Test Acc: 74.08
Epoch: 44 | Train Loss: 0.000150028918483 | Test Loss: 0.0406962098166 | Train Acc: 100.0 | Test Acc: 74.1
Epoch: 45 | Train Loss: 0.000150613184804 | Test Loss: 0.0404851678759 | Train Acc: 100.0 | Test Acc: 74.01
Epoch: 46 | Train Loss: 0.000153299706036 | Test Loss: 0.0405001650766 | Train Acc: 100.0 | Test Acc: 74.07
