Epoch: 0 | Train Loss: 0.0605067763948 | Test Loss: 0.0505278107285 | Train Acc: 27.716 | Test Acc: 39.88
Epoch: 1 | Train Loss: 0.0478033370256 | Test Loss: 0.0447880865335 | Train Acc: 43.638 | Test Acc: 47.83
Epoch: 2 | Train Loss: 0.0430083378351 | Test Loss: 0.0419869215488 | Train Acc: 49.842 | Test Acc: 50.3
Epoch: 3 | Train Loss: 0.0396065630996 | Test Loss: 0.0409696792662 | Train Acc: 54.044 | Test Acc: 53.63
Epoch: 4 | Train Loss: 0.036737918328 | Test Loss: 0.038406592232 | Train Acc: 57.966 | Test Acc: 56.06
Epoch: 5 | Train Loss: 0.0348700717986 | Test Loss: 0.0345640577197 | Train Acc: 60.258 | Test Acc: 61.12
Epoch: 6 | Train Loss: 0.0329502712142 | Test Loss: 0.0344063022614 | Train Acc: 62.452 | Test Acc: 61.37
Epoch: 7 | Train Loss: 0.0315506181878 | Test Loss: 0.0340501341879 | Train Acc: 64.012 | Test Acc: 61.84
Epoch: 8 | Train Loss: 0.0303193423384 | Test Loss: 0.032851009351 | Train Acc: 65.822 | Test Acc: 63.43
Epoch: 9 | Train Loss: 0.0292412369645 | Test Loss: 0.0302996430635 | Train Acc: 66.934 | Test Acc: 66.18
Epoch: 10 | Train Loss: 0.0285829677063 | Test Loss: 0.0303771097839 | Train Acc: 68.004 | Test Acc: 65.9
Epoch: 11 | Train Loss: 0.0276581129873 | Test Loss: 0.0294123983294 | Train Acc: 68.974 | Test Acc: 66.81
Epoch: 12 | Train Loss: 0.0270837962437 | Test Loss: 0.0292366590708 | Train Acc: 69.516 | Test Acc: 67.31
Epoch: 13 | Train Loss: 0.0262652859515 | Test Loss: 0.0292381284744 | Train Acc: 70.342 | Test Acc: 67.96
Epoch: 14 | Train Loss: 0.0257537030119 | Test Loss: 0.0291405860007 | Train Acc: 71.11 | Test Acc: 67.71
Epoch: 15 | Train Loss: 0.02528560417 | Test Loss: 0.0301379302949 | Train Acc: 71.47 | Test Acc: 66.79
Epoch: 16 | Train Loss: 0.0247903477472 | Test Loss: 0.0286403199345 | Train Acc: 72.028 | Test Acc: 68.13
Epoch: 17 | Train Loss: 0.0243331524509 | Test Loss: 0.0288415471107 | Train Acc: 72.654 | Test Acc: 68.14
Epoch: 18 | Train Loss: 0.0239998491526 | Test Loss: 0.0289332519829 | Train Acc: 72.962 | Test Acc: 68.38
Epoch: 19 | Train Loss: 0.0236723008192 | Test Loss: 0.0280133201867 | Train Acc: 73.09 | Test Acc: 69.56
Epoch: 20 | Train Loss: 0.0231367816573 | Test Loss: 0.0286965324432 | Train Acc: 73.802 | Test Acc: 68.73
Epoch: 21 | Train Loss: 0.0226252303514 | Test Loss: 0.029061119628 | Train Acc: 74.516 | Test Acc: 68.98
Epoch: 22 | Train Loss: 0.0223793605196 | Test Loss: 0.0280635562748 | Train Acc: 74.938 | Test Acc: 69.41
Epoch: 23 | Train Loss: 0.0221635309964 | Test Loss: 0.0279341093093 | Train Acc: 74.94 | Test Acc: 69.3
Epoch: 24 | Train Loss: 0.0219192850325 | Test Loss: 0.0283600814223 | Train Acc: 75.082 | Test Acc: 68.78
Epoch: 25 | Train Loss: 0.0216389413181 | Test Loss: 0.0280682226688 | Train Acc: 75.44 | Test Acc: 69.88
Epoch: 26 | Train Loss: 0.0214345654863 | Test Loss: 0.0282598608017 | Train Acc: 75.794 | Test Acc: 69.6
Epoch: 27 | Train Loss: 0.0213989613983 | Test Loss: 0.0282765283823 | Train Acc: 75.834 | Test Acc: 68.7
Epoch: 28 | Train Loss: 0.0219800695387 | Test Loss: 0.0283887432814 | Train Acc: 75.216 | Test Acc: 69.42
Epoch: 29 | Train Loss: 0.0210469059268 | Test Loss: 0.0292641554594 | Train Acc: 76.236 | Test Acc: 68.56
Epoch: 30 | Train Loss: 0.020721946831 | Test Loss: 0.0289659538031 | Train Acc: 76.662 | Test Acc: 68.66
Epoch: 31 | Train Loss: 0.0204571636724 | Test Loss: 0.0278251223266 | Train Acc: 76.882 | Test Acc: 69.99
Epoch: 32 | Train Loss: 0.0209757889694 | Test Loss: 0.028818937096 | Train Acc: 76.374 | Test Acc: 69.01
Epoch: 33 | Train Loss: 0.0216585564303 | Test Loss: 0.0289957746089 | Train Acc: 75.85 | Test Acc: 68.52
Epoch: 34 | Train Loss: 0.0208189942628 | Test Loss: 0.0282306960344 | Train Acc: 76.258 | Test Acc: 70.06
Epoch: 35 | Train Loss: 0.0203239005971 | Test Loss: 0.0287849871844 | Train Acc: 77.066 | Test Acc: 69.4
Epoch: 36 | Train Loss: 0.0206400430039 | Test Loss: 0.0283274309874 | Train Acc: 76.79 | Test Acc: 69.77
Epoch: 37 | Train Loss: 0.0200394544294 | Test Loss: 0.0283512807012 | Train Acc: 77.47 | Test Acc: 69.63
Epoch: 38 | Train Loss: 0.0197613934132 | Test Loss: 0.027760053578 | Train Acc: 77.648 | Test Acc: 70.07
Epoch: 39 | Train Loss: 0.0192610659155 | Test Loss: 0.027835648331 | Train Acc: 78.152 | Test Acc: 70.05
Epoch: 40 | Train Loss: 0.0193910780722 | Test Loss: 0.027741660881 | Train Acc: 77.932 | Test Acc: 70.51
Epoch: 41 | Train Loss: 0.0191115023437 | Test Loss: 0.0279669422567 | Train Acc: 78.388 | Test Acc: 70.1
Epoch: 42 | Train Loss: 0.0189109483612 | Test Loss: 0.0290245775044 | Train Acc: 78.662 | Test Acc: 69.04
Epoch: 43 | Train Loss: 0.0190091262558 | Test Loss: 0.0284615984648 | Train Acc: 78.488 | Test Acc: 70.15
Epoch: 44 | Train Loss: 0.0197762695348 | Test Loss: 0.02947614654 | Train Acc: 77.754 | Test Acc: 69.46
Epoch: 45 | Train Loss: 0.0188254540408 | Test Loss: 0.0283876642704 | Train Acc: 78.712 | Test Acc: 69.94
Epoch: 46 | Train Loss: 0.0186167898905 | Test Loss: 0.0292591162175 | Train Acc: 78.912 | Test Acc: 69.23
Epoch: 47 | Train Loss: 0.0186028061697 | Test Loss: 0.0279174093932 | Train Acc: 79.046 | Test Acc: 70.27
Epoch: 48 | Train Loss: 0.0182327889663 | Test Loss: 0.0291087025911 | Train Acc: 79.562 | Test Acc: 69.16
Epoch: 49 | Train Loss: 0.0182635246402 | Test Loss: 0.0281381177902 | Train Acc: 79.36 | Test Acc: 70.85
