Epoch: 0 | Train Loss: 0.0585998368168 | Test Loss: 0.0488538198829 | Train Acc: 31.25 | Test Acc: 43.26
Epoch: 1 | Train Loss: 0.0445258168542 | Test Loss: 0.0411865724444 | Train Acc: 48.5 | Test Acc: 52.4
Epoch: 2 | Train Loss: 0.0385685355067 | Test Loss: 0.0370577616572 | Train Acc: 55.746 | Test Acc: 57.5
Epoch: 3 | Train Loss: 0.0338468588376 | Test Loss: 0.0356318208635 | Train Acc: 61.614 | Test Acc: 59.66
Epoch: 4 | Train Loss: 0.0302539121896 | Test Loss: 0.0301449018449 | Train Acc: 65.91 | Test Acc: 66.05
Epoch: 5 | Train Loss: 0.0274611158109 | Test Loss: 0.0289765044481 | Train Acc: 69.052 | Test Acc: 67.06
Epoch: 6 | Train Loss: 0.0248256291193 | Test Loss: 0.0286998769641 | Train Acc: 72.082 | Test Acc: 67.71
Epoch: 7 | Train Loss: 0.0225731006676 | Test Loss: 0.0277694356531 | Train Acc: 74.534 | Test Acc: 69.44
Epoch: 8 | Train Loss: 0.0205477348006 | Test Loss: 0.026834070316 | Train Acc: 76.934 | Test Acc: 70.13
Epoch: 9 | Train Loss: 0.0185704727751 | Test Loss: 0.0267576287419 | Train Acc: 79.016 | Test Acc: 71.19
Epoch: 10 | Train Loss: 0.0166438817276 | Test Loss: 0.0285006120771 | Train Acc: 81.498 | Test Acc: 69.91
Epoch: 11 | Train Loss: 0.0149552491713 | Test Loss: 0.0273610694587 | Train Acc: 83.194 | Test Acc: 71.14
Epoch: 12 | Train Loss: 0.0133746110484 | Test Loss: 0.0289048617601 | Train Acc: 84.934 | Test Acc: 70.76
Epoch: 13 | Train Loss: 0.0117607261555 | Test Loss: 0.0303592366219 | Train Acc: 86.746 | Test Acc: 70.45
Epoch: 14 | Train Loss: 0.0104072488967 | Test Loss: 0.0310663174808 | Train Acc: 88.304 | Test Acc: 70.81
Epoch: 15 | Train Loss: 0.00920698138751 | Test Loss: 0.0331625251859 | Train Acc: 89.756 | Test Acc: 71.17
