Epoch: 0 | Train Loss: 0.06570886868238449 | Test Loss: 0.05653544877767563 | Train Acc: 22.3 | Test Acc: 34.78
Epoch: 1 | Train Loss: 0.049889749224185945 | Test Loss: 0.04588727999925613 | Train Acc: 41.324 | Test Acc: 46.21
Epoch: 2 | Train Loss: 0.04394968665003777 | Test Loss: 0.04148470396399498 | Train Acc: 49.186 | Test Acc: 52.2
Epoch: 3 | Train Loss: 0.03986005712032318 | Test Loss: 0.039460902416706085 | Train Acc: 54.226 | Test Acc: 54.79
Epoch: 4 | Train Loss: 0.036325121014118195 | Test Loss: 0.0357280036687851 | Train Acc: 58.618 | Test Acc: 59.52
Epoch: 5 | Train Loss: 0.033579752131700516 | Test Loss: 0.034488916039466855 | Train Acc: 61.934 | Test Acc: 60.64
Epoch: 6 | Train Loss: 0.031209508840441703 | Test Loss: 0.03365329225063324 | Train Acc: 64.574 | Test Acc: 62.47
Epoch: 7 | Train Loss: 0.029333778096437453 | Test Loss: 0.030818818068504332 | Train Acc: 66.776 | Test Acc: 65.25
Epoch: 8 | Train Loss: 0.027764262914657594 | Test Loss: 0.030190993216633797 | Train Acc: 68.708 | Test Acc: 66.56
Epoch: 9 | Train Loss: 0.026329524756073953 | Test Loss: 0.028939797791838646 | Train Acc: 70.414 | Test Acc: 67.65
Epoch: 10 | Train Loss: 0.024946663821935652 | Test Loss: 0.028431960919499396 | Train Acc: 71.852 | Test Acc: 68.77
Epoch: 11 | Train Loss: 0.023877920207381248 | Test Loss: 0.027704584729671477 | Train Acc: 73.052 | Test Acc: 69.01
Epoch: 12 | Train Loss: 0.02291797544717789 | Test Loss: 0.02686411758363247 | Train Acc: 74.068 | Test Acc: 70.8
Epoch: 13 | Train Loss: 0.022039420408010484 | Test Loss: 0.026363014990091325 | Train Acc: 75.182 | Test Acc: 70.66
Epoch: 14 | Train Loss: 0.021099531361460686 | Test Loss: 0.026855050015449525 | Train Acc: 76.29 | Test Acc: 70.72
Epoch: 15 | Train Loss: 0.02033964233726263 | Test Loss: 0.026054957294464113 | Train Acc: 77.208 | Test Acc: 71.46
Epoch: 16 | Train Loss: 0.01960419744193554 | Test Loss: 0.026298787546157838 | Train Acc: 78.006 | Test Acc: 71.57
Epoch: 17 | Train Loss: 0.018729243708252907 | Test Loss: 0.026137463134527205 | Train Acc: 78.732 | Test Acc: 71.3
Epoch: 18 | Train Loss: 0.018024754370450972 | Test Loss: 0.026140252509713174 | Train Acc: 79.534 | Test Acc: 71.94
Epoch: 19 | Train Loss: 0.017479492283463478 | Test Loss: 0.026710712105035783 | Train Acc: 80.294 | Test Acc: 71.38
Epoch: 20 | Train Loss: 0.016940178651511668 | Test Loss: 0.026612234905362128 | Train Acc: 80.84 | Test Acc: 71.78
Epoch: 21 | Train Loss: 0.01642868309289217 | Test Loss: 0.025511651593446732 | Train Acc: 81.508 | Test Acc: 72.74
Epoch: 22 | Train Loss: 0.01590059936836362 | Test Loss: 0.02702561547756195 | Train Acc: 82.062 | Test Acc: 71.23
Epoch: 23 | Train Loss: 0.015358177664577961 | Test Loss: 0.027568818385899068 | Train Acc: 82.62 | Test Acc: 71.39
Epoch: 24 | Train Loss: 0.014789611909538508 | Test Loss: 0.02757602033317089 | Train Acc: 83.348 | Test Acc: 71.37
Epoch: 25 | Train Loss: 0.014408089830577373 | Test Loss: 0.02761903747320175 | Train Acc: 83.636 | Test Acc: 71.52
Epoch: 26 | Train Loss: 0.013958894610404969 | Test Loss: 0.028417904195189476 | Train Acc: 84.312 | Test Acc: 70.98
Epoch: 27 | Train Loss: 0.013614695915728807 | Test Loss: 0.02777147909998894 | Train Acc: 84.65 | Test Acc: 72.02
Epoch: 28 | Train Loss: 0.013320306978821755 | Test Loss: 0.02816960217356682 | Train Acc: 84.828 | Test Acc: 71.32
Epoch: 29 | Train Loss: 0.012966764752864837 | Test Loss: 0.028258959537744523 | Train Acc: 85.298 | Test Acc: 71.81
Epoch: 30 | Train Loss: 0.01260917339876294 | Test Loss: 0.02769937607049942 | Train Acc: 85.658 | Test Acc: 72.21
Epoch: 31 | Train Loss: 0.012378607102930546 | Test Loss: 0.028101141288876533 | Train Acc: 85.852 | Test Acc: 72.14
Epoch: 32 | Train Loss: 0.012023893774747848 | Test Loss: 0.029341090446710585 | Train Acc: 86.406 | Test Acc: 71.63
Epoch: 33 | Train Loss: 0.011724681722521783 | Test Loss: 0.029948478126525877 | Train Acc: 86.716 | Test Acc: 71.51
Epoch: 34 | Train Loss: 0.011480277198553086 | Test Loss: 0.030299765637516976 | Train Acc: 86.98 | Test Acc: 71.1
Epoch: 35 | Train Loss: 0.0112716587048769 | Test Loss: 0.028819063273072244 | Train Acc: 87.14 | Test Acc: 72.64
Epoch: 36 | Train Loss: 0.011284588517844677 | Test Loss: 0.028990871126949785 | Train Acc: 87.192 | Test Acc: 71.62
Epoch: 37 | Train Loss: 0.010918746206313371 | Test Loss: 0.02968362085223198 | Train Acc: 87.512 | Test Acc: 72.07
Epoch: 38 | Train Loss: 0.010735944306701422 | Test Loss: 0.029842469587922096 | Train Acc: 87.778 | Test Acc: 72.25
Epoch: 39 | Train Loss: 0.010384459172934294 | Test Loss: 0.029700692749023438 | Train Acc: 88.234 | Test Acc: 71.69
Epoch: 40 | Train Loss: 0.010622676845043897 | Test Loss: 0.029712912543118 | Train Acc: 87.9 | Test Acc: 71.51
Epoch: 41 | Train Loss: 0.010171520184352995 | Test Loss: 0.03021898967921734 | Train Acc: 88.518 | Test Acc: 71.84
Epoch: 42 | Train Loss: 0.01006314651630819 | Test Loss: 0.03036131377220154 | Train Acc: 88.73 | Test Acc: 71.56
Epoch: 43 | Train Loss: 0.010044577807113528 | Test Loss: 0.03129728530943394 | Train Acc: 88.67 | Test Acc: 71.04
Epoch: 44 | Train Loss: 0.009699423081800341 | Test Loss: 0.030900537332892417 | Train Acc: 89.028 | Test Acc: 71.96
Epoch: 45 | Train Loss: 0.009763648846447467 | Test Loss: 0.03048089320063591 | Train Acc: 88.898 | Test Acc: 71.52
Epoch: 46 | Train Loss: 0.009487128262966871 | Test Loss: 0.0310548252761364 | Train Acc: 89.208 | Test Acc: 72.18
Epoch: 47 | Train Loss: 0.009329111132919789 | Test Loss: 0.032398557114601136 | Train Acc: 89.462 | Test Acc: 71.45
Epoch: 48 | Train Loss: 0.009298106548786163 | Test Loss: 0.03157302893996239 | Train Acc: 89.462 | Test Acc: 71.2
Epoch: 49 | Train Loss: 0.00927500088557601 | Test Loss: 0.03138102182149887 | Train Acc: 89.568 | Test Acc: 71.91
