Epoch: 0 | Train Loss: 0.0592804361081 | Test Loss: 0.0507433474541 | Train Acc: 30.546 | Test Acc: 41.52
Epoch: 1 | Train Loss: 0.0482771049297 | Test Loss: 0.0732917729139 | Train Acc: 44.146 | Test Acc: 10.0
Epoch: 0 | Train Loss: 0.0590816056919 | Test Loss: 0.0515801948905 | Train Acc: 31.226 | Test Acc: 40.62
Epoch: 1 | Train Loss: 0.0488303709698 | Test Loss: 0.04667441293 | Train Acc: 43.524 | Test Acc: 45.73
Epoch: 2 | Train Loss: 0.0446147809851 | Test Loss: 0.0428647581398 | Train Acc: 48.66 | Test Acc: 51.16
Epoch: 3 | Train Loss: 0.0419673552608 | Test Loss: 0.0420529558539 | Train Acc: 52.116 | Test Acc: 52.24
Epoch: 4 | Train Loss: 0.0397790032732 | Test Loss: 0.0404043307185 | Train Acc: 54.56 | Test Acc: 53.8
Epoch: 5 | Train Loss: 0.0380470390797 | Test Loss: 0.0411081727743 | Train Acc: 56.89 | Test Acc: 53.54
Epoch: 6 | Train Loss: 0.0365337383199 | Test Loss: 0.0380683265567 | Train Acc: 58.448 | Test Acc: 57.34
Epoch: 7 | Train Loss: 0.03517255741 | Test Loss: 0.0381257252395 | Train Acc: 60.352 | Test Acc: 57.11
Epoch: 8 | Train Loss: 0.033780089128 | Test Loss: 0.0373576502919 | Train Acc: 61.568 | Test Acc: 58.38
Epoch: 9 | Train Loss: 0.0326454307258 | Test Loss: 0.0366603624403 | Train Acc: 63.296 | Test Acc: 58.56
Epoch: 10 | Train Loss: 0.0314676707679 | Test Loss: 0.0368847252369 | Train Acc: 64.4 | Test Acc: 59.57
Epoch: 11 | Train Loss: 0.0306095744246 | Test Loss: 0.0364745152354 | Train Acc: 65.072 | Test Acc: 59.52
Epoch: 12 | Train Loss: 0.0294079603297 | Test Loss: 0.0359011437237 | Train Acc: 66.712 | Test Acc: 59.91
Epoch: 13 | Train Loss: 0.0284865814978 | Test Loss: 0.0348802316248 | Train Acc: 67.836 | Test Acc: 61.3
Epoch: 14 | Train Loss: 0.0276948294568 | Test Loss: 0.036291571629 | Train Acc: 68.454 | Test Acc: 60.7
Epoch: 15 | Train Loss: 0.0267430021113 | Test Loss: 0.0357522104561 | Train Acc: 69.708 | Test Acc: 61.03
Epoch: 16 | Train Loss: 0.0259560609248 | Test Loss: 0.0364793978453 | Train Acc: 70.368 | Test Acc: 60.79
Epoch: 17 | Train Loss: 0.0251155560243 | Test Loss: 0.0357641608059 | Train Acc: 71.166 | Test Acc: 61.31
Epoch: 18 | Train Loss: 0.024215513981 | Test Loss: 0.0365421124339 | Train Acc: 72.602 | Test Acc: 61.14
Epoch: 19 | Train Loss: 0.023512337628 | Test Loss: 0.0375738464355 | Train Acc: 73.168 | Test Acc: 59.83
Epoch: 20 | Train Loss: 0.0227068553609 | Test Loss: 0.0366778851569 | Train Acc: 74.028 | Test Acc: 61.51
Epoch: 21 | Train Loss: 0.0221656480122 | Test Loss: 0.037637387079 | Train Acc: 74.724 | Test Acc: 60.28
Epoch: 22 | Train Loss: 0.021429334752 | Test Loss: 0.0389454025507 | Train Acc: 75.452 | Test Acc: 59.78
Epoch: 23 | Train Loss: 0.020787798216 | Test Loss: 0.0391680639148 | Train Acc: 76.244 | Test Acc: 60.0
Epoch: 24 | Train Loss: 0.0202028065848 | Test Loss: 0.0386509923846 | Train Acc: 76.886 | Test Acc: 61.21
Epoch: 25 | Train Loss: 0.0197094463915 | Test Loss: 0.0387318489343 | Train Acc: 77.356 | Test Acc: 61.45
Epoch: 26 | Train Loss: 0.0189088757107 | Test Loss: 0.0392223642439 | Train Acc: 78.42 | Test Acc: 59.92
Epoch: 27 | Train Loss: 0.0184233297583 | Test Loss: 0.041004313302 | Train Acc: 78.962 | Test Acc: 60.39
Epoch: 28 | Train Loss: 0.0179856557664 | Test Loss: 0.0421448866963 | Train Acc: 79.416 | Test Acc: 59.75
Epoch: 29 | Train Loss: 0.0175517090762 | Test Loss: 0.0400185221881 | Train Acc: 79.642 | Test Acc: 60.78
Epoch: 30 | Train Loss: 0.0170717414069 | Test Loss: 0.0412609374344 | Train Acc: 80.624 | Test Acc: 60.43
Epoch: 31 | Train Loss: 0.0164077352464 | Test Loss: 0.0435259009242 | Train Acc: 81.206 | Test Acc: 59.53
Epoch: 32 | Train Loss: 0.0160497725829 | Test Loss: 0.0422232496679 | Train Acc: 81.608 | Test Acc: 60.02
Epoch: 33 | Train Loss: 0.0156606245734 | Test Loss: 0.0432510354519 | Train Acc: 82.25 | Test Acc: 60.25
Epoch: 34 | Train Loss: 0.0153207153398 | Test Loss: 0.0448495848358 | Train Acc: 82.61 | Test Acc: 59.11
Epoch: 35 | Train Loss: 0.0149992663974 | Test Loss: 0.044716302985 | Train Acc: 82.806 | Test Acc: 59.71
Epoch: 36 | Train Loss: 0.0146510753447 | Test Loss: 0.0451681395054 | Train Acc: 83.212 | Test Acc: 59.29
Epoch: 37 | Train Loss: 0.0142784316145 | Test Loss: 0.0451282369971 | Train Acc: 83.666 | Test Acc: 60.16
Epoch: 38 | Train Loss: 0.0138138675185 | Test Loss: 0.0460644841313 | Train Acc: 84.056 | Test Acc: 59.38
Epoch: 39 | Train Loss: 0.0136386726323 | Test Loss: 0.0473427239686 | Train Acc: 84.398 | Test Acc: 59.83
Epoch: 40 | Train Loss: 0.0133127952144 | Test Loss: 0.0470964483619 | Train Acc: 84.756 | Test Acc: 59.33
Epoch: 41 | Train Loss: 0.0132776085642 | Test Loss: 0.0483154312789 | Train Acc: 84.754 | Test Acc: 59.2
Epoch: 42 | Train Loss: 0.012696964725 | Test Loss: 0.0485027637303 | Train Acc: 85.474 | Test Acc: 59.42
Epoch: 43 | Train Loss: 0.0126514839204 | Test Loss: 0.0472619683266 | Train Acc: 85.558 | Test Acc: 59.07
Epoch: 44 | Train Loss: 0.0122048538114 | Test Loss: 0.0491193047345 | Train Acc: 86.258 | Test Acc: 59.7
Epoch: 45 | Train Loss: 0.0120066002615 | Test Loss: 0.0489225399822 | Train Acc: 86.348 | Test Acc: 59.13
Epoch: 46 | Train Loss: 0.0119565035246 | Test Loss: 0.0499700780988 | Train Acc: 86.342 | Test Acc: 58.91
Epoch: 47 | Train Loss: 0.011655600061 | Test Loss: 0.0486844549 | Train Acc: 86.848 | Test Acc: 60.15
Epoch: 48 | Train Loss: 0.0114355931947 | Test Loss: 0.0494190456986 | Train Acc: 87.042 | Test Acc: 59.88
Epoch: 49 | Train Loss: 0.0111604708213 | Test Loss: 0.0505425548673 | Train Acc: 87.452 | Test Acc: 59.99
