Epoch: 0 | Train Loss: 0.0598554545641 | Test Loss: 0.0484021184921 | Train Acc: 29.84 | Test Acc: 44.38
Epoch: 1 | Train Loss: 0.0445948508286 | Test Loss: 0.0411196521699 | Train Acc: 48.034 | Test Acc: 52.92
Epoch: 2 | Train Loss: 0.0383788489294 | Test Loss: 0.0390985569835 | Train Acc: 56.022 | Test Acc: 55.2
Epoch: 3 | Train Loss: 0.0336878195703 | Test Loss: 0.0345445953548 | Train Acc: 61.798 | Test Acc: 61.35
Epoch: 4 | Train Loss: 0.0301514013195 | Test Loss: 0.0324650105894 | Train Acc: 66.046 | Test Acc: 63.92
Epoch: 5 | Train Loss: 0.0270668130624 | Test Loss: 0.0285323706627 | Train Acc: 69.522 | Test Acc: 68.49
Epoch: 6 | Train Loss: 0.024272371496 | Test Loss: 0.0270531074196 | Train Acc: 72.806 | Test Acc: 69.73
Epoch: 7 | Train Loss: 0.0216868989402 | Test Loss: 0.0289645469815 | Train Acc: 75.708 | Test Acc: 68.58
Epoch: 8 | Train Loss: 0.0193089672649 | Test Loss: 0.027111048159 | Train Acc: 78.376 | Test Acc: 70.21
Epoch: 9 | Train Loss: 0.0170451231769 | Test Loss: 0.0263800856054 | Train Acc: 80.686 | Test Acc: 71.6
Epoch: 10 | Train Loss: 0.0148198713943 | Test Loss: 0.0283684323251 | Train Acc: 83.422 | Test Acc: 70.55
Epoch: 11 | Train Loss: 0.0125757882927 | Test Loss: 0.0293631655782 | Train Acc: 85.866 | Test Acc: 70.85
Epoch: 12 | Train Loss: 0.0105613526037 | Test Loss: 0.0291603062719 | Train Acc: 88.018 | Test Acc: 71.82
Epoch: 13 | Train Loss: 0.00869723812185 | Test Loss: 0.0327690725327 | Train Acc: 90.318 | Test Acc: 70.99
Epoch: 14 | Train Loss: 0.00709475193575 | Test Loss: 0.0339375106633 | Train Acc: 92.174 | Test Acc: 71.13
Epoch: 15 | Train Loss: 0.00574293643869 | Test Loss: 0.0348106196612 | Train Acc: 93.72 | Test Acc: 71.78
Epoch: 16 | Train Loss: 0.0044558537321 | Test Loss: 0.0376813917041 | Train Acc: 95.096 | Test Acc: 71.53
Epoch: 17 | Train Loss: 0.00377731933963 | Test Loss: 0.0413555650964 | Train Acc: 95.998 | Test Acc: 70.87
Epoch: 18 | Train Loss: 0.00297347309621 | Test Loss: 0.0417432484657 | Train Acc: 96.918 | Test Acc: 71.84
Epoch: 19 | Train Loss: 0.00253616167121 | Test Loss: 0.0441710443646 | Train Acc: 97.422 | Test Acc: 70.47
Epoch: 20 | Train Loss: 0.00226437589461 | Test Loss: 0.0462060064107 | Train Acc: 97.762 | Test Acc: 71.12
Epoch: 21 | Train Loss: 0.00180555357019 | Test Loss: 0.0501370135158 | Train Acc: 98.212 | Test Acc: 69.85
Epoch: 22 | Train Loss: 0.00147698522324 | Test Loss: 0.0473172675997 | Train Acc: 98.578 | Test Acc: 71.32
Epoch: 23 | Train Loss: 0.000838868460566 | Test Loss: 0.0466419131875 | Train Acc: 99.34 | Test Acc: 73.11
Epoch: 24 | Train Loss: 0.000335297966957 | Test Loss: 0.0476040014431 | Train Acc: 99.85 | Test Acc: 73.92
Epoch: 25 | Train Loss: 0.000115375398241 | Test Loss: 0.0467456306189 | Train Acc: 99.986 | Test Acc: 74.46
Epoch: 26 | Train Loss: 7.82438916873e-05 | Test Loss: 0.0465524650797 | Train Acc: 100.0 | Test Acc: 74.38
Epoch: 27 | Train Loss: 7.67518226826e-05 | Test Loss: 0.0463976714835 | Train Acc: 99.998 | Test Acc: 74.43
Epoch: 28 | Train Loss: 8.30375935615e-05 | Test Loss: 0.0453689382702 | Train Acc: 100.0 | Test Acc: 74.38
Epoch: 29 | Train Loss: 8.58296434401e-05 | Test Loss: 0.0445301330961 | Train Acc: 100.0 | Test Acc: 74.4
Epoch: 30 | Train Loss: 9.29674088338e-05 | Test Loss: 0.0439835889176 | Train Acc: 100.0 | Test Acc: 74.35
Epoch: 31 | Train Loss: 9.96035692946e-05 | Test Loss: 0.0433897748798 | Train Acc: 100.0 | Test Acc: 74.3
Epoch: 32 | Train Loss: 0.00010741925266 | Test Loss: 0.0429129721507 | Train Acc: 100.0 | Test Acc: 74.43
Epoch: 33 | Train Loss: 0.000115781130912 | Test Loss: 0.0423794223025 | Train Acc: 100.0 | Test Acc: 74.17
Epoch: 34 | Train Loss: 0.000120514108735 | Test Loss: 0.0422060219258 | Train Acc: 100.0 | Test Acc: 74.26
Epoch: 35 | Train Loss: 0.00012641032213 | Test Loss: 0.0419136818707 | Train Acc: 100.0 | Test Acc: 74.29
Epoch: 36 | Train Loss: 0.000131082816452 | Test Loss: 0.0416693223447 | Train Acc: 100.0 | Test Acc: 74.39
Epoch: 37 | Train Loss: 0.000135371434655 | Test Loss: 0.0412240272433 | Train Acc: 100.0 | Test Acc: 74.19
Epoch: 38 | Train Loss: 0.000139290097979 | Test Loss: 0.0413247049361 | Train Acc: 100.0 | Test Acc: 74.21
Epoch: 39 | Train Loss: 0.000143280968408 | Test Loss: 0.0409826463878 | Train Acc: 100.0 | Test Acc: 74.29
Epoch: 40 | Train Loss: 0.000146711168231 | Test Loss: 0.0409541108251 | Train Acc: 100.0 | Test Acc: 74.2
Epoch: 41 | Train Loss: 0.000149491047987 | Test Loss: 0.0409413285181 | Train Acc: 100.0 | Test Acc: 74.31
Epoch: 42 | Train Loss: 0.000150174481603 | Test Loss: 0.0406634889096 | Train Acc: 100.0 | Test Acc: 74.17
Epoch: 43 | Train Loss: 0.000152001213352 | Test Loss: 0.0407910839438 | Train Acc: 100.0 | Test Acc: 74.19
Epoch: 44 | Train Loss: 0.000153523026968 | Test Loss: 0.0407361673892 | Train Acc: 100.0 | Test Acc: 74.12
Epoch: 45 | Train Loss: 0.000155015523864 | Test Loss: 0.0409033472404 | Train Acc: 100.0 | Test Acc: 74.16
Epoch: 46 | Train Loss: 0.000155223975908 | Test Loss: 0.0407721368894 | Train Acc: 100.0 | Test Acc: 73.82
Epoch: 47 | Train Loss: 0.000156275187065 | Test Loss: 0.0404975412652 | Train Acc: 100.0 | Test Acc: 74.08
Epoch: 48 | Train Loss: 0.000157703364617 | Test Loss: 0.0407192005664 | Train Acc: 100.0 | Test Acc: 74.03
