Epoch: 0 | Train Loss: 0.0665664751244 | Test Loss: 0.0596343396187 | Train Acc: 20.672 | Test Acc: 29.62
Epoch: 1 | Train Loss: 0.0537603411841 | Test Loss: 0.0491142343163 | Train Acc: 37.376 | Test Acc: 42.82
Epoch: 2 | Train Loss: 0.0469542032218 | Test Loss: 0.0447000041604 | Train Acc: 45.714 | Test Acc: 48.91
Epoch: 3 | Train Loss: 0.043598856355 | Test Loss: 0.042447965914 | Train Acc: 49.624 | Test Acc: 51.29
Epoch: 4 | Train Loss: 0.0411797704101 | Test Loss: 0.0406401775002 | Train Acc: 52.95 | Test Acc: 53.25
Epoch: 5 | Train Loss: 0.0390279250872 | Test Loss: 0.038690283066 | Train Acc: 55.52 | Test Acc: 56.11
Epoch: 6 | Train Loss: 0.0372311100876 | Test Loss: 0.0377725221276 | Train Acc: 57.73 | Test Acc: 57.22
Epoch: 7 | Train Loss: 0.0357216690052 | Test Loss: 0.0372788736761 | Train Acc: 59.238 | Test Acc: 57.54
Epoch: 8 | Train Loss: 0.0342428456736 | Test Loss: 0.0361081413448 | Train Acc: 61.104 | Test Acc: 58.83
Epoch: 9 | Train Loss: 0.033065205729 | Test Loss: 0.0360968831897 | Train Acc: 62.412 | Test Acc: 59.31
Epoch: 10 | Train Loss: 0.0317520676959 | Test Loss: 0.035494406426 | Train Acc: 63.872 | Test Acc: 60.41
Epoch: 11 | Train Loss: 0.0305523463905 | Test Loss: 0.0347323205471 | Train Acc: 65.262 | Test Acc: 60.85
Epoch: 12 | Train Loss: 0.0295139295936 | Test Loss: 0.0344006407797 | Train Acc: 66.75 | Test Acc: 61.67
Epoch: 13 | Train Loss: 0.0284340363812 | Test Loss: 0.0338065155745 | Train Acc: 67.952 | Test Acc: 62.1
Epoch: 14 | Train Loss: 0.0272863647294 | Test Loss: 0.0337667132497 | Train Acc: 69.194 | Test Acc: 63.01
Epoch: 15 | Train Loss: 0.0263072920609 | Test Loss: 0.0343484554321 | Train Acc: 70.092 | Test Acc: 62.53
Epoch: 16 | Train Loss: 0.0253868205768 | Test Loss: 0.0329327602774 | Train Acc: 71.166 | Test Acc: 63.17
Epoch: 17 | Train Loss: 0.0245228294522 | Test Loss: 0.0337636257112 | Train Acc: 72.17 | Test Acc: 62.55
Epoch: 18 | Train Loss: 0.0234797275615 | Test Loss: 0.0338847299904 | Train Acc: 73.368 | Test Acc: 63.46
Epoch: 19 | Train Loss: 0.0225887129015 | Test Loss: 0.0344317120671 | Train Acc: 74.434 | Test Acc: 63.19
Epoch: 20 | Train Loss: 0.0217121138918 | Test Loss: 0.0356477472007 | Train Acc: 75.262 | Test Acc: 62.42
Epoch: 21 | Train Loss: 0.0209617757708 | Test Loss: 0.034502361244 | Train Acc: 76.072 | Test Acc: 63.71
Epoch: 22 | Train Loss: 0.0199878107023 | Test Loss: 0.0356420810133 | Train Acc: 77.32 | Test Acc: 62.98
Epoch: 23 | Train Loss: 0.0193286584029 | Test Loss: 0.0355230312675 | Train Acc: 77.918 | Test Acc: 62.79
Epoch: 24 | Train Loss: 0.0185639326802 | Test Loss: 0.0370262647301 | Train Acc: 78.844 | Test Acc: 62.19
Epoch: 25 | Train Loss: 0.0178676331091 | Test Loss: 0.0359779494584 | Train Acc: 79.726 | Test Acc: 63.57
Epoch: 26 | Train Loss: 0.0171337303087 | Test Loss: 0.0365824020565 | Train Acc: 80.466 | Test Acc: 63.06
Epoch: 27 | Train Loss: 0.0165633220819 | Test Loss: 0.0367258174121 | Train Acc: 81.126 | Test Acc: 63.75
Epoch: 28 | Train Loss: 0.0158473756531 | Test Loss: 0.0382556721061 | Train Acc: 81.896 | Test Acc: 63.0
Epoch: 29 | Train Loss: 0.015230046165 | Test Loss: 0.0401220332116 | Train Acc: 82.702 | Test Acc: 62.08
Epoch: 30 | Train Loss: 0.0148030181354 | Test Loss: 0.0382414599955 | Train Acc: 83.206 | Test Acc: 63.49
Epoch: 31 | Train Loss: 0.0140902342467 | Test Loss: 0.0398882140756 | Train Acc: 83.932 | Test Acc: 62.43
Epoch: 32 | Train Loss: 0.0136598209046 | Test Loss: 0.0404875012398 | Train Acc: 84.324 | Test Acc: 62.66
Epoch: 33 | Train Loss: 0.0131327637658 | Test Loss: 0.0416289053768 | Train Acc: 85.208 | Test Acc: 62.41
Epoch: 34 | Train Loss: 0.0129731201521 | Test Loss: 0.0408793398082 | Train Acc: 85.342 | Test Acc: 62.87
Epoch: 35 | Train Loss: 0.0123692751119 | Test Loss: 0.0425449379236 | Train Acc: 85.796 | Test Acc: 62.18
Epoch: 36 | Train Loss: 0.0119853762548 | Test Loss: 0.0410773162305 | Train Acc: 86.498 | Test Acc: 62.84
Epoch: 37 | Train Loss: 0.0115628529951 | Test Loss: 0.0425900823474 | Train Acc: 86.922 | Test Acc: 63.28
Epoch: 38 | Train Loss: 0.0111594384804 | Test Loss: 0.044036722061 | Train Acc: 87.322 | Test Acc: 62.68
Epoch: 39 | Train Loss: 0.010766570662 | Test Loss: 0.0444622267097 | Train Acc: 87.686 | Test Acc: 62.06
Epoch: 40 | Train Loss: 0.010656627085 | Test Loss: 0.0449813566744 | Train Acc: 87.896 | Test Acc: 61.78
Epoch: 41 | Train Loss: 0.0103764418072 | Test Loss: 0.0433078903437 | Train Acc: 88.11 | Test Acc: 63.11
Epoch: 42 | Train Loss: 0.010166943405 | Test Loss: 0.0452208613873 | Train Acc: 88.632 | Test Acc: 62.06
Epoch: 43 | Train Loss: 0.00974190290093 | Test Loss: 0.0442111109048 | Train Acc: 88.876 | Test Acc: 62.47
Epoch: 44 | Train Loss: 0.00950954516955 | Test Loss: 0.0449356832474 | Train Acc: 89.28 | Test Acc: 62.99
Epoch: 45 | Train Loss: 0.00922315694638 | Test Loss: 0.0451973834574 | Train Acc: 89.42 | Test Acc: 62.52
Epoch: 46 | Train Loss: 0.00915978241079 | Test Loss: 0.0462031003773 | Train Acc: 89.614 | Test Acc: 62.7
Epoch: 47 | Train Loss: 0.00895027015164 | Test Loss: 0.0464723446667 | Train Acc: 89.91 | Test Acc: 62.38
Epoch: 48 | Train Loss: 0.00864511535063 | Test Loss: 0.0455850410789 | Train Acc: 90.12 | Test Acc: 62.99
Epoch: 49 | Train Loss: 0.00848374320053 | Test Loss: 0.0469099958897 | Train Acc: 90.41 | Test Acc: 62.26
