Epoch: 0 | Train Loss: 0.06790883582592011 | Test Loss: 0.06095217982530594 | Train Acc: 19.686 | Test Acc: 29.85
Epoch: 1 | Train Loss: 0.05712315747261047 | Test Loss: 0.0529091441988945 | Train Acc: 33.32 | Test Acc: 39.08
Epoch: 2 | Train Loss: 0.05102621052742004 | Test Loss: 0.0482573498249054 | Train Acc: 40.296 | Test Acc: 43.8
Epoch: 3 | Train Loss: 0.047503451915979385 | Test Loss: 0.0454488050699234 | Train Acc: 45.028 | Test Acc: 47.57
Epoch: 4 | Train Loss: 0.04506921849489212 | Test Loss: 0.043954123729467394 | Train Acc: 47.902 | Test Acc: 49.41
Epoch: 5 | Train Loss: 0.04321680680990219 | Test Loss: 0.0430098542034626 | Train Acc: 50.132 | Test Acc: 50.06
Epoch: 6 | Train Loss: 0.04161815558552742 | Test Loss: 0.041841731280088425 | Train Acc: 52.232 | Test Acc: 51.83
Epoch: 7 | Train Loss: 0.04021241213321686 | Test Loss: 0.04053439968824386 | Train Acc: 53.754 | Test Acc: 53.05
Epoch: 8 | Train Loss: 0.038936784415245056 | Test Loss: 0.03955072396397591 | Train Acc: 55.454 | Test Acc: 54.82
Epoch: 9 | Train Loss: 0.037816031111478805 | Test Loss: 0.03851584650874138 | Train Acc: 56.67 | Test Acc: 56.35
Epoch: 10 | Train Loss: 0.03667849306821823 | Test Loss: 0.03818875319957733 | Train Acc: 58.162 | Test Acc: 56.06
Epoch: 11 | Train Loss: 0.03569988891720772 | Test Loss: 0.037703831654787065 | Train Acc: 59.158 | Test Acc: 56.92
Epoch: 12 | Train Loss: 0.03468554958462715 | Test Loss: 0.03725157792568207 | Train Acc: 60.564 | Test Acc: 56.79
Epoch: 13 | Train Loss: 0.03385068760633469 | Test Loss: 0.036963135623931886 | Train Acc: 61.482 | Test Acc: 58.17
Epoch: 14 | Train Loss: 0.03320705094337464 | Test Loss: 0.03657228200435638 | Train Acc: 62.446 | Test Acc: 58.23
Epoch: 15 | Train Loss: 0.032243973292708394 | Test Loss: 0.03601456855535507 | Train Acc: 63.208 | Test Acc: 58.84
Epoch: 16 | Train Loss: 0.0315421549141407 | Test Loss: 0.036033755052089694 | Train Acc: 64.274 | Test Acc: 59.2
Epoch: 17 | Train Loss: 0.030748431808948515 | Test Loss: 0.03589784719944 | Train Acc: 65.08 | Test Acc: 59.81
Epoch: 18 | Train Loss: 0.030070659970641136 | Test Loss: 0.034572561234235764 | Train Acc: 66.01 | Test Acc: 61.42
Epoch: 19 | Train Loss: 0.02923169241666794 | Test Loss: 0.035268465542793274 | Train Acc: 66.778 | Test Acc: 60.21
Epoch: 20 | Train Loss: 0.028772271790504456 | Test Loss: 0.03523871419429779 | Train Acc: 67.23 | Test Acc: 60.17
Epoch: 21 | Train Loss: 0.027833118822574617 | Test Loss: 0.034204253762960435 | Train Acc: 68.202 | Test Acc: 62.0
Epoch: 22 | Train Loss: 0.02730301112174988 | Test Loss: 0.03492675354480743 | Train Acc: 68.982 | Test Acc: 61.52
