Epoch: 0 | Train Loss: 0.05986944478034973 | Test Loss: 0.0499243754863739 | Train Acc: 29.724 | Test Acc: 40.66
Epoch: 1 | Train Loss: 0.04528105101823807 | Test Loss: 0.04183851588964462 | Train Acc: 47.238 | Test Acc: 52.26
Epoch: 2 | Train Loss: 0.03881951984882355 | Test Loss: 0.03755033643841744 | Train Acc: 55.376 | Test Acc: 56.81
Epoch: 3 | Train Loss: 0.03396675140857697 | Test Loss: 0.035705418890714644 | Train Acc: 61.306 | Test Acc: 60.1
Epoch: 4 | Train Loss: 0.030202746326327325 | Test Loss: 0.031578392302989956 | Train Acc: 65.89 | Test Acc: 64.67
Epoch: 5 | Train Loss: 0.027112795192599296 | Test Loss: 0.0288958217471838 | Train Acc: 69.672 | Test Acc: 67.48
Epoch: 6 | Train Loss: 0.024314597124755383 | Test Loss: 0.028116247141361236 | Train Acc: 72.614 | Test Acc: 68.08
Epoch: 7 | Train Loss: 0.021731462126076222 | Test Loss: 0.02716481028199196 | Train Acc: 75.628 | Test Acc: 69.65
Epoch: 8 | Train Loss: 0.019325982839763164 | Test Loss: 0.02734874365031719 | Train Acc: 78.318 | Test Acc: 70.38
Epoch: 9 | Train Loss: 0.01694463896393776 | Test Loss: 0.026432191056013108 | Train Acc: 81.11 | Test Acc: 71.62
Epoch: 10 | Train Loss: 0.014718052630722523 | Test Loss: 0.027521872398257256 | Train Acc: 83.56 | Test Acc: 71.69
Epoch: 11 | Train Loss: 0.012624854873716831 | Test Loss: 0.027489688754081726 | Train Acc: 85.946 | Test Acc: 71.66
Epoch: 12 | Train Loss: 0.010620490103960037 | Test Loss: 0.02947106240093708 | Train Acc: 88.096 | Test Acc: 71.51
Epoch: 13 | Train Loss: 0.008684539605751634 | Test Loss: 0.030162095749378205 | Train Acc: 90.382 | Test Acc: 72.15
Epoch: 14 | Train Loss: 0.007046375233381987 | Test Loss: 0.03291026849746704 | Train Acc: 92.31 | Test Acc: 71.73
Epoch: 15 | Train Loss: 0.005758771161735058 | Test Loss: 0.03733555568754673 | Train Acc: 93.708 | Test Acc: 69.96
Epoch: 16 | Train Loss: 0.004581010359972716 | Test Loss: 0.037309704218804834 | Train Acc: 95.024 | Test Acc: 71.69
Epoch: 17 | Train Loss: 0.0036623289502318948 | Test Loss: 0.03915585888028145 | Train Acc: 96.036 | Test Acc: 71.85
Epoch: 18 | Train Loss: 0.0031909086649399253 | Test Loss: 0.04136790491938591 | Train Acc: 96.654 | Test Acc: 72.09
Epoch: 19 | Train Loss: 0.0025869417587528003 | Test Loss: 0.04151161600351334 | Train Acc: 97.356 | Test Acc: 71.94
Epoch: 20 | Train Loss: 0.0018209378148429096 | Test Loss: 0.04354238095283508 | Train Acc: 98.268 | Test Acc: 72.35
Epoch: 21 | Train Loss: 0.0016272506667417473 | Test Loss: 0.043899217057600616 | Train Acc: 98.416 | Test Acc: 72.38
Epoch: 22 | Train Loss: 0.0011805581093905493 | Test Loss: 0.04454356029331684 | Train Acc: 98.986 | Test Acc: 71.93
Epoch: 23 | Train Loss: 0.000825568124349229 | Test Loss: 0.047881222316622736 | Train Acc: 99.362 | Test Acc: 71.89
Epoch: 24 | Train Loss: 0.0008462726640398614 | Test Loss: 0.049270338600873945 | Train Acc: 99.352 | Test Acc: 71.72
Epoch: 25 | Train Loss: 0.0005293943424860481 | Test Loss: 0.04674464153051376 | Train Acc: 99.672 | Test Acc: 72.93
Epoch: 26 | Train Loss: 0.00015288397943484598 | Test Loss: 0.04680253069102764 | Train Acc: 99.98 | Test Acc: 73.42
Epoch: 27 | Train Loss: 8.03127735957969e-05 | Test Loss: 0.04684042469859123 | Train Acc: 99.998 | Test Acc: 73.71
Epoch: 28 | Train Loss: 7.325566397339572e-05 | Test Loss: 0.04627047449350357 | Train Acc: 100.0 | Test Acc: 73.67
Epoch: 29 | Train Loss: 7.637005103111732e-05 | Test Loss: 0.04548288579881191 | Train Acc: 100.0 | Test Acc: 73.7
Epoch: 30 | Train Loss: 8.275296133069788e-05 | Test Loss: 0.04490030385106802 | Train Acc: 100.0 | Test Acc: 73.74
Epoch: 31 | Train Loss: 9.156089796219021e-05 | Test Loss: 0.044003477941453456 | Train Acc: 100.0 | Test Acc: 73.55
Epoch: 32 | Train Loss: 9.898966620618012e-05 | Test Loss: 0.04340452615469694 | Train Acc: 100.0 | Test Acc: 73.74
Epoch: 33 | Train Loss: 0.00010716190021426882 | Test Loss: 0.04280538040846586 | Train Acc: 100.0 | Test Acc: 73.71
Epoch: 34 | Train Loss: 0.00011473245487664826 | Test Loss: 0.04224951922297478 | Train Acc: 100.0 | Test Acc: 73.62
Epoch: 35 | Train Loss: 0.0001213792442344129 | Test Loss: 0.04176338146626949 | Train Acc: 100.0 | Test Acc: 73.62
Epoch: 36 | Train Loss: 0.0001266293419932481 | Test Loss: 0.04165755870342255 | Train Acc: 100.0 | Test Acc: 73.57
Epoch: 37 | Train Loss: 0.0001326085741177667 | Test Loss: 0.041074330940842625 | Train Acc: 100.0 | Test Acc: 73.74
Epoch: 38 | Train Loss: 0.00013739359298022463 | Test Loss: 0.04094635422825813 | Train Acc: 100.0 | Test Acc: 73.77
Epoch: 39 | Train Loss: 0.00014046982285566628 | Test Loss: 0.04082034575641155 | Train Acc: 100.0 | Test Acc: 73.85
Epoch: 40 | Train Loss: 0.0001440918782586232 | Test Loss: 0.04042166898697615 | Train Acc: 100.0 | Test Acc: 73.52
Epoch: 41 | Train Loss: 0.00014684820763301103 | Test Loss: 0.0404501670718193 | Train Acc: 100.0 | Test Acc: 73.78
Epoch: 42 | Train Loss: 0.00014892797752399928 | Test Loss: 0.04020853559672832 | Train Acc: 100.0 | Test Acc: 73.82
Epoch: 43 | Train Loss: 0.0009661719128140248 | Test Loss: 0.037777610939741135 | Train Acc: 99.16 | Test Acc: 71.15
Epoch: 44 | Train Loss: 0.004218498377297074 | Test Loss: 0.042917793571949005 | Train Acc: 95.634 | Test Acc: 68.98
Epoch: 45 | Train Loss: 0.003338616438889876 | Test Loss: 0.04244948613643646 | Train Acc: 96.618 | Test Acc: 70.35
Epoch: 46 | Train Loss: 0.002510957134924829 | Test Loss: 0.04135075473487377 | Train Acc: 97.524 | Test Acc: 71.97
Epoch: 47 | Train Loss: 0.0017321412728587165 | Test Loss: 0.04321061719059944 | Train Acc: 98.394 | Test Acc: 71.82
Epoch: 48 | Train Loss: 0.0013599443713808433 | Test Loss: 0.04375219624042511 | Train Acc: 98.77 | Test Acc: 71.68
Epoch: 49 | Train Loss: 0.001225443156606052 | Test Loss: 0.04512879430949688 | Train Acc: 98.862 | Test Acc: 71.32
