Epoch: 0 | Train Loss: 0.0382109471053 | Test Loss: 0.0144259274378 | Train Acc: 57.34 | Test Acc: 85.66
Epoch: 1 | Train Loss: 0.0115122687886 | Test Loss: 0.00871508214921 | Train Acc: 88.7 | Test Acc: 91.78
Epoch: 2 | Train Loss: 0.00840135244029 | Test Loss: 0.00667365617603 | Train Acc: 91.9333333333 | Test Acc: 93.65
Epoch: 3 | Train Loss: 0.00690319403336 | Test Loss: 0.00581087507904 | Train Acc: 93.3233333333 | Test Acc: 94.51
Epoch: 4 | Train Loss: 0.00619929984955 | Test Loss: 0.00533195423703 | Train Acc: 94.1583333333 | Test Acc: 94.93
Epoch: 5 | Train Loss: 0.00564872729441 | Test Loss: 0.00488064748431 | Train Acc: 94.6883333333 | Test Acc: 95.41
Epoch: 6 | Train Loss: 0.00510286347868 | Test Loss: 0.0046382928676 | Train Acc: 95.1666666667 | Test Acc: 95.56
Epoch: 7 | Train Loss: 0.00481000387212 | Test Loss: 0.00491193802776 | Train Acc: 95.3216666667 | Test Acc: 95.22
Epoch: 8 | Train Loss: 0.00462139149488 | Test Loss: 0.00406054483179 | Train Acc: 95.6166666667 | Test Acc: 96.24
Epoch: 9 | Train Loss: 0.00438415549402 | Test Loss: 0.00422325078833 | Train Acc: 95.8666666667 | Test Acc: 95.76
Epoch: 10 | Train Loss: 0.00425562614321 | Test Loss: 0.0036536094014 | Train Acc: 95.9916666667 | Test Acc: 96.29
Epoch: 11 | Train Loss: 0.0040810726741 | Test Loss: 0.00398613012978 | Train Acc: 96.1216666667 | Test Acc: 96.22
Epoch: 12 | Train Loss: 0.00391455412817 | Test Loss: 0.00339801704217 | Train Acc: 96.2383333333 | Test Acc: 96.89
Epoch: 13 | Train Loss: 0.00376321983254 | Test Loss: 0.0035537814672 | Train Acc: 96.5183333333 | Test Acc: 96.7
Epoch: 14 | Train Loss: 0.00367655207222 | Test Loss: 0.00359568166883 | Train Acc: 96.52 | Test Acc: 96.6
Epoch: 15 | Train Loss: 0.00370132223062 | Test Loss: 0.00322100176692 | Train Acc: 96.575 | Test Acc: 97.01
Epoch: 16 | Train Loss: 0.0034773070774 | Test Loss: 0.00311475709992 | Train Acc: 96.7183333333 | Test Acc: 97.18
Epoch: 17 | Train Loss: 0.00345071952057 | Test Loss: 0.00301163235386 | Train Acc: 96.82 | Test Acc: 97.26
Epoch: 18 | Train Loss: 0.00325472674639 | Test Loss: 0.00307356382636 | Train Acc: 96.9233333333 | Test Acc: 97.12
Epoch: 19 | Train Loss: 0.00328860771114 | Test Loss: 0.00297481481899 | Train Acc: 96.8966666667 | Test Acc: 97.11
Epoch: 20 | Train Loss: 0.00320899927721 | Test Loss: 0.00306874707976 | Train Acc: 96.87 | Test Acc: 97.15
Epoch: 21 | Train Loss: 0.00306892473114 | Test Loss: 0.00284555944498 | Train Acc: 97.1716666667 | Test Acc: 97.31
Epoch: 22 | Train Loss: 0.00314677896411 | Test Loss: 0.00301807602959 | Train Acc: 97.01 | Test Acc: 97.09
Epoch: 23 | Train Loss: 0.0029151252768 | Test Loss: 0.00289925901747 | Train Acc: 97.245 | Test Acc: 97.31
Epoch: 24 | Train Loss: 0.00296520991349 | Test Loss: 0.00280446750876 | Train Acc: 97.245 | Test Acc: 97.28
Epoch: 25 | Train Loss: 0.00295859457928 | Test Loss: 0.0029847696907 | Train Acc: 97.1233333333 | Test Acc: 97.42
Epoch: 26 | Train Loss: 0.00294053194676 | Test Loss: 0.00294711594806 | Train Acc: 97.2483333333 | Test Acc: 97.06
Epoch: 27 | Train Loss: 0.00284502813005 | Test Loss: 0.0027784490964 | Train Acc: 97.3283333333 | Test Acc: 97.6
Epoch: 28 | Train Loss: 0.00278618709954 | Test Loss: 0.00254339706105 | Train Acc: 97.3833333333 | Test Acc: 97.32
Epoch: 29 | Train Loss: 0.00283143225287 | Test Loss: 0.00255353235069 | Train Acc: 97.3733333333 | Test Acc: 97.6
Epoch: 30 | Train Loss: 0.00282561822514 | Test Loss: 0.00288114992862 | Train Acc: 97.255 | Test Acc: 97.37
Epoch: 31 | Train Loss: 0.00276130904047 | Test Loss: 0.00277528178288 | Train Acc: 97.3183333333 | Test Acc: 97.47
Epoch: 32 | Train Loss: 0.00265568317227 | Test Loss: 0.00277234078873 | Train Acc: 97.5316666667 | Test Acc: 97.39
Epoch: 33 | Train Loss: 0.00264184776115 | Test Loss: 0.00289835644007 | Train Acc: 97.57 | Test Acc: 97.27
Epoch: 34 | Train Loss: 0.00255678259307 | Test Loss: 0.00267534120473 | Train Acc: 97.5733333333 | Test Acc: 97.41
Epoch: 35 | Train Loss: 0.00257844340744 | Test Loss: 0.00253586585657 | Train Acc: 97.605 | Test Acc: 97.7
Epoch: 36 | Train Loss: 0.00256329821287 | Test Loss: 0.00245087630104 | Train Acc: 97.6166666667 | Test Acc: 97.63
Epoch: 37 | Train Loss: 0.00260793484901 | Test Loss: 0.0023381422329 | Train Acc: 97.5633333333 | Test Acc: 97.85
Epoch: 38 | Train Loss: 0.00254831865692 | Test Loss: 0.00252257111654 | Train Acc: 97.63 | Test Acc: 97.69
Epoch: 39 | Train Loss: 0.00248381263335 | Test Loss: 0.00264872291315 | Train Acc: 97.7 | Test Acc: 97.51
Epoch: 40 | Train Loss: 0.00252614537607 | Test Loss: 0.00259190712954 | Train Acc: 97.58 | Test Acc: 97.52
Epoch: 41 | Train Loss: 0.00245731196012 | Test Loss: 0.00225567475081 | Train Acc: 97.7016666667 | Test Acc: 97.7
Epoch: 42 | Train Loss: 0.00245803345238 | Test Loss: 0.00228569285574 | Train Acc: 97.7083333333 | Test Acc: 97.76
Epoch: 43 | Train Loss: 0.00245125007128 | Test Loss: 0.0024439411674 | Train Acc: 97.7383333333 | Test Acc: 97.55
Epoch: 44 | Train Loss: 0.0023709708463 | Test Loss: 0.00246148826303 | Train Acc: 97.7716666667 | Test Acc: 97.72
Epoch: 45 | Train Loss: 0.00245714444463 | Test Loss: 0.00247990173352 | Train Acc: 97.705 | Test Acc: 97.66
Epoch: 46 | Train Loss: 0.00234315937721 | Test Loss: 0.00252888009183 | Train Acc: 97.7966666667 | Test Acc: 97.67
Epoch: 47 | Train Loss: 0.00231302688194 | Test Loss: 0.00250834875901 | Train Acc: 97.7933333333 | Test Acc: 97.6
Epoch: 48 | Train Loss: 0.00229251595122 | Test Loss: 0.00251183652445 | Train Acc: 97.9066666667 | Test Acc: 97.72
Epoch: 49 | Train Loss: 0.00230063993154 | Test Loss: 0.00228410370485 | Train Acc: 97.8316666667 | Test Acc: 97.89
