Epoch: 0 | Train Loss: 0.0227294740894 | Test Loss: 0.00334567593909 | Train Acc: 74.7333333333 | Test Acc: 96.75
Epoch: 1 | Train Loss: 0.00317255579967 | Test Loss: 0.00238152981349 | Train Acc: 96.8516666667 | Test Acc: 97.51
Epoch: 2 | Train Loss: 0.0023093313615 | Test Loss: 0.00197300307376 | Train Acc: 97.7283333333 | Test Acc: 97.93
Epoch: 3 | Train Loss: 0.00186008943701 | Test Loss: 0.00189435511106 | Train Acc: 98.16 | Test Acc: 98.07
Epoch: 4 | Train Loss: 0.00161083554767 | Test Loss: 0.00137300872789 | Train Acc: 98.425 | Test Acc: 98.5
Epoch: 5 | Train Loss: 0.00138490396664 | Test Loss: 0.00117119585432 | Train Acc: 98.6466666667 | Test Acc: 98.84
Epoch: 6 | Train Loss: 0.00124047350644 | Test Loss: 0.00132180750231 | Train Acc: 98.7866666667 | Test Acc: 98.67
Epoch: 7 | Train Loss: 0.0011120607981 | Test Loss: 0.00108798371584 | Train Acc: 98.9183333333 | Test Acc: 98.83
Epoch: 8 | Train Loss: 0.00102321245361 | Test Loss: 0.00102306852828 | Train Acc: 98.9716666667 | Test Acc: 98.99
Epoch: 9 | Train Loss: 0.000934783857873 | Test Loss: 0.000960459553712 | Train Acc: 99.0866666667 | Test Acc: 98.95
Epoch: 10 | Train Loss: 0.00087209299474 | Test Loss: 0.00115959604961 | Train Acc: 99.1083333333 | Test Acc: 98.84
Epoch: 11 | Train Loss: 0.000797618511769 | Test Loss: 0.00103443133285 | Train Acc: 99.2216666667 | Test Acc: 98.95
Epoch: 12 | Train Loss: 0.000730358710638 | Test Loss: 0.00087204209813 | Train Acc: 99.2583333333 | Test Acc: 99.08
Epoch: 13 | Train Loss: 0.000698163752167 | Test Loss: 0.00121041299958 | Train Acc: 99.335 | Test Acc: 98.8
Epoch: 14 | Train Loss: 0.000638493945965 | Test Loss: 0.000961346493398 | Train Acc: 99.3883333333 | Test Acc: 98.96
Epoch: 15 | Train Loss: 0.000623869411046 | Test Loss: 0.000947009520661 | Train Acc: 99.3683333333 | Test Acc: 99.07
Epoch: 16 | Train Loss: 0.000563102013273 | Test Loss: 0.000840867472555 | Train Acc: 99.4533333333 | Test Acc: 99.12
Epoch: 17 | Train Loss: 0.000553356118815 | Test Loss: 0.000922042849781 | Train Acc: 99.49 | Test Acc: 99.06
Epoch: 18 | Train Loss: 0.000501706546725 | Test Loss: 0.000885542196863 | Train Acc: 99.5333333333 | Test Acc: 99.15
Epoch: 19 | Train Loss: 0.00048069031837 | Test Loss: 0.00103893609406 | Train Acc: 99.5583333333 | Test Acc: 98.91
Epoch: 20 | Train Loss: 0.000460043317812 | Test Loss: 0.000990157454334 | Train Acc: 99.5433333333 | Test Acc: 98.95
Epoch: 21 | Train Loss: 0.000433308552849 | Test Loss: 0.000930588182892 | Train Acc: 99.5966666667 | Test Acc: 99.14
Epoch: 22 | Train Loss: 0.000404894788295 | Test Loss: 0.00107986650888 | Train Acc: 99.62 | Test Acc: 98.87
Epoch: 23 | Train Loss: 0.000392276073449 | Test Loss: 0.0010160839866 | Train Acc: 99.6383333333 | Test Acc: 98.97
Epoch: 24 | Train Loss: 0.000376632556921 | Test Loss: 0.00093441727894 | Train Acc: 99.655 | Test Acc: 99.01
Epoch: 25 | Train Loss: 0.000355131113364 | Test Loss: 0.000973301257378 | Train Acc: 99.6983333333 | Test Acc: 99.03
Epoch: 26 | Train Loss: 0.000347862741718 | Test Loss: 0.000925776917093 | Train Acc: 99.6833333333 | Test Acc: 99.07
Epoch: 27 | Train Loss: 0.000323419746922 | Test Loss: 0.000898772022391 | Train Acc: 99.705 | Test Acc: 99.07
Epoch: 28 | Train Loss: 0.000302917377243 | Test Loss: 0.000943179950675 | Train Acc: 99.7566666667 | Test Acc: 99.07
Epoch: 29 | Train Loss: 0.000301835630693 | Test Loss: 0.000875570108882 | Train Acc: 99.735 | Test Acc: 99.16
Epoch: 30 | Train Loss: 0.000291643513961 | Test Loss: 0.000986278098664 | Train Acc: 99.7616666667 | Test Acc: 98.99
Epoch: 31 | Train Loss: 0.00027136813406 | Test Loss: 0.00113587945449 | Train Acc: 99.7783333333 | Test Acc: 98.93
Epoch: 32 | Train Loss: 0.000265565021916 | Test Loss: 0.00110349251055 | Train Acc: 99.7866666667 | Test Acc: 98.94
Epoch: 33 | Train Loss: 0.000247935716968 | Test Loss: 0.00147863567342 | Train Acc: 99.795 | Test Acc: 98.52
Epoch: 34 | Train Loss: 0.000253634513441 | Test Loss: 0.000972296955826 | Train Acc: 99.7966666667 | Test Acc: 99.08
Epoch: 35 | Train Loss: 0.000238060249149 | Test Loss: 0.00096534283174 | Train Acc: 99.8116666667 | Test Acc: 99.06
Epoch: 36 | Train Loss: 0.000226284534238 | Test Loss: 0.000929249252976 | Train Acc: 99.815 | Test Acc: 99.1
Epoch: 37 | Train Loss: 0.000245873292787 | Test Loss: 0.00110390944092 | Train Acc: 99.79 | Test Acc: 98.89
Epoch: 38 | Train Loss: 0.000219816721152 | Test Loss: 0.00115292901897 | Train Acc: 99.8283333333 | Test Acc: 98.93
Epoch: 39 | Train Loss: 0.00022920076821 | Test Loss: 0.000929486873952 | Train Acc: 99.825 | Test Acc: 99.07
Epoch: 40 | Train Loss: 0.000215376072559 | Test Loss: 0.00110266573425 | Train Acc: 99.8316666667 | Test Acc: 98.99
Epoch: 41 | Train Loss: 0.000201230046199 | Test Loss: 0.00117722702096 | Train Acc: 99.8583333333 | Test Acc: 98.83
Epoch: 42 | Train Loss: 0.000228656246264 | Test Loss: 0.000860694709334 | Train Acc: 99.825 | Test Acc: 99.08
Epoch: 43 | Train Loss: 0.000203401020944 | Test Loss: 0.000987185719132 | Train Acc: 99.8583333333 | Test Acc: 98.98
Epoch: 44 | Train Loss: 0.000190617989122 | Test Loss: 0.000913724713816 | Train Acc: 99.87 | Test Acc: 99.12
Epoch: 45 | Train Loss: 0.000196233046209 | Test Loss: 0.000930206437864 | Train Acc: 99.8533333333 | Test Acc: 99.09
Epoch: 46 | Train Loss: 0.000200256800489 | Test Loss: 0.0009063801863 | Train Acc: 99.8483333333 | Test Acc: 99.13
Epoch: 47 | Train Loss: 0.000189958522005 | Test Loss: 0.000917114821127 | Train Acc: 99.8783333333 | Test Acc: 99.09
Epoch: 48 | Train Loss: 0.000183441350064 | Test Loss: 0.000924736543197 | Train Acc: 99.8816666667 | Test Acc: 99.03
Epoch: 49 | Train Loss: 0.000173626663778 | Test Loss: 0.000887518011846 | Train Acc: 99.8966666667 | Test Acc: 99.14
