Epoch: 0 | Train Loss: 0.0461630881657 | Test Loss: 0.0149733517058 | Train Acc: 47.9083333333 | Test Acc: 85.3
Epoch: 1 | Train Loss: 0.0119061661646 | Test Loss: 0.00907242360469 | Train Acc: 88.235 | Test Acc: 90.8
Epoch: 2 | Train Loss: 0.00819582443062 | Test Loss: 0.0069935468765 | Train Acc: 91.9633333333 | Test Acc: 93.29
Epoch: 3 | Train Loss: 0.00659761797624 | Test Loss: 0.00541724770973 | Train Acc: 93.6116666667 | Test Acc: 94.73
Epoch: 4 | Train Loss: 0.00584979922306 | Test Loss: 0.00499585336475 | Train Acc: 94.3333333333 | Test Acc: 95.02
Epoch: 5 | Train Loss: 0.00518376754566 | Test Loss: 0.00494656159962 | Train Acc: 94.96 | Test Acc: 95.12
Epoch: 6 | Train Loss: 0.00467406175266 | Test Loss: 0.00422484799866 | Train Acc: 95.5666666667 | Test Acc: 95.77
Epoch: 7 | Train Loss: 0.00432752934702 | Test Loss: 0.00368923579287 | Train Acc: 95.9416666667 | Test Acc: 96.26
Epoch: 8 | Train Loss: 0.00402867944295 | Test Loss: 0.00334809554275 | Train Acc: 96.1966666667 | Test Acc: 96.52
Epoch: 9 | Train Loss: 0.00385618378319 | Test Loss: 0.00385051169111 | Train Acc: 96.3516666667 | Test Acc: 96.25
Epoch: 10 | Train Loss: 0.00367513337412 | Test Loss: 0.00348999319337 | Train Acc: 96.5033333333 | Test Acc: 96.72
Epoch: 11 | Train Loss: 0.00360376108467 | Test Loss: 0.00317011715275 | Train Acc: 96.6066666667 | Test Acc: 96.78
Epoch: 12 | Train Loss: 0.00336587712678 | Test Loss: 0.0032634858212 | Train Acc: 96.7783333333 | Test Acc: 96.71
Epoch: 13 | Train Loss: 0.00322701482993 | Test Loss: 0.00306317370009 | Train Acc: 96.9983333333 | Test Acc: 97.08
Epoch: 14 | Train Loss: 0.00323221671495 | Test Loss: 0.0029573126429 | Train Acc: 96.9216666667 | Test Acc: 97.05
Epoch: 15 | Train Loss: 0.00303688343258 | Test Loss: 0.00296593820972 | Train Acc: 97.1433333333 | Test Acc: 97.08
Epoch: 16 | Train Loss: 0.003058076272 | Test Loss: 0.00256044360543 | Train Acc: 97.0633333333 | Test Acc: 97.61
Epoch: 17 | Train Loss: 0.0029653981333 | Test Loss: 0.00284552985996 | Train Acc: 97.175 | Test Acc: 97.21
Epoch: 18 | Train Loss: 0.00286746216344 | Test Loss: 0.00263476438095 | Train Acc: 97.305 | Test Acc: 97.36
Epoch: 19 | Train Loss: 0.00278877081125 | Test Loss: 0.0026975621041 | Train Acc: 97.315 | Test Acc: 97.53
Epoch: 20 | Train Loss: 0.00271284190873 | Test Loss: 0.00272228285286 | Train Acc: 97.4316666667 | Test Acc: 97.28
Epoch: 21 | Train Loss: 0.0027274825206 | Test Loss: 0.00277306791771 | Train Acc: 97.4183333333 | Test Acc: 97.31
Epoch: 22 | Train Loss: 0.00267977362207 | Test Loss: 0.00258227728613 | Train Acc: 97.4483333333 | Test Acc: 97.66
Epoch: 23 | Train Loss: 0.00258589669798 | Test Loss: 0.00291845078667 | Train Acc: 97.5433333333 | Test Acc: 97.05
Epoch: 24 | Train Loss: 0.00265983487505 | Test Loss: 0.00247184435134 | Train Acc: 97.4316666667 | Test Acc: 97.69
Epoch: 25 | Train Loss: 0.00253805105789 | Test Loss: 0.00252427530492 | Train Acc: 97.6183333333 | Test Acc: 97.61
Epoch: 26 | Train Loss: 0.00250709125566 | Test Loss: 0.00272302659852 | Train Acc: 97.63 | Test Acc: 97.43
Epoch: 27 | Train Loss: 0.00245414822122 | Test Loss: 0.00236705883124 | Train Acc: 97.6883333333 | Test Acc: 97.86
Epoch: 28 | Train Loss: 0.00245366870388 | Test Loss: 0.00227101881739 | Train Acc: 97.735 | Test Acc: 97.65
Epoch: 29 | Train Loss: 0.00239669219052 | Test Loss: 0.00242532518767 | Train Acc: 97.6666666667 | Test Acc: 97.6
Epoch: 30 | Train Loss: 0.00230363868316 | Test Loss: 0.00245376266892 | Train Acc: 97.81 | Test Acc: 97.66
Epoch: 31 | Train Loss: 0.00230225946619 | Test Loss: 0.00230766649749 | Train Acc: 97.7983333333 | Test Acc: 97.68
Epoch: 32 | Train Loss: 0.00228766553211 | Test Loss: 0.00238030408201 | Train Acc: 97.8416666667 | Test Acc: 97.66
Epoch: 33 | Train Loss: 0.00228936491845 | Test Loss: 0.00240332747146 | Train Acc: 97.775 | Test Acc: 97.79
Epoch: 34 | Train Loss: 0.00220127508001 | Test Loss: 0.00228458773203 | Train Acc: 97.9 | Test Acc: 97.84
Epoch: 35 | Train Loss: 0.00223793225868 | Test Loss: 0.0023472179152 | Train Acc: 97.8433333333 | Test Acc: 97.73
Epoch: 36 | Train Loss: 0.0021858847951 | Test Loss: 0.00207800217094 | Train Acc: 97.945 | Test Acc: 97.99
Epoch: 37 | Train Loss: 0.00218544426918 | Test Loss: 0.00207361226288 | Train Acc: 97.9216666667 | Test Acc: 97.96
Epoch: 38 | Train Loss: 0.00218749046124 | Test Loss: 0.0022686116115 | Train Acc: 97.8783333333 | Test Acc: 97.75
Epoch: 39 | Train Loss: 0.0021813727844 | Test Loss: 0.00216347938687 | Train Acc: 97.9166666667 | Test Acc: 97.84
Epoch: 40 | Train Loss: 0.00211082302185 | Test Loss: 0.00213435173019 | Train Acc: 97.9733333333 | Test Acc: 97.85
Epoch: 41 | Train Loss: 0.00212075762139 | Test Loss: 0.00217293722355 | Train Acc: 97.995 | Test Acc: 98.01
Epoch: 42 | Train Loss: 0.00203367324395 | Test Loss: 0.00251575822239 | Train Acc: 98.0116666667 | Test Acc: 97.43
Epoch: 43 | Train Loss: 0.00207401561515 | Test Loss: 0.00208280046726 | Train Acc: 98.0233333333 | Test Acc: 98.1
Epoch: 44 | Train Loss: 0.00205364736438 | Test Loss: 0.00199513206938 | Train Acc: 98.0033333333 | Test Acc: 98.04
Epoch: 45 | Train Loss: 0.00199750477783 | Test Loss: 0.00218013124272 | Train Acc: 98.12 | Test Acc: 97.94
Epoch: 46 | Train Loss: 0.00198480585982 | Test Loss: 0.00209998813675 | Train Acc: 98.1033333333 | Test Acc: 98.0
Epoch: 47 | Train Loss: 0.00201077283431 | Test Loss: 0.00211278637932 | Train Acc: 98.0966666667 | Test Acc: 97.86
Epoch: 48 | Train Loss: 0.00197315767725 | Test Loss: 0.00233676830907 | Train Acc: 98.1933333333 | Test Acc: 97.78
Epoch: 49 | Train Loss: 0.00203394798566 | Test Loss: 0.00203400149036 | Train Acc: 98.03 | Test Acc: 98.04
