Epoch: 0 | Train Loss: 0.019045561084 | Test Loss: 0.00880661429046 | Train Acc: 79.7766666667 | Test Acc: 91.69
Epoch: 1 | Train Loss: 0.0077245954525 | Test Loss: 0.00665694920253 | Train Acc: 92.7466666667 | Test Acc: 93.49
Epoch: 2 | Train Loss: 0.00621395799625 | Test Loss: 0.00557922490542 | Train Acc: 94.1516666667 | Test Acc: 94.92
Epoch: 3 | Train Loss: 0.00554161929578 | Test Loss: 0.00487969870924 | Train Acc: 94.8933333333 | Test Acc: 95.68
Epoch: 4 | Train Loss: 0.00497715924901 | Test Loss: 0.00466572001581 | Train Acc: 95.4316666667 | Test Acc: 95.76
Epoch: 5 | Train Loss: 0.00465005289109 | Test Loss: 0.00442351069686 | Train Acc: 95.7216666667 | Test Acc: 96.22
Epoch: 6 | Train Loss: 0.00443286934605 | Test Loss: 0.00401750752302 | Train Acc: 95.9833333333 | Test Acc: 96.15
Epoch: 7 | Train Loss: 0.00428012427718 | Test Loss: 0.00379399811893 | Train Acc: 96.1833333333 | Test Acc: 96.21
Epoch: 8 | Train Loss: 0.00413861093041 | Test Loss: 0.00379932734994 | Train Acc: 96.2316666667 | Test Acc: 96.54
Epoch: 9 | Train Loss: 0.0038943681932 | Test Loss: 0.00357774002837 | Train Acc: 96.4466666667 | Test Acc: 96.5
Epoch: 10 | Train Loss: 0.00377703593326 | Test Loss: 0.00381844688747 | Train Acc: 96.5566666667 | Test Acc: 96.66
Epoch: 11 | Train Loss: 0.0037627057645 | Test Loss: 0.00331703958204 | Train Acc: 96.5483333333 | Test Acc: 96.99
Epoch: 12 | Train Loss: 0.00369894709452 | Test Loss: 0.00399299695238 | Train Acc: 96.635 | Test Acc: 96.26
Epoch: 13 | Train Loss: 0.00355599841111 | Test Loss: 0.00365992217637 | Train Acc: 96.79 | Test Acc: 96.93
Epoch: 14 | Train Loss: 0.00337471277627 | Test Loss: 0.0031111289534 | Train Acc: 96.8433333333 | Test Acc: 97.16
Epoch: 15 | Train Loss: 0.00339295863375 | Test Loss: 0.00341570351885 | Train Acc: 96.8366666667 | Test Acc: 96.78
Epoch: 16 | Train Loss: 0.00335099440629 | Test Loss: 0.00309101545192 | Train Acc: 96.8916666667 | Test Acc: 97.4
Epoch: 17 | Train Loss: 0.0033172308792 | Test Loss: 0.00353702961903 | Train Acc: 96.9766666667 | Test Acc: 96.75
Epoch: 18 | Train Loss: 0.00332603927705 | Test Loss: 0.00379762447869 | Train Acc: 96.9933333333 | Test Acc: 96.41
Epoch: 19 | Train Loss: 0.00314215017274 | Test Loss: 0.00325969658225 | Train Acc: 97.13 | Test Acc: 96.92
