Epoch: 0 | Train Loss: 0.0225274117051 | Test Loss: 0.00416139723556 | Train Acc: 75.5983333333 | Test Acc: 95.98
Epoch: 1 | Train Loss: 0.00315593340835 | Test Loss: 0.00241829731162 | Train Acc: 96.905 | Test Acc: 97.68
Epoch: 2 | Train Loss: 0.00220760238952 | Test Loss: 0.00161796108532 | Train Acc: 97.8533333333 | Test Acc: 98.38
Epoch: 3 | Train Loss: 0.00173618525908 | Test Loss: 0.00128582298956 | Train Acc: 98.2966666667 | Test Acc: 98.74
Epoch: 4 | Train Loss: 0.00149816530626 | Test Loss: 0.0013913699223 | Train Acc: 98.5683333333 | Test Acc: 98.51
Epoch: 5 | Train Loss: 0.00128772209161 | Test Loss: 0.00131478285987 | Train Acc: 98.6916666667 | Test Acc: 98.62
Epoch: 6 | Train Loss: 0.00116322181247 | Test Loss: 0.00122235739296 | Train Acc: 98.8216666667 | Test Acc: 98.71
Epoch: 7 | Train Loss: 0.00103242616483 | Test Loss: 0.00107170812256 | Train Acc: 98.9683333333 | Test Acc: 98.79
Epoch: 8 | Train Loss: 0.000948704315184 | Test Loss: 0.00108657266381 | Train Acc: 99.0633333333 | Test Acc: 98.78
Epoch: 9 | Train Loss: 0.000876463216646 | Test Loss: 0.00097438573907 | Train Acc: 99.0966666667 | Test Acc: 98.88
Epoch: 10 | Train Loss: 0.000802688263102 | Test Loss: 0.000931557887564 | Train Acc: 99.19 | Test Acc: 98.99
Epoch: 11 | Train Loss: 0.000750012267566 | Test Loss: 0.000955181047371 | Train Acc: 99.2333333333 | Test Acc: 99.0
Epoch: 12 | Train Loss: 0.00067970894117 | Test Loss: 0.00105608682677 | Train Acc: 99.32 | Test Acc: 98.92
Epoch: 13 | Train Loss: 0.000665708723796 | Test Loss: 0.000892316080353 | Train Acc: 99.3183333333 | Test Acc: 98.95
Epoch: 14 | Train Loss: 0.000605042862575 | Test Loss: 0.000875354903614 | Train Acc: 99.3816666667 | Test Acc: 99.04
Epoch: 15 | Train Loss: 0.000577175846623 | Test Loss: 0.000919773634596 | Train Acc: 99.4216666667 | Test Acc: 98.98
Epoch: 16 | Train Loss: 0.000542945384305 | Test Loss: 0.000956692010114 | Train Acc: 99.4733333333 | Test Acc: 99.02
Epoch: 17 | Train Loss: 0.000496557382391 | Test Loss: 0.00104335846451 | Train Acc: 99.5233333333 | Test Acc: 98.91
Epoch: 18 | Train Loss: 0.000490836859876 | Test Loss: 0.000858823521626 | Train Acc: 99.5183333333 | Test Acc: 99.03
Epoch: 19 | Train Loss: 0.000454735609719 | Test Loss: 0.00107533347379 | Train Acc: 99.565 | Test Acc: 98.93
Epoch: 20 | Train Loss: 0.000435379052128 | Test Loss: 0.000990924476637 | Train Acc: 99.5716666667 | Test Acc: 98.9
Epoch: 21 | Train Loss: 0.000430375516528 | Test Loss: 0.000900503746388 | Train Acc: 99.575 | Test Acc: 98.95
Epoch: 22 | Train Loss: 0.000393378552083 | Test Loss: 0.00084579811744 | Train Acc: 99.605 | Test Acc: 98.97
Epoch: 23 | Train Loss: 0.000399921237605 | Test Loss: 0.0012031311629 | Train Acc: 99.6133333333 | Test Acc: 98.62
Epoch: 24 | Train Loss: 0.000362990340857 | Test Loss: 0.000853580761553 | Train Acc: 99.6566666667 | Test Acc: 99.05
Epoch: 25 | Train Loss: 0.000364663425249 | Test Loss: 0.000828980540565 | Train Acc: 99.6566666667 | Test Acc: 99.16
Epoch: 26 | Train Loss: 0.00033828426663 | Test Loss: 0.000885208990333 | Train Acc: 99.6883333333 | Test Acc: 99.1
Epoch: 27 | Train Loss: 0.000322942675489 | Test Loss: 0.00083572379418 | Train Acc: 99.6866666667 | Test Acc: 99.12
Epoch: 28 | Train Loss: 0.000310368299919 | Test Loss: 0.000883618929244 | Train Acc: 99.72 | Test Acc: 99.02
Epoch: 29 | Train Loss: 0.000302158995472 | Test Loss: 0.000899713966993 | Train Acc: 99.735 | Test Acc: 99.04
Epoch: 30 | Train Loss: 0.000292855626498 | Test Loss: 0.000961322724182 | Train Acc: 99.74 | Test Acc: 98.97
Epoch: 31 | Train Loss: 0.000286432629522 | Test Loss: 0.000796006442863 | Train Acc: 99.7466666667 | Test Acc: 99.12
Epoch: 32 | Train Loss: 0.000270057871907 | Test Loss: 0.00116535949479 | Train Acc: 99.7383333333 | Test Acc: 98.87
Epoch: 33 | Train Loss: 0.000263679473266 | Test Loss: 0.000969504165665 | Train Acc: 99.75 | Test Acc: 98.94
Epoch: 34 | Train Loss: 0.000266740441385 | Test Loss: 0.00103152581046 | Train Acc: 99.76 | Test Acc: 98.95
Epoch: 35 | Train Loss: 0.000261349374074 | Test Loss: 0.000941582855952 | Train Acc: 99.7683333333 | Test Acc: 98.88
Epoch: 36 | Train Loss: 0.000239741064361 | Test Loss: 0.000882769725938 | Train Acc: 99.805 | Test Acc: 99.05
Epoch: 37 | Train Loss: 0.000237988731905 | Test Loss: 0.000770055072093 | Train Acc: 99.7816666667 | Test Acc: 99.13
Epoch: 38 | Train Loss: 0.000221344601068 | Test Loss: 0.000837915763182 | Train Acc: 99.815 | Test Acc: 99.12
Epoch: 39 | Train Loss: 0.000226781239285 | Test Loss: 0.00084601865917 | Train Acc: 99.8183333333 | Test Acc: 99.06
Epoch: 40 | Train Loss: 0.00022234025991 | Test Loss: 0.000882234959837 | Train Acc: 99.8183333333 | Test Acc: 99.07
Epoch: 41 | Train Loss: 0.00021603518432 | Test Loss: 0.000904103174071 | Train Acc: 99.82 | Test Acc: 98.96
Epoch: 42 | Train Loss: 0.000208977959527 | Test Loss: 0.000823832777036 | Train Acc: 99.84 | Test Acc: 99.16
Epoch: 43 | Train Loss: 0.000211091272027 | Test Loss: 0.00106867378739 | Train Acc: 99.83 | Test Acc: 98.99
Epoch: 44 | Train Loss: 0.000198316033635 | Test Loss: 0.00083297498365 | Train Acc: 99.8366666667 | Test Acc: 99.12
Epoch: 45 | Train Loss: 0.000186034915864 | Test Loss: 0.000777408296258 | Train Acc: 99.865 | Test Acc: 99.12
Epoch: 46 | Train Loss: 0.000196088116098 | Test Loss: 0.00090937615176 | Train Acc: 99.8616666667 | Test Acc: 99.04
Epoch: 47 | Train Loss: 0.000186303165583 | Test Loss: 0.000933679273524 | Train Acc: 99.8716666667 | Test Acc: 99.11
Epoch: 48 | Train Loss: 0.000190358489094 | Test Loss: 0.00082618359531 | Train Acc: 99.855 | Test Acc: 99.11
Epoch: 49 | Train Loss: 0.000191602391548 | Test Loss: 0.000931176729797 | Train Acc: 99.865 | Test Acc: 99.03
