Epoch: 0 | Train Loss: 0.0228303669132 | Test Loss: 0.00799666241221 | Train Acc: 76.17 | Test Acc: 92.16
Epoch: 1 | Train Loss: 0.00749889711483 | Test Loss: 0.00556409092732 | Train Acc: 92.5233333333 | Test Acc: 94.37
Epoch: 2 | Train Loss: 0.0059345744687 | Test Loss: 0.00500337987319 | Train Acc: 94.0516666667 | Test Acc: 94.99
Epoch: 3 | Train Loss: 0.00512189953236 | Test Loss: 0.00457369356402 | Train Acc: 94.8583333333 | Test Acc: 95.03
Epoch: 4 | Train Loss: 0.00455999481513 | Test Loss: 0.00434738557665 | Train Acc: 95.3116666667 | Test Acc: 95.63
Epoch: 5 | Train Loss: 0.00426486100914 | Test Loss: 0.00416448189444 | Train Acc: 95.63 | Test Acc: 95.66
Epoch: 6 | Train Loss: 0.0040348596521 | Test Loss: 0.00352505297805 | Train Acc: 95.88 | Test Acc: 96.39
Epoch: 7 | Train Loss: 0.00384243482205 | Test Loss: 0.00317695591361 | Train Acc: 96.0833333333 | Test Acc: 96.76
Epoch: 8 | Train Loss: 0.00377963623031 | Test Loss: 0.00313058740373 | Train Acc: 96.15 | Test Acc: 96.76
Epoch: 9 | Train Loss: 0.00349206641273 | Test Loss: 0.00327246554547 | Train Acc: 96.4333333333 | Test Acc: 96.75
Epoch: 10 | Train Loss: 0.00342661876686 | Test Loss: 0.00342044111225 | Train Acc: 96.6116666667 | Test Acc: 96.46
Epoch: 11 | Train Loss: 0.00322476595146 | Test Loss: 0.00319769549856 | Train Acc: 96.7483333333 | Test Acc: 96.74
Epoch: 12 | Train Loss: 0.00325458416252 | Test Loss: 0.00302498056032 | Train Acc: 96.785 | Test Acc: 96.89
Epoch: 13 | Train Loss: 0.00311430056145 | Test Loss: 0.00325182077419 | Train Acc: 96.8316666667 | Test Acc: 96.67
Epoch: 14 | Train Loss: 0.00312854733583 | Test Loss: 0.00288293977219 | Train Acc: 96.8316666667 | Test Acc: 96.97
Epoch: 15 | Train Loss: 0.00300884995318 | Test Loss: 0.00332151990162 | Train Acc: 96.925 | Test Acc: 96.64
Epoch: 16 | Train Loss: 0.0029689311506 | Test Loss: 0.003035655428 | Train Acc: 97.0166666667 | Test Acc: 96.95
Epoch: 17 | Train Loss: 0.00288699275308 | Test Loss: 0.00285655179152 | Train Acc: 97.0466666667 | Test Acc: 97.04
Epoch: 18 | Train Loss: 0.00281163289782 | Test Loss: 0.00309595338784 | Train Acc: 97.155 | Test Acc: 96.92
Epoch: 19 | Train Loss: 0.00284410781443 | Test Loss: 0.0030963834607 | Train Acc: 97.1 | Test Acc: 96.76
Epoch: 20 | Train Loss: 0.00279303495618 | Test Loss: 0.00276308677441 | Train Acc: 97.1216666667 | Test Acc: 97.18
Epoch: 21 | Train Loss: 0.00277945913317 | Test Loss: 0.00318997460718 | Train Acc: 97.13 | Test Acc: 96.63
Epoch: 22 | Train Loss: 0.00264647553332 | Test Loss: 0.00290253026853 | Train Acc: 97.265 | Test Acc: 96.99
Epoch: 23 | Train Loss: 0.00266808709567 | Test Loss: 0.00263726859642 | Train Acc: 97.255 | Test Acc: 97.15
Epoch: 24 | Train Loss: 0.00259812226653 | Test Loss: 0.00294708790422 | Train Acc: 97.3183333333 | Test Acc: 97.27
Epoch: 25 | Train Loss: 0.00265256035348 | Test Loss: 0.00319472767219 | Train Acc: 97.3616666667 | Test Acc: 96.57
Epoch: 26 | Train Loss: 0.002568590842 | Test Loss: 0.00277441280121 | Train Acc: 97.3733333333 | Test Acc: 97.3
Epoch: 27 | Train Loss: 0.00259332145969 | Test Loss: 0.0027414309328 | Train Acc: 97.3766666667 | Test Acc: 97.33
Epoch: 28 | Train Loss: 0.00254484957888 | Test Loss: 0.00283959340135 | Train Acc: 97.3633333333 | Test Acc: 97.24
Epoch: 29 | Train Loss: 0.00253211835906 | Test Loss: 0.00258169212189 | Train Acc: 97.375 | Test Acc: 97.4
Epoch: 30 | Train Loss: 0.00252976908591 | Test Loss: 0.00267545949836 | Train Acc: 97.5 | Test Acc: 97.36
Epoch: 31 | Train Loss: 0.00243487127905 | Test Loss: 0.00248795339477 | Train Acc: 97.495 | Test Acc: 97.33
Epoch: 32 | Train Loss: 0.00241173829311 | Test Loss: 0.0026397016999 | Train Acc: 97.485 | Test Acc: 97.36
Epoch: 33 | Train Loss: 0.00241886361723 | Test Loss: 0.00224375189844 | Train Acc: 97.51 | Test Acc: 97.77
Epoch: 34 | Train Loss: 0.00246750923364 | Test Loss: 0.00305563891435 | Train Acc: 97.47 | Test Acc: 96.8
Epoch: 35 | Train Loss: 0.00231865211302 | Test Loss: 0.00259978352566 | Train Acc: 97.6383333333 | Test Acc: 97.24
Epoch: 36 | Train Loss: 0.00238119443139 | Test Loss: 0.00253536799921 | Train Acc: 97.54 | Test Acc: 97.61
Epoch: 37 | Train Loss: 0.00237532182906 | Test Loss: 0.00245597345427 | Train Acc: 97.54 | Test Acc: 97.53
Epoch: 38 | Train Loss: 0.00227973408391 | Test Loss: 0.00244404096802 | Train Acc: 97.6783333333 | Test Acc: 97.53
Epoch: 39 | Train Loss: 0.00231631106522 | Test Loss: 0.00238917449921 | Train Acc: 97.6583333333 | Test Acc: 97.67
Epoch: 40 | Train Loss: 0.00230482250893 | Test Loss: 0.00244429332558 | Train Acc: 97.6366666667 | Test Acc: 97.52
Epoch: 41 | Train Loss: 0.00230769439681 | Test Loss: 0.00259500458953 | Train Acc: 97.6383333333 | Test Acc: 97.35
Epoch: 42 | Train Loss: 0.00240210793017 | Test Loss: 0.00251545978741 | Train Acc: 97.5383333333 | Test Acc: 97.62
Epoch: 43 | Train Loss: 0.00227624626584 | Test Loss: 0.0025110881084 | Train Acc: 97.675 | Test Acc: 97.31
Epoch: 44 | Train Loss: 0.00225177882223 | Test Loss: 0.00256903960095 | Train Acc: 97.6733333333 | Test Acc: 97.34
Epoch: 45 | Train Loss: 0.00224253241742 | Test Loss: 0.00233722179746 | Train Acc: 97.6933333333 | Test Acc: 97.46
Epoch: 46 | Train Loss: 0.00230300005832 | Test Loss: 0.00244147043223 | Train Acc: 97.5833333333 | Test Acc: 97.39
Epoch: 47 | Train Loss: 0.00220944064062 | Test Loss: 0.00221569422339 | Train Acc: 97.68 | Test Acc: 97.68
Epoch: 48 | Train Loss: 0.00225807776186 | Test Loss: 0.00248067571735 | Train Acc: 97.595 | Test Acc: 97.37
Epoch: 49 | Train Loss: 0.00220076609091 | Test Loss: 0.00250430243857 | Train Acc: 97.7366666667 | Test Acc: 97.4
