Epoch: 0 | Train Loss: 0.0362604729516 | Test Loss: 0.0113540899582 | Train Acc: 59.9966666667 | Test Acc: 88.26
Epoch: 1 | Train Loss: 0.0082955357401 | Test Loss: 0.00604231315926 | Train Acc: 91.5983333333 | Test Acc: 93.96
Epoch: 2 | Train Loss: 0.00591424658586 | Test Loss: 0.00491211564988 | Train Acc: 94.0533333333 | Test Acc: 94.99
Epoch: 3 | Train Loss: 0.00488775360564 | Test Loss: 0.00432356522675 | Train Acc: 95.0783333333 | Test Acc: 95.28
Epoch: 4 | Train Loss: 0.00441251984632 | Test Loss: 0.00409505296908 | Train Acc: 95.535 | Test Acc: 96.0
Epoch: 5 | Train Loss: 0.00398744668778 | Test Loss: 0.0037876642439 | Train Acc: 95.9066666667 | Test Acc: 96.09
Epoch: 6 | Train Loss: 0.00382183376732 | Test Loss: 0.00376068671993 | Train Acc: 96.1166666667 | Test Acc: 96.19
Epoch: 7 | Train Loss: 0.00350059616001 | Test Loss: 0.00326771425749 | Train Acc: 96.4066666667 | Test Acc: 96.6
Epoch: 8 | Train Loss: 0.00332678008089 | Test Loss: 0.00288143535219 | Train Acc: 96.5866666667 | Test Acc: 96.9
Epoch: 9 | Train Loss: 0.0031706675211 | Test Loss: 0.00306639338427 | Train Acc: 96.7 | Test Acc: 96.92
Epoch: 10 | Train Loss: 0.00307122295707 | Test Loss: 0.00296505422763 | Train Acc: 96.8233333333 | Test Acc: 97.13
Epoch: 11 | Train Loss: 0.00295284487024 | Test Loss: 0.0030764782568 | Train Acc: 96.9383333333 | Test Acc: 96.87
Epoch: 12 | Train Loss: 0.0028634248204 | Test Loss: 0.00278142072873 | Train Acc: 97.0666666667 | Test Acc: 97.14
Epoch: 13 | Train Loss: 0.0027521415107 | Test Loss: 0.00268457723141 | Train Acc: 97.155 | Test Acc: 97.26
Epoch: 14 | Train Loss: 0.00272899324217 | Test Loss: 0.00234897265905 | Train Acc: 97.155 | Test Acc: 97.61
Epoch: 15 | Train Loss: 0.00264841629733 | Test Loss: 0.00253646229712 | Train Acc: 97.2533333333 | Test Acc: 97.44
Epoch: 16 | Train Loss: 0.00252796537498 | Test Loss: 0.00253953656165 | Train Acc: 97.3733333333 | Test Acc: 97.36
Epoch: 17 | Train Loss: 0.00251264873566 | Test Loss: 0.00238488655223 | Train Acc: 97.4233333333 | Test Acc: 97.58
Epoch: 18 | Train Loss: 0.00248133728638 | Test Loss: 0.00272146731896 | Train Acc: 97.4516666667 | Test Acc: 97.14
Epoch: 19 | Train Loss: 0.00241265792294 | Test Loss: 0.00240051431659 | Train Acc: 97.5066666667 | Test Acc: 97.67
Epoch: 20 | Train Loss: 0.00234768288468 | Test Loss: 0.00220885226231 | Train Acc: 97.5616666667 | Test Acc: 97.7
Epoch: 21 | Train Loss: 0.00237260343506 | Test Loss: 0.00236040474235 | Train Acc: 97.5366666667 | Test Acc: 97.51
Epoch: 22 | Train Loss: 0.00232287081827 | Test Loss: 0.0023879953395 | Train Acc: 97.565 | Test Acc: 97.59
Epoch: 23 | Train Loss: 0.00226274716181 | Test Loss: 0.00231789172845 | Train Acc: 97.6466666667 | Test Acc: 97.4
Epoch: 24 | Train Loss: 0.00230953676978 | Test Loss: 0.00229827986069 | Train Acc: 97.5416666667 | Test Acc: 97.68
Epoch: 25 | Train Loss: 0.00223514906903 | Test Loss: 0.00217311676029 | Train Acc: 97.7066666667 | Test Acc: 97.66
Epoch: 26 | Train Loss: 0.00221660250717 | Test Loss: 0.00237701155758 | Train Acc: 97.64 | Test Acc: 97.57
Epoch: 27 | Train Loss: 0.00222629271859 | Test Loss: 0.00242763239194 | Train Acc: 97.6283333333 | Test Acc: 97.47
Epoch: 28 | Train Loss: 0.00219066482219 | Test Loss: 0.00231838290251 | Train Acc: 97.7033333333 | Test Acc: 97.58
Epoch: 29 | Train Loss: 0.00210493882239 | Test Loss: 0.00222160810684 | Train Acc: 97.8316666667 | Test Acc: 97.71
Epoch: 30 | Train Loss: 0.00212158023479 | Test Loss: 0.00224712666423 | Train Acc: 97.8266666667 | Test Acc: 97.76
Epoch: 31 | Train Loss: 0.00210761937332 | Test Loss: 0.00208620312853 | Train Acc: 97.7616666667 | Test Acc: 97.96
Epoch: 32 | Train Loss: 0.00216250626673 | Test Loss: 0.00232430547217 | Train Acc: 97.73 | Test Acc: 97.69
Epoch: 33 | Train Loss: 0.00209116877461 | Test Loss: 0.00218292878461 | Train Acc: 97.7533333333 | Test Acc: 97.69
Epoch: 34 | Train Loss: 0.00203080898277 | Test Loss: 0.00211517591726 | Train Acc: 97.8566666667 | Test Acc: 97.87
Epoch: 35 | Train Loss: 0.00201499365017 | Test Loss: 0.00220815013108 | Train Acc: 97.9416666667 | Test Acc: 97.78
Epoch: 36 | Train Loss: 0.00203408362631 | Test Loss: 0.00220692820909 | Train Acc: 97.91 | Test Acc: 97.97
Epoch: 37 | Train Loss: 0.0019921000579 | Test Loss: 0.00230566566499 | Train Acc: 97.8916666667 | Test Acc: 97.6
Epoch: 38 | Train Loss: 0.00197977796004 | Test Loss: 0.00217321736204 | Train Acc: 97.9766666667 | Test Acc: 97.79
Epoch: 39 | Train Loss: 0.00198506079815 | Test Loss: 0.00204875021909 | Train Acc: 97.9116666667 | Test Acc: 97.89
Epoch: 40 | Train Loss: 0.0019754327468 | Test Loss: 0.00201061362954 | Train Acc: 97.895 | Test Acc: 97.92
Epoch: 41 | Train Loss: 0.00196223163221 | Test Loss: 0.00228967795343 | Train Acc: 97.945 | Test Acc: 97.54
Epoch: 42 | Train Loss: 0.00197947396173 | Test Loss: 0.00220335502666 | Train Acc: 97.94 | Test Acc: 97.8
Epoch: 43 | Train Loss: 0.00191371555818 | Test Loss: 0.00201894727453 | Train Acc: 97.99 | Test Acc: 97.94
Epoch: 44 | Train Loss: 0.00188068096828 | Test Loss: 0.00214326053768 | Train Acc: 98.075 | Test Acc: 97.64
Epoch: 45 | Train Loss: 0.00191623787295 | Test Loss: 0.00211899118666 | Train Acc: 97.97 | Test Acc: 97.99
Epoch: 46 | Train Loss: 0.00191118895039 | Test Loss: 0.00234917890707 | Train Acc: 97.995 | Test Acc: 97.49
Epoch: 47 | Train Loss: 0.00184306220117 | Test Loss: 0.00211344115662 | Train Acc: 98.1016666667 | Test Acc: 97.9
Epoch: 48 | Train Loss: 0.00189792201249 | Test Loss: 0.00203658653636 | Train Acc: 98.0166666667 | Test Acc: 97.69
Epoch: 49 | Train Loss: 0.00188566183126 | Test Loss: 0.00204333971723 | Train Acc: 98.0383333333 | Test Acc: 97.92
