Epoch: 0 | Train Loss: 0.0327411496432 | Test Loss: 0.00892340882197 | Train Acc: 65.0016666667 | Test Acc: 91.31
Epoch: 1 | Train Loss: 0.0076854920761 | Test Loss: 0.00547765008695 | Train Acc: 92.4216666667 | Test Acc: 94.64
Epoch: 2 | Train Loss: 0.00531955951736 | Test Loss: 0.00438412728366 | Train Acc: 94.7933333333 | Test Acc: 95.53
Epoch: 3 | Train Loss: 0.00428396193394 | Test Loss: 0.00356891196477 | Train Acc: 95.7166666667 | Test Acc: 96.32
Epoch: 4 | Train Loss: 0.00376156356501 | Test Loss: 0.00315600609849 | Train Acc: 96.2716666667 | Test Acc: 96.75
Epoch: 5 | Train Loss: 0.00342403072222 | Test Loss: 0.00262158521763 | Train Acc: 96.59 | Test Acc: 97.44
Epoch: 6 | Train Loss: 0.00315565008055 | Test Loss: 0.00270379894958 | Train Acc: 96.845 | Test Acc: 97.34
Epoch: 7 | Train Loss: 0.00292254796235 | Test Loss: 0.00294144267417 | Train Acc: 97.0516666667 | Test Acc: 96.79
Epoch: 8 | Train Loss: 0.00277723359128 | Test Loss: 0.00237845622264 | Train Acc: 97.1916666667 | Test Acc: 97.64
Epoch: 9 | Train Loss: 0.00261401697807 | Test Loss: 0.00255483460315 | Train Acc: 97.3366666667 | Test Acc: 97.55
Epoch: 10 | Train Loss: 0.00255655595422 | Test Loss: 0.0022828102906 | Train Acc: 97.4333333333 | Test Acc: 97.61
Epoch: 11 | Train Loss: 0.00241375205116 | Test Loss: 0.00251434163533 | Train Acc: 97.5933333333 | Test Acc: 97.6
Epoch: 12 | Train Loss: 0.00234302753149 | Test Loss: 0.00240526075569 | Train Acc: 97.6333333333 | Test Acc: 97.69
Epoch: 13 | Train Loss: 0.00229729131303 | Test Loss: 0.00229931629645 | Train Acc: 97.665 | Test Acc: 97.69
Epoch: 14 | Train Loss: 0.00220372688995 | Test Loss: 0.00232502274723 | Train Acc: 97.7283333333 | Test Acc: 97.57
Epoch: 15 | Train Loss: 0.00212899201832 | Test Loss: 0.00207245792056 | Train Acc: 97.84 | Test Acc: 98.01
Epoch: 16 | Train Loss: 0.00210618879402 | Test Loss: 0.00206739410316 | Train Acc: 97.84 | Test Acc: 97.96
Epoch: 17 | Train Loss: 0.00202940566886 | Test Loss: 0.00194981689566 | Train Acc: 97.8916666667 | Test Acc: 98.02
Epoch: 18 | Train Loss: 0.00197304895826 | Test Loss: 0.00189223197077 | Train Acc: 97.9883333333 | Test Acc: 97.88
Epoch: 19 | Train Loss: 0.00197216008531 | Test Loss: 0.00192634685112 | Train Acc: 97.9883333333 | Test Acc: 98.1
Epoch: 20 | Train Loss: 0.00195516933929 | Test Loss: 0.00191611242918 | Train Acc: 97.9816666667 | Test Acc: 98.04
Epoch: 21 | Train Loss: 0.00185755977059 | Test Loss: 0.00195011603869 | Train Acc: 98.1183333333 | Test Acc: 98.0
Epoch: 22 | Train Loss: 0.0018716596652 | Test Loss: 0.00179700895577 | Train Acc: 98.1083333333 | Test Acc: 98.12
Epoch: 23 | Train Loss: 0.00182404643119 | Test Loss: 0.00197229343427 | Train Acc: 98.0866666667 | Test Acc: 97.74
Epoch: 24 | Train Loss: 0.0017437530225 | Test Loss: 0.00186506926773 | Train Acc: 98.22 | Test Acc: 97.99
Epoch: 25 | Train Loss: 0.00175030596174 | Test Loss: 0.00184233189931 | Train Acc: 98.13 | Test Acc: 97.98
Epoch: 26 | Train Loss: 0.00173026780877 | Test Loss: 0.00189508155975 | Train Acc: 98.19 | Test Acc: 98.09
Epoch: 27 | Train Loss: 0.00173939189679 | Test Loss: 0.00168758122929 | Train Acc: 98.1633333333 | Test Acc: 98.33
Epoch: 28 | Train Loss: 0.00170212160768 | Test Loss: 0.00190962353322 | Train Acc: 98.265 | Test Acc: 97.97
Epoch: 29 | Train Loss: 0.00173426741728 | Test Loss: 0.00203128142185 | Train Acc: 98.2033333333 | Test Acc: 97.67
Epoch: 30 | Train Loss: 0.00166135621014 | Test Loss: 0.00163636266413 | Train Acc: 98.31 | Test Acc: 98.44
Epoch: 31 | Train Loss: 0.00168555091775 | Test Loss: 0.00170282899417 | Train Acc: 98.295 | Test Acc: 98.27
Epoch: 32 | Train Loss: 0.00160609300251 | Test Loss: 0.00178393931834 | Train Acc: 98.3533333333 | Test Acc: 98.17
Epoch: 33 | Train Loss: 0.00160188515325 | Test Loss: 0.0018492107581 | Train Acc: 98.31 | Test Acc: 98.2
Epoch: 34 | Train Loss: 0.00160842581681 | Test Loss: 0.00186012494181 | Train Acc: 98.36 | Test Acc: 98.13
Epoch: 35 | Train Loss: 0.00159449317776 | Test Loss: 0.00207331280191 | Train Acc: 98.3216666667 | Test Acc: 97.95
Epoch: 36 | Train Loss: 0.0015508331422 | Test Loss: 0.00166561540636 | Train Acc: 98.3116666667 | Test Acc: 98.21
Epoch: 37 | Train Loss: 0.00151643079067 | Test Loss: 0.00168255642358 | Train Acc: 98.4216666667 | Test Acc: 98.34
Epoch: 38 | Train Loss: 0.00152457103452 | Test Loss: 0.00192848356824 | Train Acc: 98.3966666667 | Test Acc: 98.03
Epoch: 39 | Train Loss: 0.00153923693252 | Test Loss: 0.00169155756547 | Train Acc: 98.4 | Test Acc: 98.3
Epoch: 40 | Train Loss: 0.00146427165578 | Test Loss: 0.00162430368401 | Train Acc: 98.5066666667 | Test Acc: 98.23
Epoch: 41 | Train Loss: 0.00148847458375 | Test Loss: 0.00190158148491 | Train Acc: 98.45 | Test Acc: 98.01
Epoch: 42 | Train Loss: 0.00148963684269 | Test Loss: 0.00163687557406 | Train Acc: 98.4583333333 | Test Acc: 98.31
Epoch: 43 | Train Loss: 0.00144697128775 | Test Loss: 0.00175610770579 | Train Acc: 98.4966666667 | Test Acc: 98.18
Epoch: 44 | Train Loss: 0.0014672049926 | Test Loss: 0.00166628425507 | Train Acc: 98.455 | Test Acc: 98.29
Epoch: 45 | Train Loss: 0.00147583061979 | Test Loss: 0.00182303958125 | Train Acc: 98.47 | Test Acc: 98.17
Epoch: 46 | Train Loss: 0.00147620349745 | Test Loss: 0.00171984236422 | Train Acc: 98.4833333333 | Test Acc: 98.23
Epoch: 47 | Train Loss: 0.00144866326773 | Test Loss: 0.00167546087157 | Train Acc: 98.5216666667 | Test Acc: 98.28
Epoch: 48 | Train Loss: 0.00143001296007 | Test Loss: 0.00162510537168 | Train Acc: 98.5366666667 | Test Acc: 98.2
Epoch: 49 | Train Loss: 0.001411428498 | Test Loss: 0.0017283080577 | Train Acc: 98.5633333333 | Test Acc: 98.13
Epoch: 0 | Train Loss: 0.0378811304721 | Test Loss: 0.00917502655052 | Train Acc: 58.315 | Test Acc: 90.7
Epoch: 1 | Train Loss: 0.00778314161878 | Test Loss: 0.00563892228957 | Train Acc: 92.1383333333 | Test Acc: 94.27
Epoch: 2 | Train Loss: 0.00550736508053 | Test Loss: 0.00450707264151 | Train Acc: 94.3483333333 | Test Acc: 95.23
Epoch: 3 | Train Loss: 0.00451653819376 | Test Loss: 0.00361175877661 | Train Acc: 95.37 | Test Acc: 96.19
Epoch: 4 | Train Loss: 0.00410763579938 | Test Loss: 0.00368316935878 | Train Acc: 95.9066666667 | Test Acc: 96.08
Epoch: 5 | Train Loss: 0.00358568160331 | Test Loss: 0.00323709446243 | Train Acc: 96.325 | Test Acc: 96.71
Epoch: 6 | Train Loss: 0.00335642996727 | Test Loss: 0.0028326069943 | Train Acc: 96.5483333333 | Test Acc: 97.13
Epoch: 7 | Train Loss: 0.00310716388679 | Test Loss: 0.00260058775854 | Train Acc: 96.78 | Test Acc: 97.25
Epoch: 8 | Train Loss: 0.00298300077733 | Test Loss: 0.00284082690682 | Train Acc: 96.9616666667 | Test Acc: 96.93
Epoch: 9 | Train Loss: 0.00288710848495 | Test Loss: 0.00262835126391 | Train Acc: 97.04 | Test Acc: 97.27
Epoch: 10 | Train Loss: 0.00273922986128 | Test Loss: 0.00251334748785 | Train Acc: 97.285 | Test Acc: 97.38
Epoch: 11 | Train Loss: 0.00264737446031 | Test Loss: 0.00244518950094 | Train Acc: 97.2683333333 | Test Acc: 97.25
Epoch: 12 | Train Loss: 0.00257784293183 | Test Loss: 0.00240559567917 | Train Acc: 97.3866666667 | Test Acc: 97.54
Epoch: 13 | Train Loss: 0.00248976561601 | Test Loss: 0.00252910529487 | Train Acc: 97.465 | Test Acc: 97.36
Epoch: 14 | Train Loss: 0.00237247211365 | Test Loss: 0.00242831386642 | Train Acc: 97.5733333333 | Test Acc: 97.5
Epoch: 15 | Train Loss: 0.00230560217668 | Test Loss: 0.00213313670031 | Train Acc: 97.7016666667 | Test Acc: 97.78
Epoch: 16 | Train Loss: 0.00219657784839 | Test Loss: 0.00195602279699 | Train Acc: 97.7133333333 | Test Acc: 97.86
Epoch: 17 | Train Loss: 0.00217825765736 | Test Loss: 0.00230314883498 | Train Acc: 97.7583333333 | Test Acc: 97.49
Epoch: 18 | Train Loss: 0.00213690601522 | Test Loss: 0.00224593409518 | Train Acc: 97.78 | Test Acc: 97.64
Epoch: 19 | Train Loss: 0.00215577183002 | Test Loss: 0.00207357106332 | Train Acc: 97.8266666667 | Test Acc: 97.83
Epoch: 20 | Train Loss: 0.00209443657844 | Test Loss: 0.002020707033 | Train Acc: 97.8333333333 | Test Acc: 97.89
Epoch: 21 | Train Loss: 0.00207115974186 | Test Loss: 0.00206793921774 | Train Acc: 97.8833333333 | Test Acc: 97.69
Epoch: 22 | Train Loss: 0.00199001997698 | Test Loss: 0.00197080062981 | Train Acc: 97.9416666667 | Test Acc: 98.09
Epoch: 23 | Train Loss: 0.00198152467674 | Test Loss: 0.0019376257898 | Train Acc: 97.9333333333 | Test Acc: 98.0
Epoch: 24 | Train Loss: 0.0019742468608 | Test Loss: 0.00190805938243 | Train Acc: 97.9616666667 | Test Acc: 97.88
Epoch: 25 | Train Loss: 0.00185294553291 | Test Loss: 0.00199376835676 | Train Acc: 98.0733333333 | Test Acc: 97.95
Epoch: 26 | Train Loss: 0.00187572255219 | Test Loss: 0.00201726422409 | Train Acc: 98.0666666667 | Test Acc: 97.74
Epoch: 27 | Train Loss: 0.00182576012831 | Test Loss: 0.00178599899029 | Train Acc: 98.1616666667 | Test Acc: 97.92
Epoch: 28 | Train Loss: 0.00180789059637 | Test Loss: 0.00213953576324 | Train Acc: 98.1533333333 | Test Acc: 97.92
Epoch: 29 | Train Loss: 0.00187354511729 | Test Loss: 0.00179162408849 | Train Acc: 98.0666666667 | Test Acc: 98.09
Epoch: 30 | Train Loss: 0.00176815462059 | Test Loss: 0.00202787415765 | Train Acc: 98.2516666667 | Test Acc: 97.89
