Epoch: 0 | Train Loss: 0.0204154373154 | Test Loss: 0.00478835169449 | Train Acc: 78.295 | Test Acc: 95.15
Epoch: 1 | Train Loss: 0.00479737591413 | Test Loss: 0.00340587265901 | Train Acc: 95.2 | Test Acc: 96.46
Epoch: 2 | Train Loss: 0.00339352763908 | Test Loss: 0.00275322262163 | Train Acc: 96.625 | Test Acc: 96.93
Epoch: 3 | Train Loss: 0.00279364966526 | Test Loss: 0.00237791021732 | Train Acc: 97.1433333333 | Test Acc: 97.42
Epoch: 4 | Train Loss: 0.00244225117272 | Test Loss: 0.00227242985079 | Train Acc: 97.5433333333 | Test Acc: 97.76
Epoch: 5 | Train Loss: 0.00217619079843 | Test Loss: 0.00200411060553 | Train Acc: 97.82 | Test Acc: 97.85
Epoch: 6 | Train Loss: 0.00210153852276 | Test Loss: 0.0019382787675 | Train Acc: 97.8333333333 | Test Acc: 97.98
Epoch: 7 | Train Loss: 0.00197748868039 | Test Loss: 0.00173612049964 | Train Acc: 97.9916666667 | Test Acc: 98.2
Epoch: 8 | Train Loss: 0.00178871494242 | Test Loss: 0.00153113423145 | Train Acc: 98.1866666667 | Test Acc: 98.28
Epoch: 9 | Train Loss: 0.00171650396978 | Test Loss: 0.0016636050483 | Train Acc: 98.26 | Test Acc: 98.19
Epoch: 10 | Train Loss: 0.00163537663301 | Test Loss: 0.00178293481722 | Train Acc: 98.3466666667 | Test Acc: 98.27
Epoch: 11 | Train Loss: 0.00155277251565 | Test Loss: 0.00165159102967 | Train Acc: 98.3733333333 | Test Acc: 98.29
Epoch: 12 | Train Loss: 0.00148435123919 | Test Loss: 0.00145536777601 | Train Acc: 98.4916666667 | Test Acc: 98.41
Epoch: 13 | Train Loss: 0.00147857390821 | Test Loss: 0.00142954666533 | Train Acc: 98.5 | Test Acc: 98.65
Epoch: 14 | Train Loss: 0.00140340301544 | Test Loss: 0.00154736812132 | Train Acc: 98.5533333333 | Test Acc: 98.33
Epoch: 15 | Train Loss: 0.00136831798025 | Test Loss: 0.00149363457998 | Train Acc: 98.56 | Test Acc: 98.42
Epoch: 16 | Train Loss: 0.00132773452135 | Test Loss: 0.00147158150989 | Train Acc: 98.61 | Test Acc: 98.48
Epoch: 17 | Train Loss: 0.0013561938196 | Test Loss: 0.00161719244469 | Train Acc: 98.5683333333 | Test Acc: 98.32
Epoch: 18 | Train Loss: 0.00125453319558 | Test Loss: 0.00146361602782 | Train Acc: 98.6983333333 | Test Acc: 98.51
Epoch: 19 | Train Loss: 0.00125731862499 | Test Loss: 0.00126240552998 | Train Acc: 98.71 | Test Acc: 98.79
Epoch: 20 | Train Loss: 0.00123004819549 | Test Loss: 0.00149759200286 | Train Acc: 98.7333333333 | Test Acc: 98.5
Epoch: 21 | Train Loss: 0.00125282248948 | Test Loss: 0.00145492917004 | Train Acc: 98.675 | Test Acc: 98.54
Epoch: 22 | Train Loss: 0.00121401708148 | Test Loss: 0.00137338115402 | Train Acc: 98.7416666667 | Test Acc: 98.54
Epoch: 23 | Train Loss: 0.00114705968836 | Test Loss: 0.00132313046799 | Train Acc: 98.775 | Test Acc: 98.66
Epoch: 24 | Train Loss: 0.00115564850477 | Test Loss: 0.00119536657988 | Train Acc: 98.8016666667 | Test Acc: 98.72
Epoch: 25 | Train Loss: 0.00111414650241 | Test Loss: 0.0014648715475 | Train Acc: 98.8033333333 | Test Acc: 98.51
Epoch: 26 | Train Loss: 0.00109279784454 | Test Loss: 0.00131534185551 | Train Acc: 98.9116666667 | Test Acc: 98.6
