Epoch: 0 | Train Loss: 0.0197856209449 | Test Loss: 0.00348237306727 | Train Acc: 80.1483333333 | Test Acc: 96.47
Epoch: 1 | Train Loss: 0.00313373907158 | Test Loss: 0.00220576146757 | Train Acc: 96.8433333333 | Test Acc: 97.77
Epoch: 2 | Train Loss: 0.00222177353282 | Test Loss: 0.0017080965471 | Train Acc: 97.7966666667 | Test Acc: 98.25
Epoch: 3 | Train Loss: 0.00177442377265 | Test Loss: 0.00173284741131 | Train Acc: 98.205 | Test Acc: 98.27
Epoch: 4 | Train Loss: 0.00150696795624 | Test Loss: 0.00146861761665 | Train Acc: 98.5 | Test Acc: 98.46
Epoch: 5 | Train Loss: 0.00133690799743 | Test Loss: 0.00135358285561 | Train Acc: 98.65 | Test Acc: 98.56
Epoch: 6 | Train Loss: 0.00118228600691 | Test Loss: 0.00124928077348 | Train Acc: 98.7533333333 | Test Acc: 98.82
Epoch: 7 | Train Loss: 0.00105448628398 | Test Loss: 0.00143717659121 | Train Acc: 98.95 | Test Acc: 98.5
Epoch: 8 | Train Loss: 0.000978471732053 | Test Loss: 0.00121878610066 | Train Acc: 98.9883333333 | Test Acc: 98.69
Epoch: 9 | Train Loss: 0.000884812335026 | Test Loss: 0.00119196922637 | Train Acc: 99.0833333333 | Test Acc: 98.86
Epoch: 10 | Train Loss: 0.000811469377495 | Test Loss: 0.00112380725013 | Train Acc: 99.21 | Test Acc: 98.82
Epoch: 11 | Train Loss: 0.000745832179599 | Test Loss: 0.00118220118106 | Train Acc: 99.2216666667 | Test Acc: 98.67
Epoch: 12 | Train Loss: 0.000699150474822 | Test Loss: 0.00102959809649 | Train Acc: 99.2716666667 | Test Acc: 98.89
Epoch: 13 | Train Loss: 0.000649600285756 | Test Loss: 0.0011138413136 | Train Acc: 99.3483333333 | Test Acc: 98.85
Epoch: 14 | Train Loss: 0.00062654953185 | Test Loss: 0.000980703346171 | Train Acc: 99.3433333333 | Test Acc: 99.02
Epoch: 15 | Train Loss: 0.000583812487615 | Test Loss: 0.00101235196415 | Train Acc: 99.4116666667 | Test Acc: 98.93
Epoch: 16 | Train Loss: 0.000542401401294 | Test Loss: 0.00111272091694 | Train Acc: 99.4866666667 | Test Acc: 98.81
Epoch: 17 | Train Loss: 0.000489852900932 | Test Loss: 0.0010590250812 | Train Acc: 99.5366666667 | Test Acc: 98.95
Epoch: 18 | Train Loss: 0.000489368731411 | Test Loss: 0.00116507053817 | Train Acc: 99.5133333333 | Test Acc: 98.83
Epoch: 19 | Train Loss: 0.000451899403405 | Test Loss: 0.00108618036344 | Train Acc: 99.5783333333 | Test Acc: 98.93
Epoch: 20 | Train Loss: 0.000428810840106 | Test Loss: 0.000963772975629 | Train Acc: 99.5716666667 | Test Acc: 99.0
Epoch: 21 | Train Loss: 0.00040894039528 | Test Loss: 0.00105266887023 | Train Acc: 99.6183333333 | Test Acc: 98.82
Epoch: 22 | Train Loss: 0.000395119890172 | Test Loss: 0.00123887805361 | Train Acc: 99.6483333333 | Test Acc: 98.84
Epoch: 23 | Train Loss: 0.000384725709405 | Test Loss: 0.00109829771576 | Train Acc: 99.635 | Test Acc: 99.01
Epoch: 24 | Train Loss: 0.000363868427667 | Test Loss: 0.00104104958474 | Train Acc: 99.6633333333 | Test Acc: 98.9
Epoch: 25 | Train Loss: 0.000336225165685 | Test Loss: 0.00109666478943 | Train Acc: 99.6833333333 | Test Acc: 98.92
Epoch: 26 | Train Loss: 0.00032562696531 | Test Loss: 0.00112301368957 | Train Acc: 99.705 | Test Acc: 98.82
Epoch: 27 | Train Loss: 0.00030523314278 | Test Loss: 0.00105206041103 | Train Acc: 99.7566666667 | Test Acc: 98.95
Epoch: 28 | Train Loss: 0.000300439287828 | Test Loss: 0.00112269073901 | Train Acc: 99.74 | Test Acc: 98.89
